                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                    1550                                      972                  1.2000000000000000E+002                  2.0000000000000000E-002                  2.1232554125664483E+004                  1.4917715917936013E+001                  4.9541113953314329E+004                  1.7443214958825060E+006                  1.7928125841253856E+001                 -7.5030686541805274E+000                  6.9683206249478569E-001                  1.2223349826322623E-008                  2.8268239144960516E-001                  8.9574843695961558E-005                  5.4453257883281068E-003                  8.7883869471046122E-003                  2.0850244238750362E-003                  1.1970034922082863E+002                 -1.2769320412639867E-005                  8.3471770460096764E+001                  5.6748628801097506E-004                  3.3785097570616166E+001                  7.4519741938331496E-002                  5.6742927654346553E-001                  1.0633416568615053E+000                  2.4957815167179906E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9440315531667569E+004                  1.0789723571833365E+004                  6.8622871129767585E+005                  1.7476422097849546E+006                  1.7476422097849555E+006                  1.8022514150141940E-024                  1.2180775999551428E+005                  5.0000000000000000E+001                  1.0000000000000000E+003                  6.7004845007606946E+011                               "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20251230"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                     extra_opacity_factor                                       dm                                    logdq                                 dq_ratio                                        q                             vel_km_per_s                                   radius                                radius_cm                                  logR_cm                                     rmid                                 velocity                                  v_div_r                    pressure_scale_height                                     mmid                                    logxq                                       dr                                   log_dr                                dr_div_cs                            log_dr_div_cs                           acoustic_depth                   log_cell_collapse_time                              temperature                                   energy                                     logE                                      rho                                  entropy                                 pressure                                     prad                                     pgas                                  logPgas                          pgas_div_ptotal                                      eta                                       mu                                    grada                                   gamma1                                   free_e                                   csound                               log_csound                             v_div_csound                                 eps_grav                                  eps_nuc                              non_nuc_neu                                       pp                                      cno                                tri_alpha                                  c_alpha                                  n_alpha                                  o_alpha                                 ne_alpha                                 na_alpha                                 mg_alpha                                 si_alpha                                  s_alpha                                 ar_alpha                                 ca_alpha                                 ti_alpha                                 cr_alpha                                 fe_co_ni                                  c12_c12                                  c12_o16                                  o16_o16                                    pnhe4                                    photo                                ni56_co56                                co56_fe56                                    other                                     abar                                     zbar                                    z2bar                                       ye                                        x                                        y                                        z                                    log_z                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                   log_h1                                  log_he3                                  log_he4                                  log_c12                                  log_n14                                  log_o16                                 log_ne20                                 log_mg24                                  opacity                              log_opacity                     log_kap_times_factor                               luminosity                                     logL                           log_L_div_Ledd                                  lum_adv                                 lum_conv                                lum_erg_s                         lum_plus_lum_adv                                  lum_rad                        log_abs_lum_erg_s                             total_energy                        mlt_mixing_length                                 conv_vel                             log_conv_vel                             conv_L_div_L                         log_conv_L_div_L                                    gradT                                    gradr                          gradT_sub_grada                      conv_vel_div_csound                            log_mlt_D_mix                                log_D_mix                               log_D_conv                               log_D_semi                                log_D_ovr                               log_D_thrm                            log_D_minimum                    log_D_rayleigh_taylor                              log_D_omega                              log_sig_mix                                 mix_type                                      tau                                   logtau                                    omega                                log_omega                                log_j_rot                            log_J_div_M53                             log_J_inside                            log_abs_shear                                    i_rot                                    j_rot                                    v_rot                                   fp_rot                                   ft_rot                                log_am_nu                                  r_polar                              log_r_polar                             r_equatorial                         log_r_equatorial                              r_e_div_r_p                               omega_crit                     omega_div_omega_crit                               am_log_sig                             am_log_D_DSI                              am_log_D_SH                             am_log_D_SSI                              am_log_D_ES                             am_log_D_GSF                              am_log_D_ST                             am_log_nu_ST                           dynamo_log_B_r                         dynamo_log_B_phi                    RTI_du_diffusion_kick                                alpha_RTI                        boost_for_eta_RTI                                 dedt_RTI                                 dudt_RTI                                  eta_RTI                            log_alpha_RTI                              log_eta_RTI                  log_lambda_RTI_div_Hrho                              log_sig_RTI               log_source_minus_alpha_RTI                log_source_plus_alpha_RTI                               lambda_RTI                           v_div_v_escape                                        u                                   u_face                                   P_face                               extra_heat                                      zFe                         dPdr_dRhodr_info                                    dlogR                                dPdr_info                              dRhodr_info                       log_du_kick_div_du                     L_div_Ledd_effective 
                                       1                  1.1970034922082863E+002                  1.2535348919412359E+000                  4.6951368083685754E+000                 -9.4654996735152928E+000                  4.2424994603273438E+000                  6.9999999999999674E-001                  2.8000000000000347E-001                  1.9999999999999796E-002                  1.0000000000000000E+000                  1.1900667795836517E+023                 -1.2301029995663924E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  1.7928125841253856E+001                  1.2472597147760308E+012                  1.2095956895298885E+001                  1.7927998050789629E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1859446815597541E-002                  1.1970034922079870E+002                 -9.8999999999999986E+001                  1.7780891925048828E+007                  7.2499535422591377E+000                  2.1381555171414934E+000                  3.3003929010572836E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  4.9560628859631346E+004                  1.5933006803277975E+014                  1.4202297741579425E+001                  3.4237364500876365E-010                  8.7072705839264273E+001                  1.7478310904881742E+004                  1.5215176820243401E+004                  2.2631340846383418E+003                  3.3547102855028750E+000                  1.2948242521571360E-001                 -1.9546266546079334E+001                  6.2336045389696360E-001                  2.5039683917636979E-001                  1.3546570778843516E+000                  8.3852479999362739E-001                  8.3159956244998286E+006                  6.9199142521534087E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0204587851096657E-029                  0.0000000000000000E+000                  5.0204587851096651E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659343E+000                  1.1021529799335150E+000                  1.3826069774960561E+000                  8.5000496627254118E-001                  6.9999999999999674E-001                  2.8000000000000347E-001                  1.9999999999999796E-002                 -1.6989700043360232E+000                  6.9999999999999674E-001                  2.9797635256291173E-005                  2.7997020236474718E-001                  3.4468833607860594E-003                  1.0103427409336001E-003                  9.3805276451494890E-003                  2.0850244238750232E-003                  4.0772218292556501E-003                 -1.5490195998574519E-001                 -4.5258182002154896E+000                 -5.5288818879064361E-001                 -2.4625734124504941E+000                 -2.9955312744887648E+000                 -2.0277727323104999E+000                 -2.6808888533559196E+000                 -2.3896356592613963E+000                  6.9102625796353434E-001                 -1.6050544977195977E-001                 -1.6050544977195977E-001                  1.7443214958825060E+006                  6.2416265327868565E+000                 -1.1279766992671934E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.6772626862382335E+039                  6.6772626862382335E+039                  1.7443214958825060E+006                  3.9824598461891661E+001                 -1.2577262367802310E+016                  9.9985234299222412E+009                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  2.2142051620264777E-001                  2.2142051620264777E-001                 -2.8976322973722018E-002                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666666666666663E-001                 -1.7609125905568127E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.7928125841253856E+001                  1.2535348919412359E+000                  1.7928125841253856E+001                  1.2535348919412359E+000                  0.0000000000000000E+000                  4.3275408696920390E-005                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.1913314434159314E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.7088631685899101E-001 
                                       2                  1.1970034922076877E+002                  1.2535287006097926E+000                  4.6954784195142691E+000                 -9.4631216168283121E+000                  4.2440414424423230E+000                  6.9999999999999674E-001                  2.8000000000000347E-001                  1.9999999999999796E-002                  1.0000000000000000E+000                  1.1900667795836517E+023                 -1.2301029995663924E+001                  1.0000000000000000E+000                  9.9999999999949996E-001                  0.0000000000000000E+000                  1.7927870258503749E+001                  1.2472419338841057E+012                  1.2095950703967441E+001                  1.7927743162247818E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1719196012764608E-002                  1.1970034922073884E+002                 -1.2301029995663924E+001                  1.7684298413818359E+007                  7.2475878348009681E+000                  2.1285407079880465E+000                  3.2808196040252358E-001                  2.1381555171414934E+000                 -9.8999999999999986E+001                  4.9599628027969418E+004                  1.5902787771293906E+014                  1.4201473263160958E+001                  3.4425351488659299E-010                  8.6931654828117530E+001                  1.7540478734355926E+004                  1.5263124557537018E+004                  2.2773541768189075E+003                  3.3574305778600029E+000                  1.2983420870710519E-001                 -1.9541967592676674E+001                  6.2335942069281847E-001                  2.5039926344032098E-001                  1.3547173394979792E+000                  8.3852745893256730E-001                  8.3081795652073901E+006                  6.9195058743984443E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0480250974957745E-029                  0.0000000000000000E+000                  5.0480250974957751E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659343E+000                  1.1021529799335150E+000                  1.3826069774960561E+000                  8.5000496627254118E-001                  6.9999999999999674E-001                  2.8000000000000347E-001                  1.9999999999999796E-002                 -1.6989700043360232E+000                  6.9999999999999674E-001                  2.9797635256291173E-005                  2.7997020236474718E-001                  3.4468833607860594E-003                  1.0103427409336001E-003                  9.3805276451494890E-003                  2.0850244238750232E-003                  4.0772218292556501E-003                 -1.5490195998574519E-001                 -4.5258182002154896E+000                 -5.5288818879064361E-001                 -2.4625734124504941E+000                 -2.9955312744887648E+000                 -2.0277727323104999E+000                 -2.6808888533559196E+000                 -2.3896356592613963E+000                  6.9149393172039197E-001                 -1.6021162673603298E-001                 -1.6021162673603298E-001                  1.7443215570145324E+006                  6.2416265480072735E+000                 -1.1279765470630196E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.6772629202516304E+039                  6.6772629202516304E+039                  1.7443215570145324E+006                  3.9824598477112076E+001                 -1.2577745641211056E+016                  9.9885973205151596E+009                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  2.2154049883958216E-001                  2.2154049883958216E-001                 -2.8857552468763203E-002                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.7087343328481719E-001                 -1.7335940592745797E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.7927870258503749E+001                  1.2535287006097926E+000                  1.7927870258503749E+001                  1.2535287006097926E+000                  0.0000000000000000E+000                  4.3276331605464662E-005                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.1577849950201073E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.7099235178974801E-001 
                                       3                  1.1970034922070892E+002                  1.2535225428247976E+000                  4.6960442502320419E+000                 -9.4592294074509713E+000                  4.2465904781428998E+000                  6.9999999999999662E-001                  2.8000000000000347E-001                  1.9999999999999907E-002                  1.0000000000000000E+000                  2.7628637540455681E+023                 -1.1935241858858651E+001                  4.3073668683121891E-001                  9.9999999999899991E-001                  0.0000000000000000E+000                  1.7927616064189909E+001                  1.2472242495856919E+012                  1.2095944546182446E+001                  1.7927323618647769E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1495700087640057E-002                  1.1970034922063945E+002                 -1.1999999999999943E+001                  4.0691536524414062E+007                  7.6095040892505663E+000                  4.9051701527194238E+000                  6.9065407697701442E-001                  4.2666962251295395E+000                 -9.8999999999999986E+001                  4.9664292178234333E+004                  1.5854319486225744E+014                  1.4200147605573470E+001                  3.4735263083266366E-010                  8.6703715942715263E+001                  1.7643733044726057E+004                  1.5342875863217538E+004                  2.3008571815085206E+003                  3.3618896620377288E+000                  1.3040648346219888E-001                 -1.9534954499926158E+001                  6.2335770030016913E-001                  2.5040322767388257E-001                  1.3548154448814931E+000                  8.3853188636278653E-001                  8.2956422014952321E+006                  6.9188500122735519E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0934703785307498E-029                  0.0000000000000000E+000                  5.0934703785307498E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659345E+000                  1.1021529799335150E+000                  1.3826069774960561E+000                  8.5000496627254107E-001                  6.9999999999999662E-001                  2.8000000000000347E-001                  1.9999999999999907E-002                 -1.6989700043360207E+000                  6.9999999999999662E-001                  2.9797635256291177E-005                  2.7997020236474718E-001                  3.4468833607860594E-003                  1.0103427409336001E-003                  9.3805276451494890E-003                  2.0850244238750232E-003                  4.0772218292556501E-003                 -1.5490195998574524E-001                 -4.5258182002154896E+000                 -5.5288818879064361E-001                 -2.4625734124504941E+000                 -2.9955312744887648E+000                 -2.0277727323104999E+000                 -2.6808888533559196E+000                 -2.3896356592613963E+000                  6.9224728460909346E-001                 -1.5973873913110559E-001                 -1.5973873913110559E-001                  1.7443216776374297E+006                  6.2416265780394982E+000                 -1.1250661896819698E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.6772633819960816E+039                  6.6772633819960816E+039                  1.7443216776374297E+006                  3.9824598507144302E+001                 -1.2578528401472350E+016                  9.9693908244824371E+009                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  2.2177723657170806E-001                  2.2177723657170806E-001                 -2.8623220338274968E-002                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.7508316666622048E-001                 -1.7064272109593406E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.7927616064189909E+001                  1.2535225428247976E+000                  1.7927616064189909E+001                  1.2535225428247976E+000                  0.0000000000000000E+000                  4.3172274524027574E-005                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4169382985532395E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.7130863865595400E-001 
                                       4                  1.1970034922056996E+002                  1.2535083734418120E+000                  4.6968309731723243E+000                 -9.4538742744903779E+000                  4.2501292973213447E+000                  6.9999999999999662E-001                  2.8000000000000347E-001                  1.9999999999999907E-002                  1.0000000000000000E+000                  2.7628637540455674E+023                 -1.1935241858858651E+001                  1.0000000000000002E+000                  9.9999999999783906E-001                  0.0000000000000000E+000                  1.7927031163564287E+001                  1.2471835580491675E+012                  1.2095930376799460E+001                  1.7926742283132022E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1192668299861747E-002                  1.1970034922050047E+002                 -1.1665385030366652E+001                  4.0195471072998047E+007                  7.6041771227658401E+000                  4.8552734913931399E+000                  6.8621369818997224E-001                  9.1718663778489642E+000                 -9.8999999999999986E+001                  4.9754340406817340E+004                  1.5788958779525266E+014                  1.4198353490919216E+001                  3.5166222978843187E-010                  8.6394348666223308E+001                  1.7788089147965900E+004                  1.5454453886024139E+004                  2.3336352619417598E+003                  3.3680329784855600E+000                  1.3119089085567209E-001                 -1.9525333761709980E+001                  6.2335530146846074E-001                  2.5040870006674093E-001                  1.3549500251210589E+000                  8.3853805979669171E-001                  8.2787243899343405E+006                  6.9179634245758681E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1566661400099877E-029                  0.0000000000000000E+000                  5.1566661400099877E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659345E+000                  1.1021529799335150E+000                  1.3826069774960561E+000                  8.5000496627254107E-001                  6.9999999999999662E-001                  2.8000000000000347E-001                  1.9999999999999907E-002                 -1.6989700043360207E+000                  6.9999999999999662E-001                  2.9797635256291177E-005                  2.7997020236474718E-001                  3.4468833607860594E-003                  1.0103427409336001E-003                  9.3805276451494890E-003                  2.0850244238750232E-003                  4.0772218292556501E-003                 -1.5490195998574524E-001                 -4.5258182002154896E+000                 -5.5288818879064361E-001                 -2.4625734124504941E+000                 -2.9955312744887648E+000                 -2.0277727323104999E+000                 -2.6808888533559196E+000                 -2.3896356592613963E+000                  6.9327078444140799E-001                 -1.5909710129153293E-001                 -1.5909710129153293E-001                  1.7443219501817347E+006                  6.2416266458965222E+000                 -1.1185352436736225E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.6772644252956814E+039                  6.6772644252956814E+039                  1.7443219501817347E+006                  3.9824598575001325E+001                 -1.2579595051175118E+016                  9.9263772623562775E+009                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  2.2231344368631087E-001                  2.2231344368631087E-001                 -2.8092520184000908E-002                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.8486760594646190E-001                 -1.6439337531647455E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.7927031163564287E+001                  1.2535083734418120E+000                  1.7927031163564287E+001                  1.2535083734418120E+000                  0.0000000000000000E+000                  4.3121378874720682E-005                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3997099691878852E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.7247605545155740E-001 
