                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                    2000                                     1290                  1.2000000000000000E+002                  2.0000000000000000E-002                  2.5494297258067871E+006                  5.2272011235767424E-001                  4.5268850389433564E+003                  2.9857770967068695E+006                  2.8092016881731829E+003                 -7.7626098528037684E+000                  9.4593781639621538E-002                  2.4963568236004961E-011                  8.8597820889124423E-001                  2.4802821811913968E-004                  1.2478271964905774E-002                  5.3946300801505217E-004                  2.0850244238750379E-003                  1.2000000000000001E+002                  0.0000000000000000E+000                  2.7940932406637423E+001                  4.5706634906826719E-004                  8.9717009942682040E+001                  7.8102845570875268E-002                  1.3129244066130852E+000                  2.1110378177182507E-001                  2.5020293086500500E-001                  5.8148441170281430E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3603191579602015E+008                  4.0429940040758929E+001                  4.0190542064359970E+005                  2.9493402154558334E+006                  2.9493402154558357E+006                  1.7522753982902513E-020                  2.0051310850625680E+005                  5.0000000000000000E+001                  1.0000000000000000E+003                  8.0453883515120266E+013                               "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20251230"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                     extra_opacity_factor                                       dm                                    logdq                                 dq_ratio                                        q                             vel_km_per_s                                   radius                                radius_cm                                  logR_cm                                     rmid                                 velocity                                  v_div_r                    pressure_scale_height                                     mmid                                    logxq                                       dr                                   log_dr                                dr_div_cs                            log_dr_div_cs                           acoustic_depth                   log_cell_collapse_time                              temperature                                   energy                                     logE                                      rho                                  entropy                                 pressure                                     prad                                     pgas                                  logPgas                          pgas_div_ptotal                                      eta                                       mu                                    grada                                   gamma1                                   free_e                                   csound                               log_csound                             v_div_csound                                 eps_grav                                  eps_nuc                              non_nuc_neu                                       pp                                      cno                                tri_alpha                                  c_alpha                                  n_alpha                                  o_alpha                                 ne_alpha                                 na_alpha                                 mg_alpha                                 si_alpha                                  s_alpha                                 ar_alpha                                 ca_alpha                                 ti_alpha                                 cr_alpha                                 fe_co_ni                                  c12_c12                                  c12_o16                                  o16_o16                                    pnhe4                                    photo                                ni56_co56                                co56_fe56                                    other                                     abar                                     zbar                                    z2bar                                       ye                                        x                                        y                                        z                                    log_z                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                   log_h1                                  log_he3                                  log_he4                                  log_c12                                  log_n14                                  log_o16                                 log_ne20                                 log_mg24                                  opacity                              log_opacity                     log_kap_times_factor                               luminosity                                     logL                           log_L_div_Ledd                                  lum_adv                                 lum_conv                                lum_erg_s                         lum_plus_lum_adv                                  lum_rad                        log_abs_lum_erg_s                             total_energy                        mlt_mixing_length                                 conv_vel                             log_conv_vel                             conv_L_div_L                         log_conv_L_div_L                                    gradT                                    gradr                          gradT_sub_grada                      conv_vel_div_csound                            log_mlt_D_mix                                log_D_mix                               log_D_conv                               log_D_semi                                log_D_ovr                               log_D_thrm                            log_D_minimum                    log_D_rayleigh_taylor                              log_D_omega                              log_sig_mix                                 mix_type                                      tau                                   logtau                                    omega                                log_omega                                log_j_rot                            log_J_div_M53                             log_J_inside                            log_abs_shear                                    i_rot                                    j_rot                                    v_rot                                   fp_rot                                   ft_rot                                log_am_nu                                  r_polar                              log_r_polar                             r_equatorial                         log_r_equatorial                              r_e_div_r_p                               omega_crit                     omega_div_omega_crit                               am_log_sig                             am_log_D_DSI                              am_log_D_SH                             am_log_D_SSI                              am_log_D_ES                             am_log_D_GSF                              am_log_D_ST                             am_log_nu_ST                           dynamo_log_B_r                         dynamo_log_B_phi                    RTI_du_diffusion_kick                                alpha_RTI                        boost_for_eta_RTI                                 dedt_RTI                                 dudt_RTI                                  eta_RTI                            log_alpha_RTI                              log_eta_RTI                  log_lambda_RTI_div_Hrho                              log_sig_RTI               log_source_minus_alpha_RTI                log_source_plus_alpha_RTI                               lambda_RTI                           v_div_v_escape                                        u                                   u_face                                   P_face                               extra_heat                                      zFe                         dPdr_dRhodr_info                                    dlogR                                dPdr_info                              dRhodr_info                       log_du_kick_div_du                     L_div_Ledd_effective 
                                       1                  1.2000000000000001E+002                  3.4485829207310346E+000                  3.6557994656930179E+000                 -9.2439607484423227E+000                  2.2185707258746614E+000                  6.9999999999998497E-001                  2.8000000000001524E-001                  1.9999999999999796E-002                  1.0000000000000000E+000                  2.3860918448376605E+023                 -1.2000000000000000E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  2.8092016881731829E+003                  1.9543616144620834E+014                  1.4291004924088684E+001                  2.8092016881668951E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000608800630561E+001                  1.1999999999994000E+002                 -9.8999999999999986E+001                  8.7209375000000000E+002                  2.9405631740600495E+000                  1.2609775668809844E-003                 -2.8992926395700280E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  4.5268850394010142E+003                  1.9392907634936978E+012                  1.2287642928993014E+001                  5.7021580608586713E-010                  2.2812806801943104E+001                  1.6541341424614899E+002                  1.0590772354103266E+000                  1.6435433701073867E+002                  2.2157811688069344E+000                  9.9359739208433051E-001                 -2.4374812369619232E+001                  1.3058468075422631E+000                  3.8966991776777837E-001                  1.6488462199198899E+000                  1.1092052680617053E-004                  6.9160132020200428E+005                  5.8398558136300771E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.3615510812793543E-029                  0.0000000000000000E+000                  8.3615510812793543E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659476E+000                  1.1021529799335208E+000                  1.3826069774960750E+000                  8.5000496627253697E-001                  6.9999999999998497E-001                  2.8000000000001524E-001                  1.9999999999999796E-002                 -1.6989700043360232E+000                  6.9999999999998497E-001                  2.9797635266371096E-005                  2.7997020236474884E-001                  3.4468833607860789E-003                  1.0103427409336064E-003                  9.3805276451495410E-003                  2.0850244238750358E-003                  4.0772218292556769E-003                 -1.5490195998575249E-001                 -4.5258182000685769E+000                 -5.5288818879064106E-001                 -2.4625734124504919E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  1.6858292549138236E-003                 -2.7731864139365712E+000                 -2.7731864139365712E+000                  2.9857770967068695E+006                  6.4750573823295188E+000                 -2.4932805492402341E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1429554726193897E+040                  1.1429554726193897E+040                  2.9857770967068695E+006                  4.0058029311434325E+001                 -7.9547639199623125E+013                  1.3914847085197363E+012                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2540144818823920E-001                  1.2540144818823920E-001                 -2.6426846957953920E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666666666666663E-001                 -1.7609125905568127E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  2.8092016881731829E+003                  3.4485829207310346E+000                  2.8092016881731829E+003                  3.4485829207310346E+000                  0.0000000000000000E+000                  4.6114822853056228E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9379124767854859E-012                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2111041647491863E-003 
                                       2                  1.1999999999988002E+002                  3.4485829207290966E+000                  3.6557994658855764E+000                 -9.2439607470945067E+000                  2.2185707274101989E+000                  6.9999999999998497E-001                  2.8000000000001524E-001                  1.9999999999999796E-002                  1.0000000000000000E+000                  1.1079120575455560E+024                 -1.1333181867530746E+001                  2.1536834341560973E-001                  9.9999999999900002E-001                  0.0000000000000000E+000                  2.8092016881606473E+003                  1.9543616144533625E+014                  1.4291004924086746E+001                  2.8092016881315253E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000608804873998E+001                  1.1999999999960143E+002                 -1.2000000000000000E+001                  4.0493125000000000E+003                  3.6073812941279031E+000                  5.8549808696048656E-003                 -2.2324745195905278E+000                  1.2609775668809844E-003                 -9.8999999999999986E+001                  4.5268850414081553E+003                  1.9392907636799756E+012                  1.2287642929034730E+001                  5.7021580785551045E-010                  2.2812806800046111E+001                  1.6541341483100206E+002                  1.0590772372886315E+000                  1.6435433759371344E+002                  2.2157811703474031E+000                  9.9359739209561304E-001                 -2.4374812365846889E+001                  1.3058468075419820E+000                  3.8966991775742993E-001                  1.6488462198780733E+000                  1.1092052696552035E-004                  6.9160132034270430E+005                  5.8398558137184304E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.3615511072297102E-029                  0.0000000000000000E+000                  8.3615511072297091E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659476E+000                  1.1021529799335208E+000                  1.3826069774960750E+000                  8.5000496627253697E-001                  6.9999999999998497E-001                  2.8000000000001524E-001                  1.9999999999999796E-002                 -1.6989700043360232E+000                  6.9999999999998497E-001                  2.9797635266371099E-005                  2.7997020236474884E-001                  3.4468833607860789E-003                  1.0103427409336064E-003                  9.3805276451495410E-003                  2.0850244238750358E-003                  4.0772218292556769E-003                 -1.5490195998575249E-001                 -4.5258182000685769E+000                 -5.5288818879064106E-001                 -2.4625734124504919E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  1.6858292609961175E-003                 -2.7731864123696823E+000                 -2.7731864123696823E+000                  2.9857770967069250E+006                  6.4750573823295268E+000                 -2.4932805492402261E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1429554726194109E+040                  1.1429554726194109E+040                  2.9857770967069250E+006                  4.0058029311434332E+001                 -7.9547639200232906E+013                  1.3914847086152905E+012                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2540144830769884E-001                  1.2540144830769884E-001                 -2.6426846945824572E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666666750473802E-001                 -1.7609125850972659E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  2.8092016881606473E+003                  3.4485829207290966E+000                  2.8092016881606473E+003                  3.4485829207290966E+000                  0.0000000000000000E+000                  4.6114822853904101E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.9983324559020337E-012                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2111041621496108E-003 
                                       3                  1.1999999999932284E+002                  3.4485829207200980E+000                  3.6557994665787357E+000                 -9.2439607422427308E+000                  2.2185707329377160E+000                  6.9999999999998508E-001                  2.8000000000001518E-001                  1.9999999999999796E-002                  1.0000000000000000E+000                  3.7392031942162515E+024                 -1.0804908090363702E+001                  2.9629629629629628E-001                  9.9999999999435685E-001                  0.0000000000000000E+000                  2.8092016881024429E+003                  1.9543616144128694E+014                  1.4291004924077747E+001                  2.8092016880042365E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000608820066471E+001                  1.1999999999838258E+002                 -1.1248473947399459E+001                  1.3661625000000000E+004                  4.1355023601478207E+000                  1.9753613227958492E-002                 -1.7043534538886558E+000                  7.1159584364858496E-003                 -9.8999999999999986E+001                  4.5268850486333276E+003                  1.9392907643505408E+012                  1.2287642929184900E+001                  5.7021581422574994E-010                  2.2812806793217543E+001                  1.6541341693631441E+002                  1.0590772440500276E+000                  1.6435433969226438E+002                  2.2157811758926726E+000                  9.9359739213622689E-001                 -2.4374812352267480E+001                  1.3058468075409719E+000                  3.8966991772017812E-001                  1.6488462197275455E+000                  1.1092052753913686E-004                  6.9160132084918371E+005                  5.8398558140364774E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.3615512006440179E-029                  0.0000000000000000E+000                  8.3615512006440179E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659476E+000                  1.1021529799335210E+000                  1.3826069774960750E+000                  8.5000496627253708E-001                  6.9999999999998508E-001                  2.8000000000001518E-001                  1.9999999999999796E-002                 -1.6989700043360232E+000                  6.9999999999998508E-001                  2.9797635266371096E-005                  2.7997020236474879E-001                  3.4468833607860789E-003                  1.0103427409336064E-003                  9.3805276451495410E-003                  2.0850244238750358E-003                  4.0772218292556769E-003                 -1.5490195998575240E-001                 -4.5258182000685769E+000                 -5.5288818879064117E-001                 -2.4625734124504919E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  1.6858292828907412E-003                 -2.7731864067293044E+000                 -2.7731864067293044E+000                  2.9857770967069226E+006                  6.4750573823295259E+000                 -2.4932805466597512E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1429554726194100E+040                  1.1429554726194100E+040                  2.9857770967069226E+006                  4.0058029311434332E+001                 -7.9547639202426953E+013                  1.3914847095538433E+012                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2540144941644593E-001                  1.2540144941644593E-001                 -2.6426846833246931E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666667139607794E-001                 -1.7609125597474543E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  2.8092016881024429E+003                  3.4485829207200980E+000                  2.8092016881024429E+003                  3.4485829207200980E+000                  0.0000000000000000E+000                  4.6114822824740419E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0358571571043969E-011                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2111041701717051E-003 
                                       4                  1.1999999999744234E+002                  3.4485829206897396E+000                  3.6557994693448728E+000                 -9.2439607228811074E+000                  2.2185707549959752E+000                  6.9999999999998486E-001                  2.8000000000001524E-001                  1.9999999999999907E-002                  1.0000000000000000E+000                  1.5603816107345707E+025                 -1.0184456332945652E+001                  2.3963389266398566E-001                  9.9999999997868605E-001                  0.0000000000000000E+000                  2.8092016879060702E+003                  1.9543616142762531E+014                  1.4291004924047389E+001                  2.8092016874962997E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000608880921183E+001                  1.1999999999351866E+002                 -1.0671334331646102E+001                  5.7012718750000000E+004                  4.7559717515806872E+000                  8.2435815063770332E-002                 -1.0838840637249976E+000                  2.6869571664444342E-002                 -9.8999999999999986E+001                  4.5268850774662633E+003                  1.9392907670264971E+012                  1.2287642929784166E+001                  5.7021583964698744E-010                  2.2812806765966908E+001                  1.6541342533783046E+002                  1.0590772710322072E+000                  1.6435434806679825E+002                  2.2157811980217734E+000                  9.9359739229830224E-001                 -2.4374812298077075E+001                  1.3058468075369407E+000                  3.8966991757152047E-001                  1.6488462191268445E+000                  1.1092052982822604E-004                  6.9160132287036104E+005                  5.8398558153056852E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.3615515734254800E-029                  0.0000000000000000E+000                  8.3615515734254800E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659476E+000                  1.1021529799335208E+000                  1.3826069774960748E+000                  8.5000496627253697E-001                  6.9999999999998486E-001                  2.8000000000001524E-001                  1.9999999999999907E-002                 -1.6989700043360207E+000                  6.9999999999998486E-001                  2.9797635266371130E-005                  2.7997020236474884E-001                  3.4468833607860785E-003                  1.0103427409336061E-003                  9.3805276451495410E-003                  2.0850244238750358E-003                  4.0772218292556769E-003                 -1.5490195998575254E-001                 -4.5258182000685760E+000                 -5.5288818879064106E-001                 -2.4625734124504919E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  1.6858293702639987E-003                 -2.7731863842206654E+000                 -2.7731863842206654E+000                  2.9857770967069217E+006                  6.4750573823295259E+000                 -2.4932805379506475E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1429554726194097E+040                  1.1429554726194097E+040                  2.9857770967069217E+006                  4.0058029311434332E+001                 -7.9547639211181891E+013                  1.3914847127215273E+012                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2540145315846760E-001                  1.2540145315846760E-001                 -2.6426846453297348E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666668452935018E-001                 -1.7609124741918408E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  2.8092016879060702E+003                  3.4485829206897396E+000                  2.8092016879060702E+003                  3.4485829206897396E+000                  0.0000000000000000E+000                  4.6114822882010269E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2669257109379762E-010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2111041847063958E-003 
