                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                    1400                                     1586                  3.0000000000000000E+001                  2.0000000000000000E-002                  5.7918875045528952E+006                  4.9172620157382073E+002                  4.7561198025900230E+003                  3.4889222332448087E+005                  8.6994788045128507E+002                 -4.3302287025551580E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3423271468378266E-001                  4.6822781125662405E-001                  4.6216981905216171E-007                  7.3253831953945026E-002                  2.0207840130648119E-002                  3.0000000000000004E+001                  0.0000000000000000E+000                  1.0898251795317407E+001                  1.9761653890379541E-004                  1.4647134482292486E+001                  3.3363404605503719E+000                  1.7282539502491423E-001                  6.3226582871910630E-001                  1.9066693266860149E-001                  1.0458396308100884E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6885254797685556E+007                  6.9829493835502632E+001                  8.5986439348345844E+005                  3.4938556525048264E+005                  1.6049963940753773E+005                  1.4636664291478443E+005                  1.0995206362160738E+004                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.8277806911367844E+014                               "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20251208"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                     extra_opacity_factor                                       dm                                    logdq                                 dq_ratio                                        q                             vel_km_per_s                                   radius                                radius_cm                                  logR_cm                                     rmid                                 velocity                                  v_div_r                    pressure_scale_height                                     mmid                                    logxq                                       dr                                   log_dr                                dr_div_cs                            log_dr_div_cs                           acoustic_depth                   log_cell_collapse_time                              temperature                                   energy                                     logE                                      rho                                  entropy                                 pressure                                     prad                                     pgas                                  logPgas                          pgas_div_ptotal                                      eta                                       mu                                    grada                                   gamma1                                   free_e                                   csound                               log_csound                             v_div_csound                                 eps_grav                                  eps_nuc                              non_nuc_neu                                       pp                                      cno                                tri_alpha                                  c_alpha                                  n_alpha                                  o_alpha                                 ne_alpha                                 na_alpha                                 mg_alpha                                 si_alpha                                  s_alpha                                 ar_alpha                                 ca_alpha                                 ti_alpha                                 cr_alpha                                 fe_co_ni                                  c12_c12                                  c12_o16                                  o16_o16                                    pnhe4                                    photo                                ni56_co56                                co56_fe56                                    other                                     abar                                     zbar                                    z2bar                                       ye                                        x                                        y                                        z                                    log_z                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                   log_h1                                  log_he3                                  log_he4                                  log_c12                                  log_n14                                  log_o16                                 log_ne20                                 log_mg24                                  opacity                              log_opacity                     log_kap_times_factor                               luminosity                                     logL                           log_L_div_Ledd                                  lum_adv                                 lum_conv                                lum_erg_s                         lum_plus_lum_adv                                  lum_rad                        log_abs_lum_erg_s                             total_energy                        mlt_mixing_length                                 conv_vel                             log_conv_vel                             conv_L_div_L                         log_conv_L_div_L                                    gradT                                    gradr                          gradT_sub_grada                      conv_vel_div_csound                            log_mlt_D_mix                                log_D_mix                               log_D_conv                               log_D_semi                                log_D_ovr                               log_D_thrm                            log_D_minimum                    log_D_rayleigh_taylor                              log_D_omega                              log_sig_mix                                 mix_type                                      tau                                   logtau                                    omega                                log_omega                                log_j_rot                            log_J_div_M53                             log_J_inside                            log_abs_shear                                    i_rot                                    j_rot                                    v_rot                                   fp_rot                                   ft_rot                                log_am_nu                                  r_polar                              log_r_polar                             r_equatorial                         log_r_equatorial                              r_e_div_r_p                               omega_crit                     omega_div_omega_crit                               am_log_sig                             am_log_D_DSI                              am_log_D_SH                             am_log_D_SSI                              am_log_D_ES                             am_log_D_GSF                              am_log_D_ST                             am_log_nu_ST                           dynamo_log_B_r                         dynamo_log_B_phi                    RTI_du_diffusion_kick                                alpha_RTI                        boost_for_eta_RTI                                 dedt_RTI                                 dudt_RTI                                  eta_RTI                            log_alpha_RTI                              log_eta_RTI                  log_lambda_RTI_div_Hrho                              log_sig_RTI               log_source_minus_alpha_RTI                log_source_plus_alpha_RTI                               lambda_RTI                           v_div_v_escape                                        u                                   u_face                                   P_face                               extra_heat                                      zFe                         dPdr_dRhodr_info                                    dlogR                                dPdr_info                              dRhodr_info                       log_du_kick_div_du                     L_div_Ledd_effective 
                                       1                  3.0000000000000004E+001                  2.9394932343307518E+000                  3.6772527857376258E+000                 -9.0655783538234633E+000                  2.4177785411789023E+000                  6.9999999999999762E-001                  2.8000000000000252E-001                  1.9999999999999796E-002                  1.0000000000000000E+000                  5.9652296120941513E+022                 -1.2000000000000000E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  8.6994788045128507E+002                  6.0522274042995906E+013                  1.3781915237688402E+001                  8.6994788044045231E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0246904043761553E+000                  2.9999999999985000E+001                 -9.8999999999999986E+001                  1.5070625000000000E+003                  3.1781312634906591E+000                  2.1318416601029478E-003                 -2.6712450551319811E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  4.7561198041958678E+003                  1.9604491343868152E+012                  1.2292355578622097E+001                  8.5984792227381086E-010                  2.2551311178575801E+001                  2.6168482643099418E+002                  1.2904492016311955E+000                  2.6039437722936299E+002                  2.4156316021518180E+000                  9.9506868923494318E-001                 -2.3835449104144054E+001                  1.3058025362751178E+000                  3.8778004036413777E-001                  1.6420854094599475E+000                  1.3616394452632550E-004                  7.0692984765445627E+005                  5.8493763186226397E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2608801688432018E-028                  0.0000000000000000E+000                  1.2608801688432018E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659339E+000                  1.1021529799335146E+000                  1.3826069774960548E+000                  8.5000496627254118E-001                  6.9999999999999762E-001                  2.8000000000000252E-001                  1.9999999999999796E-002                 -1.6989700043360232E+000                  6.9999999999999762E-001                  2.9797635253663582E-005                  2.7997020236474884E-001                  3.4468833607860798E-003                  1.0103427409336066E-003                  9.3805276451495410E-003                  2.0850244238750362E-003                  4.0772218292556769E-003                 -1.5490195998574463E-001                 -4.5258182002537861E+000                 -5.5288818879064106E-001                 -2.4625734124504914E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  2.7759060098371930E-003                 -2.5565952428641960E+000                 -2.5565952428641960E+000                  3.4889222332448087E+005                  5.5426912892964761E+000                 -2.6069954787486429E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3355594308861129E+039                  1.3355594308861129E+039                  3.4889222332448087E+005                  3.9125663218401279E+001                 -6.3823153068318820E+013                  5.5999542286489819E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2530896890186555E-001                  1.2530896890186555E-001                 -2.6247107146227222E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666666666666663E-001                 -1.7609125905568127E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  8.6994788045128507E+002                  2.9394932343307518E+000                  8.6994788045128507E+002                  2.9394932343307518E+000                  0.0000000000000000E+000                  1.3384624444160079E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0814353940915184E-011                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4713796326321269E-003 
                                       2                  2.9999999999970004E+001                  2.9394932343199378E+000                  3.6772527862888711E+000                 -9.0655783499653229E+000                  2.4177785455779919E+000                  6.9999999999999751E-001                  2.8000000000000252E-001                  2.0000000000000018E-002                  1.0000000000000000E+000                  1.6485208987122539E+023                 -1.1558532707906361E+001                  3.6185344187956037E-001                  9.9999999999900002E-001                  0.0000000000000000E+000                  8.6994788042962261E+002                  6.0522274041488844E+013                  1.3781915237677588E+001                  8.6994788039968319E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0246904091928144E+000                  2.9999999999928548E+001                 -1.2000000000000000E+001                  4.1651250000000000E+003                  3.6196280395952973E+000                  5.8918505302566013E-003                 -2.2297482792612056E+000                  2.1318416601029478E-003                 -9.8999999999999986E+001                  4.7561198102327562E+003                  1.9604491349595400E+012                  1.2292355578748971E+001                  8.5984792991244103E-010                  2.2551311173187042E+001                  2.6168482908167272E+002                  1.2904492081830052E+000                  2.6039437987348970E+002                  2.4156316065617816E+000                  9.9506868925985670E-001                 -2.3835449089988234E+001                  1.3058025362733821E+000                  3.8778004026778040E-001                  1.6420854091830890E+000                  1.3616394549713641E-004                  7.0692984803513007E+005                  5.8493763188565024E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2608801800447990E-028                  0.0000000000000000E+000                  1.2608801800447990E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659334E+000                  1.1021529799335141E+000                  1.3826069774960541E+000                  8.5000496627254107E-001                  6.9999999999999751E-001                  2.8000000000000252E-001                  2.0000000000000018E-002                 -1.6989700043360183E+000                  6.9999999999999751E-001                  2.9797635253663572E-005                  2.7997020236474884E-001                  3.4468833607860789E-003                  1.0103427409336066E-003                  9.3805276451495410E-003                  2.0850244238750362E-003                  4.0772218292556769E-003                 -1.5490195998574469E-001                 -4.5258182002537861E+000                 -5.5288818879064106E-001                 -2.4625734124504919E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  2.7759060435622348E-003                 -2.5565952375878651E+000                 -2.5565952375878651E+000                  3.4889222332448099E+005                  5.5426912892964761E+000                 -2.6069954787486429E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3355594308861133E+039                  1.3355594308861133E+039                  3.4889222332448099E+005                  3.9125663218401279E+001                 -6.3823153070704945E+013                  5.5999542302290466E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2530896947471623E-001                  1.2530896947471623E-001                 -2.6247107086381871E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666667026409021E-001                 -1.7609125671216946E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  8.6994788042962261E+002                  2.9394932343199378E+000                  8.6994788042962261E+002                  2.9394932343199378E+000                  0.0000000000000000E+000                  1.3384624445094269E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9887979767365964E-011                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4713796314443357E-003 
                                       3                  2.9999999999887095E+001                  2.9394932342900497E+000                  3.6772527883841808E+000                 -9.0655783353003496E+000                  2.4177785622991377E+000                  6.9999999999999762E-001                  2.8000000000000247E-001                  1.9999999999999907E-002                  1.0000000000000000E+000                  6.8849990475629376E+023                 -1.0937723280565560E+001                  2.3943661971831001E-001                  9.9999999999623645E-001                  0.0000000000000000E+000                  8.6994788036975308E+002                  6.0522274037323719E+013                  1.3781915237647699E+001                  8.6994788024472598E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0246904277049236E+000                  2.9999999999713971E+001                 -1.1424402335137032E+001                  1.7395843750000000E+004                  4.2404454981645125E+000                  2.4607595453416616E-002                 -1.6089308215809146E+000                  8.0236921903595500E-003                 -9.8999999999999986E+001                  4.7561198331792730E+003                  1.9604491371365286E+012                  1.2292355579231234E+001                  8.5984795894722738E-010                  2.2551311152704624E+001                  2.6168483915702575E+002                  1.2904492330867636E+000                  2.6039438992393900E+002                  2.4156316233242578E+000                  9.9506868935455450E-001                 -2.3835449036181380E+001                  1.3058025362667844E+000                  3.8778003990152132E-001                  1.6420854081307377E+000                  1.3616394918723314E-004                  7.0692984948209114E+005                  5.8493763197454269E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2608802226225892E-028                  0.0000000000000000E+000                  1.2608802226225892E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659336E+000                  1.1021529799335144E+000                  1.3826069774960545E+000                  8.5000496627254107E-001                  6.9999999999999762E-001                  2.8000000000000247E-001                  1.9999999999999907E-002                 -1.6989700043360207E+000                  6.9999999999999762E-001                  2.9797635253663674E-005                  2.7997020236474879E-001                  3.4468833607860915E-003                  1.0103427409336066E-003                  9.3805276451495410E-003                  2.0850244238750362E-003                  4.0772218292556769E-003                 -1.5490195998574463E-001                 -4.5258182002537843E+000                 -5.5288818879064117E-001                 -2.4625734124504901E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  2.7759061717526185E-003                 -2.5565952175322963E+000                 -2.5565952175322963E+000                  3.4889222332448105E+005                  5.5426912892964761E+000                 -2.6069954709986942E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3355594308861135E+039                  1.3355594308861135E+039                  3.4889222332448105E+005                  3.9125663218401279E+001                 -6.3823153079775070E+013                  5.5999542397174219E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2530897264057100E-001                  1.2530897264057100E-001                 -2.6247106755645477E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666668020574960E-001                 -1.7609125023575783E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  8.6994788036975308E+002                  2.9394932342900497E+000                  8.6994788036975308E+002                  2.9394932342900497E+000                  0.0000000000000000E+000                  1.3384624439677419E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2482871896644344E-010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4713796464234878E-003 
                                       4                  2.9999999999540840E+001                  2.9394932341652211E+000                  3.6772527965749378E+000                 -9.0655782779736445E+000                  2.4177786276636115E+000                  6.9999999999999751E-001                  2.8000000000000258E-001                  1.9999999999999907E-002                  1.0000000000000000E+000                  2.6473306196967361E+024                 -1.0352818982243880E+001                  2.6007326007325998E-001                  9.9999999998469458E-001                  0.0000000000000000E+000                  8.6994788011970502E+002                  6.0522274019927875E+013                  1.3781915237522870E+001                  8.6994787963898136E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0246904999253017E+000                  2.9999999998875150E+001                 -1.0815154346533987E+001                  6.6887460937500000E+004                  4.8253447103529608E+000                  9.4616828602330352E-002                 -1.0240316128673554E+000                  3.2631287643776166E-002                 -9.8999999999999986E+001                  4.7561199228792875E+003                  1.9604491456464910E+012                  1.2292355581116430E+001                  8.5984807244683579E-010                  2.2551311072636185E+001                  2.6168487854249781E+002                  1.2904493304378164E+000                  2.6039442921206000E+002                  2.4156316888502962E+000                  9.9506868972473606E-001                 -2.3835448825845422E+001                  1.3058025362409935E+000                  3.8778003846978076E-001                  1.6420854040169979E+000                  1.3616396361216404E-004                  7.0692985513839766E+005                  5.8493763232203158E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2608803890630244E-028                  0.0000000000000000E+000                  1.2608803890630244E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659336E+000                  1.1021529799335144E+000                  1.3826069774960545E+000                  8.5000496627254107E-001                  6.9999999999999751E-001                  2.8000000000000258E-001                  1.9999999999999907E-002                 -1.6989700043360207E+000                  6.9999999999999751E-001                  2.9797635253663630E-005                  2.7997020236474890E-001                  3.4468833607860872E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                 -1.5490195998574469E-001                 -4.5258182002537852E+000                 -5.5288818879064094E-001                 -2.4625734124504906E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  2.7759066728606087E-003                 -2.5565951391332429E+000                 -2.5565951391332429E+000                  3.4889222332448099E+005                  5.5426912892964761E+000                 -2.6069954386312872E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3355594308861133E+039                  1.3355594308861133E+039                  3.4889222332448099E+005                  3.9125663218401279E+001                 -6.3823153115230875E+013                  5.5999542793453101E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2530898586266453E-001                  1.2530898586266453E-001                 -2.6247105374335217E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666672172679964E-001                 -1.7609122318721485E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  8.6994788011970502E+002                  2.9394932341652211E+000                  8.6994788011970502E+002                  2.9394932341652211E+000                  0.0000000000000000E+000                  1.3384624453979388E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.7996969542474156E-010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4713797216728600E-003 
