                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                    1350                                     1551                  3.0000000000000000E+001                  2.0000000000000000E-002                  5.7417330965776052E+006                  9.0634753464183325E+002                  5.3453364711174281E+003                  3.4886882301960624E+005                  6.8870644201481866E+002                 -4.3468651729939012E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6347232904787148E-001                  3.7661694094028714E-001                  5.5208024907389146E-007                  3.5684434701696036E-002                  2.0148481838782945E-002                  3.0000000000000004E+001                  0.0000000000000000E+000                  1.0991747044982326E+001                  1.9123910671474826E-004                  1.5547340300725281E+001                  2.6148641159065784E+000                  1.7157495988927679E-001                  3.6522047092570964E-001                  1.8674494158142316E-001                  1.0344818598175650E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3025366581450913E+007                  8.8211886966622032E+001                  8.5992206871159771E+005                  3.4917714240774029E+005                  1.7274443985817037E+005                  1.5193816902326114E+005                  1.1827649614914368E+004                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.8119531636855744E+014                               "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20251215"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                     extra_opacity_factor                                       dm                                    logdq                                 dq_ratio                                        q                             vel_km_per_s                                   radius                                radius_cm                                  logR_cm                                     rmid                                 velocity                                  v_div_r                    pressure_scale_height                                     mmid                                    logxq                                       dr                                   log_dr                                dr_div_cs                            log_dr_div_cs                           acoustic_depth                   log_cell_collapse_time                              temperature                                   energy                                     logE                                      rho                                  entropy                                 pressure                                     prad                                     pgas                                  logPgas                          pgas_div_ptotal                                      eta                                       mu                                    grada                                   gamma1                                   free_e                                   csound                               log_csound                             v_div_csound                                 eps_grav                                  eps_nuc                              non_nuc_neu                                       pp                                      cno                                tri_alpha                                  c_alpha                                  n_alpha                                  o_alpha                                 ne_alpha                                 na_alpha                                 mg_alpha                                 si_alpha                                  s_alpha                                 ar_alpha                                 ca_alpha                                 ti_alpha                                 cr_alpha                                 fe_co_ni                                  c12_c12                                  c12_o16                                  o16_o16                                    pnhe4                                    photo                                ni56_co56                                co56_fe56                                    other                                     abar                                     zbar                                    z2bar                                       ye                                        x                                        y                                        z                                    log_z                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                   log_h1                                  log_he3                                  log_he4                                  log_c12                                  log_n14                                  log_o16                                 log_ne20                                 log_mg24                                  opacity                              log_opacity                     log_kap_times_factor                               luminosity                                     logL                           log_L_div_Ledd                                  lum_adv                                 lum_conv                                lum_erg_s                         lum_plus_lum_adv                                  lum_rad                        log_abs_lum_erg_s                             total_energy                        mlt_mixing_length                                 conv_vel                             log_conv_vel                             conv_L_div_L                         log_conv_L_div_L                                    gradT                                    gradr                          gradT_sub_grada                      conv_vel_div_csound                            log_mlt_D_mix                                log_D_mix                               log_D_conv                               log_D_semi                                log_D_ovr                               log_D_thrm                            log_D_minimum                    log_D_rayleigh_taylor                              log_D_omega                              log_sig_mix                                 mix_type                                      tau                                   logtau                                    omega                                log_omega                                log_j_rot                            log_J_div_M53                             log_J_inside                            log_abs_shear                                    i_rot                                    j_rot                                    v_rot                                   fp_rot                                   ft_rot                                log_am_nu                                  r_polar                              log_r_polar                             r_equatorial                         log_r_equatorial                              r_e_div_r_p                               omega_crit                     omega_div_omega_crit                               am_log_sig                             am_log_D_DSI                              am_log_D_SH                             am_log_D_SSI                              am_log_D_ES                             am_log_D_GSF                              am_log_D_ST                             am_log_nu_ST                           dynamo_log_B_r                         dynamo_log_B_phi                    RTI_du_diffusion_kick                                alpha_RTI                        boost_for_eta_RTI                                 dedt_RTI                                 dudt_RTI                                  eta_RTI                            log_alpha_RTI                              log_eta_RTI                  log_lambda_RTI_div_Hrho                              log_sig_RTI               log_source_minus_alpha_RTI                log_source_plus_alpha_RTI                               lambda_RTI                           v_div_v_escape                                        u                                   u_face                                   P_face                               extra_heat                                      zFe                         dPdr_dRhodr_info                                    dlogR                                dPdr_info                              dRhodr_info                       log_du_kick_div_du                     L_div_Ledd_effective 
                                       1                  3.0000000000000004E+001                  2.8380341453033151E+000                  3.7279750483343443E+000                 -9.2646467845306617E+000                  2.2723685213023961E+000                  6.9999999999999662E-001                  2.8000000000000363E-001                  1.9999999999999796E-002                  1.0000000000000000E+000                  5.9652296120941513E+022                 -1.2000000000000000E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  6.8870644201481866E+002                  4.7913307170970938E+013                  1.3680456148660964E+001                  6.8870644198748323E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8541231690139428E+000                  2.9999999999985000E+001                 -9.8999999999999986E+001                  3.8032734375000000E+003                  3.5801575502678595E+000                  5.2146218337355849E-003                 -2.2827771812886377E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  5.3453364777486659E+003                  2.0302687069948899E+012                  1.2307553520791181E+001                  5.4369234142025091E-010                  2.3071129821483467E+001                  1.8722701844698196E+002                  2.0588749215779480E+000                  1.8516814352540402E+002                  2.2675662724044376E+000                  9.8900332367274779E-001                 -2.2943324887233985E+001                  1.3049583202254906E+000                  3.4475187557247061E-001                  1.5447356066176252E+000                  6.2601462351074481E-004                  7.2934789113469783E+005                  5.8629347315564972E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.9726066787543523E-029                  0.0000000000000000E+000                  7.9726066787543523E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659350E+000                  1.1021529799335150E+000                  1.3826069774960565E+000                  8.5000496627254074E-001                  6.9999999999999662E-001                  2.8000000000000363E-001                  1.9999999999999796E-002                 -1.6989700043360232E+000                  6.9999999999999662E-001                  2.9797635254714906E-005                  2.7997020236474890E-001                  3.4468833607860837E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                 -1.5490195998574524E-001                 -4.5258182002384633E+000                 -5.5288818879064094E-001                 -2.4625734124504910E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  6.2094809939310693E-003                 -2.2069446978735638E+000                 -2.2069446978735638E+000                  3.4886882301960624E+005                  5.5426621600599297E+000                 -2.2573740565029556E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3354698545190527E+039                  1.3354698545190527E+039                  3.4886882301960624E+005                  3.9125634089164734E+001                 -8.1065084864595062E+013                  3.9712269773659998E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2569109273382464E-001                  1.2569109273382464E-001                 -2.1906078283864597E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666666666666663E-001                 -1.7609125905568127E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  6.8870644201481866E+002                  2.8380341453033151E+000                  6.8870644201481866E+002                  2.8380341453033151E+000                  0.0000000000000000E+000                  1.8972665053767578E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4473549736320152E-011                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5279089218019340E-003 
                                       2                  2.9999999999970004E+001                  2.8380341452688418E+000                  3.7279750503018403E+000                 -9.2646467707754177E+000                  2.2723685369558146E+000                  6.9999999999999662E-001                  2.8000000000000363E-001                  1.9999999999999796E-002                  1.0000000000000000E+000                  1.6485208987122539E+023                 -1.1558532707906361E+001                  3.6185344187956037E-001                  9.9999999999900002E-001                  0.0000000000000000E+000                  6.8870644196015041E+002                  4.7913307167167664E+013                  1.3680456148626490E+001                  6.8870644188461108E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8541231810382346E+000                  2.9999999999928548E+001                 -1.2000000000000000E+001                  1.0510375000000000E+004                  4.0216182115111465E+000                  1.4410646986954233E-002                 -1.8413165204659256E+000                  5.2146218337355849E-003                 -9.8999999999999986E+001                  5.3453365019647845E+003                  2.0302687095712234E+012                  1.2307553521342285E+001                  5.4369235864041025E-010                  2.3071129802739602E+001                  1.8722702519526689E+002                  2.0588749588874493E+000                  1.8516815023637943E+002                  2.2675662881443999E+000                  9.8900332386983036E-001                 -2.2943324813808545E+001                  1.3049583201737280E+000                  3.4475187398174834E-001                  1.5447356028579040E+000                  6.2601465390242075E-004                  7.2934789184100495E+005                  5.8629347319770719E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.9726069312733645E-029                  0.0000000000000000E+000                  7.9726069312733645E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659350E+000                  1.1021529799335150E+000                  1.3826069774960565E+000                  8.5000496627254074E-001                  6.9999999999999662E-001                  2.8000000000000363E-001                  1.9999999999999796E-002                 -1.6989700043360232E+000                  6.9999999999999662E-001                  2.9797635254714882E-005                  2.7997020236474890E-001                  3.4468833607860798E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                 -1.5490195998574524E-001                 -4.5258182002384633E+000                 -5.5288818879064094E-001                 -2.4625734124504914E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  6.2094814186888989E-003                 -2.2069446681657712E+000                 -2.2069446681657712E+000                  3.4886882301960635E+005                  5.5426621600599297E+000                 -2.2573740565029556E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3354698545190531E+039                  1.3354698545190531E+039                  3.4886882301960635E+005                  3.9125634089164734E+001                 -8.1065084874274344E+013                  3.9712269813514056E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2569109561700062E-001                  1.2569109561700062E-001                 -2.1906077953280459E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666667950652714E-001                 -1.7609125069126050E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  6.8870644196015041E+002                  2.8380341452688418E+000                  6.8870644196015041E+002                  2.8380341452688418E+000                  0.0000000000000000E+000                  1.8972665058009016E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.5267839075732350E-011                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5279089495330388E-003 
                                       3                  2.9999999999887095E+001                  2.8380341451735740E+000                  3.7279750577803816E+000                 -9.2646467184910950E+000                  2.2723685964551854E+000                  6.9999999999999640E-001                  2.8000000000000363E-001                  2.0000000000000018E-002                  1.0000000000000000E+000                  6.8849990475629376E+023                 -1.0937723280565560E+001                  2.3943661971831001E-001                  9.9999999999623645E-001                  0.0000000000000000E+000                  6.8870644180907414E+002                  4.7913307156657289E+013                  1.3680456148531222E+001                  6.8870644149358918E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8541232272102448E+000                  2.9999999999713971E+001                 -1.1424402335137032E+001                  4.3896406250000000E+004                  4.6424289664908489E+000                  6.0185827064799705E-002                 -1.2205057670848454E+000                  1.9625268820689816E-002                 -9.8999999999999986E+001                  5.3453365940113636E+003                  2.0302687193639463E+012                  1.2307553523437045E+001                  5.4369242409504968E-010                  2.3071129731492654E+001                  1.8722705084581392E+002                  2.0588751007025818E+000                  1.8516817574511134E+002                  2.2675663479727275E+000                  9.8900332461895091E-001                 -2.2943324534715096E+001                  1.3049583199769774E+000                  3.4475186793534107E-001                  1.5447355885670349E+000                  6.2601476942256368E-004                  7.2934789452570735E+005                  5.8629347335756936E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.9726078911100599E-029                  0.0000000000000000E+000                  7.9726078911100599E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659348E+000                  1.1021529799335146E+000                  1.3826069774960561E+000                  8.5000496627254052E-001                  6.9999999999999640E-001                  2.8000000000000363E-001                  2.0000000000000018E-002                 -1.6989700043360183E+000                  6.9999999999999640E-001                  2.9797635254714876E-005                  2.7997020236474890E-001                  3.4468833607860789E-003                  1.0103427409336066E-003                  9.3805276451495410E-003                  2.0850244238750362E-003                  4.0772218292556769E-003                 -1.5490195998574538E-001                 -4.5258182002384642E+000                 -5.5288818879064094E-001                 -2.4625734124504919E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  6.2094830332130530E-003                 -2.2069445552450948E+000                 -2.2069445552450948E+000                  3.4886882301960635E+005                  5.5426621600599297E+000                 -2.2573740128732904E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3354698545190531E+039                  1.3354698545190531E+039                  3.4886882301960635E+005                  3.9125634089164734E+001                 -8.1065084911065703E+013                  3.9712270051104785E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2569111155225052E-001                  1.2569111155225052E-001                 -2.1906076126144189E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666671499012331E-001                 -1.7609122757576653E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  6.8870644180907414E+002                  2.8380341451735740E+000                  6.8870644180907414E+002                  2.8380341451735740E+000                  0.0000000000000000E+000                  1.8972665103937040E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9788459854777927E-010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5279092737924298E-003 
                                       4                  2.9999999999540840E+001                  2.8380341447756892E+000                  3.7279750716964242E+000                 -9.2646466212006935E+000                  2.2723687071713239E+000                  6.9999999999999662E-001                  2.8000000000000358E-001                  1.9999999999999796E-002                  1.0000000000000000E+000                  8.9941360797389103E+023                 -1.0821667710997552E+001                  7.6549865229110503E-001                  9.9999999998469458E-001                  0.0000000000000000E+000                  6.8870644117810673E+002                  4.7913307112760883E+013                  1.3680456148133338E+001                  6.8870644076597648E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8541233102455776E+000                  2.9999999999314678E+001                 -1.0815154346533987E+001                  5.7343453125000000E+004                  4.7584838418713309E+000                  7.8622908440032238E-002                 -1.1044508946790708E+000                  7.9811095885489514E-002                 -9.8999999999999986E+001                  5.3453367652913003E+003                  2.0302687375862292E+012                  1.2307553527334971E+001                  5.4369254589273052E-010                  2.3071129598917352E+001                  1.8722709857623533E+002                  2.0588753645916809E+000                  1.8516822321164366E+002                  2.2675664593009852E+000                  9.8900332601290974E-001                 -2.2943324015379126E+001                  1.3049583196108629E+000                  3.4475185668420216E-001                  1.5447355619746252E+000                  6.2601498438212869E-004                  7.2934789952138904E+005                  5.8629347365504021E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.9726096771696196E-029                  0.0000000000000000E+000                  7.9726096771696196E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659350E+000                  1.1021529799335150E+000                  1.3826069774960565E+000                  8.5000496627254074E-001                  6.9999999999999662E-001                  2.8000000000000358E-001                  1.9999999999999796E-002                 -1.6989700043360232E+000                  6.9999999999999662E-001                  2.9797635254714876E-005                  2.7997020236474884E-001                  3.4468833607860798E-003                  1.0103427409336068E-003                  9.3805276451495410E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                 -1.5490195998574524E-001                 -4.5258182002384642E+000                 -5.5288818879064106E-001                 -2.4625734124504914E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  6.2094860375144466E-003                 -2.2069443451227393E+000                 -2.2069443451227393E+000                  3.4886882301960629E+005                  5.5426621600599297E+000                 -2.2573738306553537E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3354698545190530E+039                  1.3354698545190530E+039                  3.4886882301960629E+005                  3.9125634089164734E+001                 -8.1065084979526844E+013                  3.9712271043394800E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2569117810535904E-001                  1.2569117810535904E-001                 -2.1906068495162564E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666686318635771E-001                 -1.7609113103457399E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  6.8870644117810673E+002                  2.8380341447756892E+000                  6.8870644117810673E+002                  2.8380341447756892E+000                  0.0000000000000000E+000                  1.8972665105328175E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1977096154827530E-010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5279115000773631E-003 
