                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                    3900                                     1981                  4.0000000000000000E+001                  2.0000000000000000E-002                  4.9612757531712130E+006                  3.9034683395000376E+000                  6.4410434818427748E+003                  3.8744905454587203E+005                  4.9985955893523055E+002                 -3.0565489617703556E+000                  0.0000000000000000E+000                  1.5378220040171731E-099                  1.7993159426985556E-014                  1.9533628959639671E-001                  5.5178400437113427E-024                  7.6984446402557893E-001                  2.8792152193808734E-002                  4.0000000000000000E+001                  0.0000000000000000E+000                  1.2027811921075346E+001                  1.8886317075988461E-004                  1.5455526618510934E+001                  2.4306793463381835E+000                  2.2223539309734633E-001                  9.2502324196384489E+000                  4.2743212732253349E-001                  1.5335938572362533E+001                  1.1785542127025982E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7684755635038346E+007                  1.9455315758731126E+002                  1.0323937955374259E+006                  1.7077171031053122E+006                  4.1579000306724747E+003                  2.4564232091935683E+005                  1.9963542822578840E+005                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.5656595570827588E+014                               "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20251217"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188                                      189                                      190 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                     extra_opacity_factor                                       dm                                    logdq                                 dq_ratio                                        q                             vel_km_per_s                                   radius                                radius_cm                                  logR_cm                                     rmid                                 velocity                                  v_div_r                    pressure_scale_height                                     mmid                                    logxq                                       dr                                   log_dr                                dr_div_cs                            log_dr_div_cs                           acoustic_depth                   log_cell_collapse_time                              temperature                                   energy                                     logE                                      rho                                  entropy                                 pressure                                     prad                                     pgas                                  logPgas                          pgas_div_ptotal                                      eta                                       mu                                    grada                                   gamma1                                   free_e                                   csound                               log_csound                             v_div_csound                                 eps_grav                                  eps_nuc                              non_nuc_neu                                       pp                                      cno                                tri_alpha                                  c_alpha                                  n_alpha                                  o_alpha                                 ne_alpha                                 na_alpha                                 mg_alpha                                 si_alpha                                  s_alpha                                 ar_alpha                                 ca_alpha                                 ti_alpha                                 cr_alpha                                 fe_co_ni                                  c12_c12                                  c12_o16                                  o16_o16                                    pnhe4                                    photo                                ni56_co56                                co56_fe56                                    other                                     abar                                     zbar                                    z2bar                                       ye                                        x                                        y                                        z                                    log_z                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                     si28                                   log_h1                                  log_he3                                  log_he4                                  log_c12                                  log_n14                                  log_o16                                 log_ne20                                 log_mg24                                 log_si28                                  opacity                              log_opacity                     log_kap_times_factor                               luminosity                                     logL                           log_L_div_Ledd                                  lum_adv                                 lum_conv                                lum_erg_s                         lum_plus_lum_adv                                  lum_rad                        log_abs_lum_erg_s                             total_energy                        mlt_mixing_length                                 conv_vel                             log_conv_vel                             conv_L_div_L                         log_conv_L_div_L                                    gradT                                    gradr                          gradT_sub_grada                      conv_vel_div_csound                            log_mlt_D_mix                                log_D_mix                               log_D_conv                               log_D_semi                                log_D_ovr                               log_D_thrm                            log_D_minimum                    log_D_rayleigh_taylor                              log_D_omega                              log_sig_mix                                 mix_type                                      tau                                   logtau                                    omega                                log_omega                                log_j_rot                            log_J_div_M53                             log_J_inside                            log_abs_shear                                    i_rot                                    j_rot                                    v_rot                                   fp_rot                                   ft_rot                                log_am_nu                                  r_polar                              log_r_polar                             r_equatorial                         log_r_equatorial                              r_e_div_r_p                               omega_crit                     omega_div_omega_crit                               am_log_sig                             am_log_D_DSI                              am_log_D_SH                             am_log_D_SSI                              am_log_D_ES                             am_log_D_GSF                              am_log_D_ST                             am_log_nu_ST                           dynamo_log_B_r                         dynamo_log_B_phi                    RTI_du_diffusion_kick                                alpha_RTI                        boost_for_eta_RTI                                 dedt_RTI                                 dudt_RTI                                  eta_RTI                            log_alpha_RTI                              log_eta_RTI                  log_lambda_RTI_div_Hrho                              log_sig_RTI               log_source_minus_alpha_RTI                log_source_plus_alpha_RTI                               lambda_RTI                           v_div_v_escape                                        u                                   u_face                                   P_face                               extra_heat                                      zFe                         dPdr_dRhodr_info                                    dlogR                                dPdr_info                              dRhodr_info                       log_du_kick_div_du                     L_div_Ledd_effective 
                                       1                  4.0000000000000000E+001                  2.6988480016421041E+000                  3.8089562394072165E+000                 -9.6838933627619799E+000                  1.8816502851794563E+000                  5.2597132348848907E-001                  4.5417263928582885E-001                  1.9856037225682077E-002                  1.0000000000000000E+000                  7.9536394827922017E+022                 -1.2000000000000000E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  4.9985955893523055E+002                  3.4775229515123988E+013                  1.3541270004999753E+001                  4.9985955875356916E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2041761720390509E+000                  3.9999999999979998E+001                 -9.8999999999999986E+001                  2.5276117187500000E+004                  4.4027103602133391E+000                  3.8192932620871062E-002                 -1.4180169933113258E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  6.4410436068694189E+003                  1.8538923982072551E+012                  1.2268084523648307E+001                  2.0706497164293563E-010                  2.0690975789430905E+001                  7.6146559433477407E+001                  4.3406495922259465E+000                  7.1805909841251463E+001                  1.8561601894487301E+000                  9.4299611663980709E-001                 -2.1323529756485250E+001                  1.5440913323261789E+000                  1.5629533955243050E-001                  1.1909980738235348E+000                  1.0984422043806367E-002                  6.6180090014055406E+005                  5.8207273535246644E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7142481051491491E-029                  0.0000000000000000E+000                  1.7142481051491491E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5607070627244617E+000                  1.1907999870922146E+000                  1.6621812733732437E+000                  7.6298750453110931E-001                  5.2597132348848907E-001                  4.5417263928582885E-001                  1.9856037225682077E-002                 -1.7021074216383973E+000                  5.2597132348848907E-001                  1.1056721189511561E-005                  4.5416158256463934E-001                  1.4234508837758584E-003                  6.7394253437931513E-003                  5.5309147450919981E-003                  2.0850244238379305E-003                  4.0772218291831187E-003                  1.8808578039619326E-095                 -2.7903793339418342E-001                 -4.9563736416042534E+000                 -3.4278960544396853E-001                 -2.8466575136052761E+000                 -2.1713771332361147E+000                 -2.2572030358033817E+000                 -2.6808888533636459E+000                 -2.3896356592691221E+000                 -9.4725644036607520E+001                  3.9559263788080695E-002                 -1.4027517993738778E+000                 -1.4027517993738778E+000                  3.8744905454587203E+005                  5.5882146054638371E+000                 -1.5325673264135975E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4831549808015982E+039                  1.4831549808015982E+039                  3.8744905454587203E+005                  3.9171186534568641E+001                 -1.5079779893334425E+014                  1.6754907257751355E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2866727663528990E-001                  1.2866727663528990E-001                 -2.7628062917140594E-002                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666666666666663E-001                 -1.7609125905568127E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  4.9985955893523055E+002                  2.6988480016421041E+000                  4.9985955893523055E+002                  2.6988480016421041E+000                  0.0000000000000000E+000                  3.5003767173344662E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1566372436352626E-010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9333743239777246E-002 
                                       2                  3.9999999999960004E+001                  2.6988480013264406E+000                  3.8089562635405434E+000                 -9.6838931976606677E+000                  1.8816504727432035E+000                  5.2597132348643516E-001                  4.5417263928788570E-001                  1.9856037225679080E-002                  1.0000000000000000E+000                  1.4816370768391347E+023                 -1.1729824064326229E+001                  5.3681428516625529E-001                  9.9999999999900002E-001                  0.0000000000000000E+000                  4.9985955857191135E+002                  3.4775229489847871E+013                  1.3541270004684090E+001                  4.9985955823350741E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2041762325717622E+000                  3.9999999999922743E+001                 -1.2000000000000000E+001                  4.7085277343750000E+004                  4.6728851328635175E+000                  7.1147193894255056E-002                 -1.1478422241850821E+000                  3.8192932620871062E-002                 -9.8999999999999986E+001                  6.4410439647920330E+003                  1.8538924967391028E+012                  1.2268084546730465E+001                  2.0706505036073332E-010                  2.0690975712339547E+001                  7.6146592319773944E+001                  4.3406505570489609E+000                  7.1805941762724984E+001                  1.8561603825152444E+000                  9.4299612858812376E-001                 -2.1323528939103003E+001                  1.5440913186959750E+000                  1.5629530765178085E-001                  1.1909980315510282E+000                  1.0984427762035079E-002                  6.6180090551051253E+005                  5.8207273570485993E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7142487568327345E-029                  0.0000000000000000E+000                  1.7142487568327348E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5607070627282125E+000                  1.1907999870934736E+000                  1.6621812733772023E+000                  7.6298750453008235E-001                  5.2597132348643516E-001                  4.5417263928788570E-001                  1.9856037225679080E-002                 -1.7021074216384631E+000                  5.2597132348643516E-001                  1.1056721189319790E-005                  4.5416158256669636E-001                  1.4234508837547984E-003                  6.7394253438632576E-003                  5.5309147450399564E-003                  2.0850244238379305E-003                  4.0772218291831187E-003                  1.8808578040397126E-095                 -2.7903793339587935E-001                 -4.9563736416117861E+000                 -3.4278960544200149E-001                 -2.8466575136117016E+000                 -2.1713771332315970E+000                 -2.2572030358074682E+000                 -2.6808888533636459E+000                 -2.3896356592691221E+000                 -9.4725644036589557E+001                  3.9559297867778391E-002                 -1.4027514252360183E+000                 -1.4027514252360183E+000                  3.8744905454603175E+005                  5.5882146054640156E+000                 -1.5325673264134183E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4831549808022096E+039                  1.4831549808022096E+039                  3.8744905454603175E+005                  3.9171186534568818E+001                 -1.5079779899341509E+014                  1.6754907536115173E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2866732477444068E-001                  1.2866732477444068E-001                 -2.7628003634987963E-002                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666687371141953E-001                 -1.7609112417811168E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  4.9985955857191135E+002                  2.6988480013264406E+000                  4.9985955857191135E+002                  2.6988480013264406E+000                  0.0000000000000000E+000                  3.5003767227954862E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.8802991694078318E-010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9333748066096611E-002 
                                       3                  3.9999999999885489E+001                  2.6988480007384106E+000                  3.8089562949475231E+000                 -9.6838929827990725E+000                  1.8816507168373162E+000                  5.2597132348376241E-001                  4.5417263929056240E-001                  1.9856037225675194E-002                  1.0000000000000000E+000                  1.4816370768391347E+023                 -1.1729824064326229E+001                  1.0000000000000000E+000                  9.9999999999713718E-001                  0.0000000000000000E+000                  4.9985955789510700E+002                  3.4775229442762594E+013                  1.3541270004096059E+001                  4.9985955755670130E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2041763103666614E+000                  3.9999999999848235E+001                 -1.1543202675551688E+001                  4.7085273437500000E+004                  4.6728850968339346E+000                  7.1147187240503951E-002                 -1.1478422648007038E+000                  1.0934012651512612E-001                 -9.8999999999999986E+001                  6.4410444305905967E+003                  1.8538926249680884E+012                  1.2268084576769498E+001                  2.0706515280352214E-010                  2.0690975612014530E+001                  7.6146635117785138E+001                  4.3406518126646816E+000                  7.1805983305120449E+001                  1.8561606337706065E+000                  9.4299614413755140E-001                 -2.1323527875366693E+001                  1.5440913009576833E+000                  1.5629526613644104E-001                  1.1909979765377952E+000                  1.0984435203714832E-002                  6.6180091249896167E+005                  5.8207273616346384E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7142496049291748E-029                  0.0000000000000000E+000                  1.7142496049291751E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5607070627330930E+000                  1.1907999870951120E+000                  1.6621812733823533E+000                  7.6298750452874620E-001                  5.2597132348376241E-001                  4.5417263929056240E-001                  1.9856037225675194E-002                 -1.7021074216385479E+000                  5.2597132348376241E-001                  1.1056721189070220E-005                  4.5416158256937333E-001                  1.4234508837273911E-003                  6.7394253439544919E-003                  5.5309147449722311E-003                  2.0850244238379305E-003                  4.0772218291831187E-003                  1.8808578041409343E-095                 -2.7903793339808625E-001                 -4.9563736416215889E+000                 -3.4278960543944159E-001                 -2.8466575136200634E+000                 -2.1713771332257177E+000                 -2.2572030358127861E+000                 -2.6808888533636459E+000                 -2.3896356592691221E+000                 -9.4725644036566180E+001                  3.9559342218946948E-002                 -1.4027509383351375E+000                 -1.4027509383351375E+000                  3.8744905454601470E+005                  5.5882146054639970E+000                 -1.5325668395117897E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4831549808021443E+039                  1.4831549808021443E+039                  3.8744905454601470E+005                  3.9171186534568797E+001                 -1.5079779907159047E+014                  1.6754908618552396E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2866750412536257E-001                  1.2866750412536257E-001                 -2.7627782768748360E-002                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666725940333826E-001                 -1.7609087292245437E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  4.9985955789510700E+002                  2.6988480007384106E+000                  4.9985955789510700E+002                  2.6988480007384106E+000                  0.0000000000000000E+000                  3.5003766714168456E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.8802991694078318E-010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9333780953133094E-002 
                                       4                  3.9999999999810974E+001                  2.6988480001503805E+000                  3.8089563360465348E+000                 -9.6838927016292438E+000                  1.8816510362571366E+000                  5.2597132347325193E-001                  4.5417263930108831E-001                  1.9856037225659762E-002                  1.0000000000000000E+000                  2.3960849602007878E+023                 -1.1521063688517179E+001                  6.1835748792270540E-001                  9.9999999999527434E-001                  0.0000000000000000E+000                  4.9985955721830271E+002                  3.4775229395677320E+013                  1.3541270003508030E+001                  4.9985955667104190E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2041764131644805E+000                  3.9999999999750727E+001                 -1.1325535389725594E+001                  7.6145621093750000E+004                  4.8816449334172791E+000                  1.1505819741818177E-001                 -9.3908243421690873E-001                  1.8048731375563007E-001                 -9.8999999999999986E+001                  6.4410450401322423E+003                  1.8538927927467986E+012                  1.2268084616073482E+001                  2.0706528686116046E-010                  2.0690975480568550E+001                  7.6146691122994682E+001                  4.3406534557574767E+000                  7.1806037667237206E+001                  1.8561609625615694E+000                  9.4299616448538381E-001                 -2.1323526483369957E+001                  1.5440912777581035E+000                  1.5629521180986142E-001                  1.1909979045480288E+000                  1.0984444941754672E-002                  6.6180092164139263E+005                  5.8207273676341877E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7142507147107829E-029                  0.0000000000000000E+000                  1.7142507147107832E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5607070627522845E+000                  1.1907999871015527E+000                  1.6621812734026091E+000                  7.6298750452349073E-001                  5.2597132347325193E-001                  4.5417263930108831E-001                  1.9856037225659762E-002                 -1.7021074216388856E+000                  5.2597132347325193E-001                  1.1056721188088809E-005                  4.5416158257990025E-001                  1.4234508836196158E-003                  6.7394253443132639E-003                  5.5309147447059077E-003                  2.0850244238379305E-003                  4.0772218291831187E-003                  1.8808578045389793E-095                 -2.7903793340676475E-001                 -4.9563736416601376E+000                 -3.4278960542937520E-001                 -2.8466575136529455E+000                 -2.1713771332025984E+000                 -2.2572030358336983E+000                 -2.6808888533636459E+000                 -2.3896356592691221E+000                 -9.4725644036474279E+001                  3.9559400256279069E-002                 -1.4027503011841338E+000                 -1.4027503011841338E+000                  3.8744905454599758E+005                  5.5882146054639774E+000                 -1.5325663526115014E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4831549808020787E+039                  1.4831549808020787E+039                  3.8744905454599758E+005                  3.9171186534568783E+001                 -1.5079779917391094E+014                  1.6754909700939169E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2866768347601226E-001                  1.2866768347601226E-001                 -2.7627561902810294E-002                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666764509569043E-001                 -1.7609062166666006E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  4.9985955721830271E+002                  2.6988480001503805E+000                  4.9985955721830271E+002                  2.6988480001503805E+000                  0.0000000000000000E+000                  3.5003766194825742E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.5095340178515291E-010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9333811370856798E-002 
