                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     450                                      669                  4.0000000000000000E+001                  2.0000000000000000E-002                  1.9366685343186994E+003                  2.3186946666247112E+000                  7.9244876043673821E+003                  2.3960032733799005E+005                  2.5968955582824896E+002                 -1.0233238277315815E+001                  6.9999999999999996E-001                  2.9797635251239608E-005                  2.7997020236474884E-001                  3.4468833607861284E-003                  1.0103427409336066E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0000000000000000E+001                  0.0000000000000000E+000                  2.8000000000000007E+001                  1.1919054100458235E-003                  1.1198808094589966E+001                  1.3787533443144545E-001                  4.0413709637344260E-002                  3.7522110580598178E-001                  8.3400976955001538E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.6222990091752661E+006                  6.0556253767865280E+002                  1.6694468010293809E+006                  1.0449007510169702E-007                  1.0449007510169705E-007                  0.0000000000000000E+000                  4.1802960336155804E-009                  5.0000000000000000E+001                  1.0000000000000000E+003                  6.1116610938615784E+010                               "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20251216"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                     extra_opacity_factor                                       dm                                    logdq                                 dq_ratio                                        q                             vel_km_per_s                                   radius                                radius_cm                                  logR_cm                                     rmid                                 velocity                                  v_div_r                    pressure_scale_height                                     mmid                                    logxq                                       dr                                   log_dr                                dr_div_cs                            log_dr_div_cs                           acoustic_depth                   log_cell_collapse_time                              temperature                                   energy                                     logE                                      rho                                  entropy                                 pressure                                     prad                                     pgas                                  logPgas                          pgas_div_ptotal                                      eta                                       mu                                    grada                                   gamma1                                   free_e                                   csound                               log_csound                             v_div_csound                                 eps_grav                                  eps_nuc                              non_nuc_neu                                       pp                                      cno                                tri_alpha                                  c_alpha                                  n_alpha                                  o_alpha                                 ne_alpha                                 na_alpha                                 mg_alpha                                 si_alpha                                  s_alpha                                 ar_alpha                                 ca_alpha                                 ti_alpha                                 cr_alpha                                 fe_co_ni                                  c12_c12                                  c12_o16                                  o16_o16                                    pnhe4                                    photo                                ni56_co56                                co56_fe56                                    other                                     abar                                     zbar                                    z2bar                                       ye                                        x                                        y                                        z                                    log_z                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                   log_h1                                  log_he3                                  log_he4                                  log_c12                                  log_n14                                  log_o16                                 log_ne20                                 log_mg24                                  opacity                              log_opacity                     log_kap_times_factor                               luminosity                                     logL                           log_L_div_Ledd                                  lum_adv                                 lum_conv                                lum_erg_s                         lum_plus_lum_adv                                  lum_rad                        log_abs_lum_erg_s                             total_energy                        mlt_mixing_length                                 conv_vel                             log_conv_vel                             conv_L_div_L                         log_conv_L_div_L                                    gradT                                    gradr                          gradT_sub_grada                      conv_vel_div_csound                            log_mlt_D_mix                                log_D_mix                               log_D_conv                               log_D_semi                                log_D_ovr                               log_D_thrm                            log_D_minimum                    log_D_rayleigh_taylor                              log_D_omega                              log_sig_mix                                 mix_type                                      tau                                   logtau                                    omega                                log_omega                                log_j_rot                            log_J_div_M53                             log_J_inside                            log_abs_shear                                    i_rot                                    j_rot                                    v_rot                                   fp_rot                                   ft_rot                                log_am_nu                                  r_polar                              log_r_polar                             r_equatorial                         log_r_equatorial                              r_e_div_r_p                               omega_crit                     omega_div_omega_crit                               am_log_sig                             am_log_D_DSI                              am_log_D_SH                             am_log_D_SSI                              am_log_D_ES                             am_log_D_GSF                              am_log_D_ST                             am_log_nu_ST                           dynamo_log_B_r                         dynamo_log_B_phi                    RTI_du_diffusion_kick                                alpha_RTI                        boost_for_eta_RTI                                 dedt_RTI                                 dudt_RTI                                  eta_RTI                            log_alpha_RTI                              log_eta_RTI                  log_lambda_RTI_div_Hrho                              log_sig_RTI               log_source_minus_alpha_RTI                log_source_plus_alpha_RTI                               lambda_RTI                           v_div_v_escape                                        u                                   u_face                                   P_face                               extra_heat                                      zFe                         dPdr_dRhodr_info                                    dlogR                                dPdr_info                              dRhodr_info                       log_du_kick_div_du                     L_div_Ledd_effective 
                                       1                  4.0000000000000000E+001                  2.4144544835631900E+000                  3.8989717450900554E+000                 -1.0858482145692133E+001                  1.3097473295420188E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.0000000000000000E+000                  7.9536394827922017E+022                 -1.2000000000000000E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  2.5968955582824896E+002                  1.8066602398971281E+013                  1.3256876486920840E+001                  2.5968954576743261E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3019335552002511E+000                  3.9999999999979998E+001                 -9.8999999999999986E+001                  1.3998619687500000E+006                  6.1460852148456944E+000                  1.2309657943632928E+000                  9.0245985079433960E-002                  0.0000000000000000E+000                 -9.8999999999999986E+001                  7.9244977254854593E+003                  9.7781989859931562E+012                  1.2990258870894630E+001                  1.3852171325028888E-011                  3.9716740101943309E+001                  2.0405504167549715E+001                  9.9452739520121067E+000                  1.0460230215537610E+001                  1.0195412428713508E+000                  5.1261807253810532E-001                 -2.0794003909873656E+001                  8.7245699337913618E-001                  1.3244547177158980E-001                  8.7790795495283191E-001                  3.8050433700013975E-001                  1.1372062287677680E+006                  6.0558392297662609E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0311804645765499E-030                  0.0000000000000000E+000                  2.0311804645765499E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659308E+000                  1.1021529799335130E+000                  1.3826069774960505E+000                  8.5000496627254196E-001                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                 -1.6989700043360207E+000                  7.0000000000000007E-001                  2.9797635251138421E-005                  2.7997020236474890E-001                  3.4468833607861310E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                 -1.5490195998574310E-001                 -4.5258182002905896E+000                 -5.5288818879064094E-001                 -2.4625734124504852E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  7.0256174124478943E-001                 -1.5331550387316131E-001                 -1.5331550387316131E-001                  2.3960032733799005E+005                  5.3794874070435910E+000                 -4.9185317335168255E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.1719005304982598E+038                  9.1719005304982598E+038                  2.3960032733799005E+005                  3.8962459336148392E+001                 -2.8405113806522125E+014                  1.8115103487056293E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.6527692628598817E-001                  1.6527692628323631E-001                  3.2831454514398367E-002                  0.0000000000000000E+000                  1.2397832732823181E+001                  1.2392756646597412E+001                  1.2392704365036135E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        1                  6.6666666666666663E-001                 -1.7609125905568127E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  2.5968955582824896E+002                  2.4144544835631900E+000                  2.5968955582824896E+002                  2.4144544835631900E+000                  0.0000000000000000E+000                  7.8111802312711950E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3650618906070666E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2216368435558734E-001 
                                       2                  3.9999999999960004E+001                  2.4144544499125709E+000                  3.8989733330557521E+000                 -1.0858473669367205E+001                  1.3097569372845532E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.0000000000000000E+000                  1.4816370768391347E+023                 -1.1729824064326229E+001                  5.3681428516625529E-001                  9.9999999999900002E-001                  0.0000000000000000E+000                  2.5968953570661654E+002                  1.8066600999109312E+013                  1.3256876453270220E+001                  2.5968951696527000E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3019367452271291E+000                  3.9999999999922743E+001                 -1.2000000000000000E+001                  2.6076709882812500E+006                  6.4162527952701218E+000                  2.2930440002398571E+000                  3.6041238830082123E-001                  1.2309657943632928E+000                 -9.8999999999999986E+001                  7.9245267008790734E+003                  9.7782909360334297E+012                  1.2990262954796728E+001                  1.3852441686858998E-011                  3.9716835950251074E+001                  2.0405955596262466E+001                  9.9454194097144573E+000                  1.0460536186548007E+001                  1.0195539461843073E+000                  5.1262172639755954E-001                 -2.0793971555132952E+001                  8.7245168675811402E-001                  1.3244516690727121E-001                  8.7791042717586487E-001                  3.8051130863770655E-001                  1.1372093112947166E+006                  6.0558404069693008E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0312201085885467E-030                  0.0000000000000000E+000                  2.0312201085885467E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659308E+000                  1.1021529799335130E+000                  1.3826069774960505E+000                  8.5000496627254196E-001                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                 -1.6989700043360207E+000                  7.0000000000000007E-001                  2.9797635251138421E-005                  2.7997020236474890E-001                  3.4468833607861310E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                 -1.5490195998574310E-001                 -4.5258182002905896E+000                 -5.5288818879064094E-001                 -2.4625734124504852E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  7.0258576210973445E-001                 -1.5330065542618720E-001                 -1.5330065542618720E-001                  2.3960032733770850E+005                  5.3794874070430803E+000                 -4.9185317335219292E-001                  0.0000000000000000E+000                 -4.0147795092616563E-006                  9.1719005304874822E+038                  9.1719005304874822E+038                  2.3960032734172328E+005                  3.8962459336147880E+001                 -2.8405107870337162E+014                  1.8115117164803348E+011                  4.1504600483751233E+001                  1.6180962377716881E+000                 -1.6756152021457638E-011                 -9.8999999999999986E+001                  1.6527933298383801E-001                  1.6527933298106856E-001                  3.2833967702357553E-002                  3.6496887663097050E-005                  1.2397885198311844E+001                  1.2392756646597412E+001                  1.2392756646597412E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  2.2892590945667411E+001                                        1                  6.6668029013208274E-001                 -1.7608238425257822E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  2.5968953570661654E+002                  2.4144544499125709E+000                  2.5968953570661654E+002                  2.4144544499125709E+000                  0.0000000000000000E+000                  7.8111815307742444E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.2684574839817575E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2216596030896133E-001 
                                       3                  3.9999999999885489E+001                  2.4144543872279960E+000                  3.8989753996788119E+000                 -1.0858462639482180E+001                  1.3097694404264175E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.0000000000000000E+000                  1.4816370768391347E+023                 -1.1729824064326229E+001                  1.0000000000000000E+000                  9.9999999999713718E-001                  0.0000000000000000E+000                  2.5968949822392301E+002                  1.8066598391438324E+013                  1.3256876390585646E+001                  2.5968947948304697E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3019407859606873E+000                  3.9999999999848235E+001                 -1.1543202675551688E+001                  2.6076055898437500E+006                  6.4162419033528453E+000                  2.2929784014636048E+000                  3.6039996394522394E-001                  3.5240097946031499E+000                 -9.8999999999999986E+001                  7.9245644104270077E+003                  9.7784106150084746E+012                  1.2990268270204167E+001                  1.3852793505235114E-011                  3.9716960715830162E+001                  2.0406543082958763E+001                  9.9456087156306818E+000                  1.0460934367328079E+001                  1.0195704773086527E+000                  5.1262648086945550E-001                 -2.0793929450599634E+001                  8.7244478038517104E-001                  1.3244477037801372E-001                  8.7791364458303611E-001                  3.8052038209876343E-001                  1.1372133240240375E+006                  6.0558419394076211E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0312716968320473E-030                  0.0000000000000000E+000                  2.0312716968320473E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659308E+000                  1.1021529799335130E+000                  1.3826069774960505E+000                  8.5000496627254196E-001                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                 -1.6989700043360207E+000                  7.0000000000000007E-001                  2.9797635251138421E-005                  2.7997020236474890E-001                  3.4468833607861310E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                 -1.5490195998574310E-001                 -4.5258182002905896E+000                 -5.5288818879064094E-001                 -2.4625734124504852E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  7.0261702373239698E-001                 -1.5328133188035209E-001                 -1.5328133188035209E-001                  2.3960032733791240E+005                  5.3794874070434497E+000                 -4.9183384977676320E-001                  0.0000000000000000E+000                 -4.1103302294675568E-006                  9.1719005304952873E+038                  9.1719005304952873E+038                  2.3960032734202273E+005                  3.8962459336148250E+001                 -2.8405100143364631E+014                  1.8115173370202802E+011                  4.1523104404424835E+001                  1.6182898153440415E+000                 -1.7154944131902994E-011                 -9.8999999999999986E+001                  1.6528829967563685E-001                  1.6528829967280134E-001                  3.2843331032994388E-002                  3.6513030165259614E-005                  1.2398080858587196E+001                  1.2392951616242485E+001                  1.2392951616242485E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  2.2778398083636962E+001                                        1                  6.6670566936398168E-001                 -1.7606585181455234E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  2.5968949822392301E+002                  2.4144543872279960E+000                  2.5968949822392301E+002                  2.4144543872279960E+000                  0.0000000000000000E+000                  7.8111036749001464E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.2683011857859782E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2218029541019771E-001 
                                       4                  3.9999999999810974E+001                  2.4144543245449843E+000                  3.8989777892730517E+000                 -1.0858449887674322E+001                  1.3097838967438391E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.0000000000000000E+000                  1.9446486633513650E+023                 -1.1611724752248234E+001                  7.6190476190476175E-001                  9.9999999999527434E-001                  0.0000000000000000E+000                  2.5968946074216956E+002                  1.8066595783832734E+013                  1.3256876327902633E+001                  2.5968943614548454E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3019455199747239E+000                  3.9999999999762075E+001                 -1.1325535389725594E+001                  3.4223829101562500E+006                  6.5343285985612036E+000                  3.0094344399186501E+000                  4.7848488672321293E-001                  5.8169881960667542E+000                 -9.8999999999999986E+001                  7.9246080134345430E+003                  9.7785490133222539E+012                  1.2990274416928926E+001                  1.3853200258629042E-011                  3.9717105012390569E+001                  2.0407222364843541E+001                  9.9458276107060346E+000                  1.0461394754137505E+001                  1.0195895902333894E+000                  5.1263197740030653E-001                 -2.0793880769646929E+001                  8.7243679446537459E-001                  1.3244431217845906E-001                  8.7791736480721383E-001                  3.8053087403126346E-001                  1.1372179651963983E+006                  6.0558437118379906E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0313313403713236E-030                  0.0000000000000000E+000                  2.0313313403713236E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659308E+000                  1.1021529799335130E+000                  1.3826069774960505E+000                  8.5000496627254196E-001                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                 -1.6989700043360207E+000                  7.0000000000000007E-001                  2.9797635251138421E-005                  2.7997020236474890E-001                  3.4468833607861310E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                 -1.5490195998574310E-001                 -4.5258182002905896E+000                 -5.5288818879064094E-001                 -2.4625734124504852E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  7.0265317124762072E-001                 -1.5325898932095572E-001                 -1.5325898932095572E-001                  2.3960032733811630E+005                  5.3794874070438201E+000                 -4.9181452634486195E-001                  0.0000000000000000E+000                 -4.2079026241545210E-006                  9.1719005305030924E+038                  9.1719005305030924E+038                  2.3960032734232422E+005                  3.8962459336148619E+001                 -2.8405091206962025E+014                  1.8115229612363312E+011                  4.1541614091819035E+001                  1.6184833669595924E+000                 -1.7562173937335501E-011                 -9.8999999999999986E+001                  1.6529726655988591E-001                  1.6529726655698293E-001                  3.2852694322220155E-002                  3.6529157437857370E-005                  1.2398276493013423E+001                  1.2393146560252564E+001                  1.2393146560252564E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  2.2715562056693162E+001                                        1                  6.6673104973245856E-001                 -1.7604931926550571E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  2.5968946074216956E+002                  2.4144543245449843E+000                  2.5968946074216956E+002                  2.4144543245449843E+000                  0.0000000000000000E+000                  7.8110209408516239E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.2269076671265145E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2219413997777485E-001 
