                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     650                                      681                  4.0000000000000000E+001                  2.0000000000000000E-002                  4.1445928396861291E+003                  2.2232826552022203E+001                  1.6329121512958362E+004                  2.1797449429573529E+005                  5.8335155323047893E+001                 -8.7559154532189893E+000                  6.9999999999784090E-001                  2.9797637410030546E-005                  2.7997020236474895E-001                  3.4468833607842969E-003                  1.0103427409357008E-003                  9.3805276451495324E-003                  2.0850244238750345E-003                  4.0000000000000000E+001                  0.0000000000000000E+000                  2.7999999999991804E+001                  1.1919054182605653E-003                  1.1198808094589964E+001                  1.3787533443144331E-001                  4.0413709637346036E-002                  3.7522110580598161E-001                  8.3400976955001482E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0505435347135644E+005                  2.9632265318035825E+003                  1.8350770868508264E+006                  8.2701941142998873E-004                  8.2701941142998840E-004                  0.0000000000000000E+000                  3.3084709399046427E-005                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.3079340299767900E+011                               "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20251219"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                     extra_opacity_factor                                       dm                                    logdq                                 dq_ratio                                        q                             vel_km_per_s                                   radius                                radius_cm                                  logR_cm                                     rmid                                 velocity                                  v_div_r                    pressure_scale_height                                     mmid                                    logxq                                       dr                                   log_dr                                dr_div_cs                            log_dr_div_cs                           acoustic_depth                   log_cell_collapse_time                              temperature                                   energy                                     logE                                      rho                                  entropy                                 pressure                                     prad                                     pgas                                  logPgas                          pgas_div_ptotal                                      eta                                       mu                                    grada                                   gamma1                                   free_e                                   csound                               log_csound                             v_div_csound                                 eps_grav                                  eps_nuc                              non_nuc_neu                                       pp                                      cno                                tri_alpha                                  c_alpha                                  n_alpha                                  o_alpha                                 ne_alpha                                 na_alpha                                 mg_alpha                                 si_alpha                                  s_alpha                                 ar_alpha                                 ca_alpha                                 ti_alpha                                 cr_alpha                                 fe_co_ni                                  c12_c12                                  c12_o16                                  o16_o16                                    pnhe4                                    photo                                ni56_co56                                co56_fe56                                    other                                     abar                                     zbar                                    z2bar                                       ye                                        x                                        y                                        z                                    log_z                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                   log_h1                                  log_he3                                  log_he4                                  log_c12                                  log_n14                                  log_o16                                 log_ne20                                 log_mg24                                  opacity                              log_opacity                     log_kap_times_factor                               luminosity                                     logL                           log_L_div_Ledd                                  lum_adv                                 lum_conv                                lum_erg_s                         lum_plus_lum_adv                                  lum_rad                        log_abs_lum_erg_s                             total_energy                        mlt_mixing_length                                 conv_vel                             log_conv_vel                             conv_L_div_L                         log_conv_L_div_L                                    gradT                                    gradr                          gradT_sub_grada                      conv_vel_div_csound                            log_mlt_D_mix                                log_D_mix                               log_D_conv                               log_D_semi                                log_D_ovr                               log_D_thrm                            log_D_minimum                    log_D_rayleigh_taylor                              log_D_omega                              log_sig_mix                                 mix_type                                      tau                                   logtau                                    omega                                log_omega                                log_j_rot                            log_J_div_M53                             log_J_inside                            log_abs_shear                                    i_rot                                    j_rot                                    v_rot                                   fp_rot                                   ft_rot                                log_am_nu                                  r_polar                              log_r_polar                             r_equatorial                         log_r_equatorial                              r_e_div_r_p                               omega_crit                     omega_div_omega_crit                               am_log_sig                             am_log_D_DSI                              am_log_D_SH                             am_log_D_SSI                              am_log_D_ES                             am_log_D_GSF                              am_log_D_ST                             am_log_nu_ST                           dynamo_log_B_r                         dynamo_log_B_phi                    RTI_du_diffusion_kick                                alpha_RTI                        boost_for_eta_RTI                                 dedt_RTI                                 dudt_RTI                                  eta_RTI                            log_alpha_RTI                              log_eta_RTI                  log_lambda_RTI_div_Hrho                              log_sig_RTI               log_source_minus_alpha_RTI                log_source_plus_alpha_RTI                               lambda_RTI                           v_div_v_escape                                        u                                   u_face                                   P_face                               extra_heat                                      zFe                         dPdr_dRhodr_info                                    dlogR                                dPdr_info                              dRhodr_info                       log_du_kick_div_du                     L_div_Ledd_effective 
                                       1                  4.0000000000000000E+001                  1.7659303585561503E+000                  4.2129778764011618E+000                 -1.0190837255677778E+001                  2.4955214097289051E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.0000000000000000E+000                  7.9536394827922017E+022                 -1.2000000000000000E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  5.8335155323047893E+001                  4.0583767558244419E+012                  1.2608352361913798E+001                  5.8335112464555252E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1660563994473186E-001                  3.9999999999979998E+001                 -9.8999999999999986E+001                  5.9633350073242188E+006                  6.7754892077602147E+000                  2.3058373405463888E+000                  3.6282866783521606E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.6329687599482120E+004                  2.3663720687253422E+013                  1.3374083030524503E+001                  6.4441070200554253E-011                  5.0589373720436967E+001                  3.1298347614864895E+002                  1.7932518020107082E+002                  1.3365829594757810E+002                  2.1259959198635290E+000                  4.2704585428049302E-001                 -1.9646560138896398E+001                  6.5451173024553244E-001                  2.5221514500951164E-001                  1.3770902849142188E+000                  7.6217302114461249E-001                  2.5861906659518112E+006                  6.4126605399249987E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.4492430660586736E-030                  0.0000000000000000E+000                  9.4492430660586736E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659308E+000                  1.1021529799335130E+000                  1.3826069774960505E+000                  8.5000496627254196E-001                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                 -1.6989700043360207E+000                  7.0000000000000007E-001                  2.9797635251138421E-005                  2.7997020236474890E-001                  3.4468833607861305E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                 -1.5490195998574310E-001                 -4.5258182002905896E+000                 -5.5288818879064094E-001                 -2.4625734124504852E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  9.6237108491123124E-001                 -1.6657434143009946E-002                 -1.6657434143009946E-002                  2.1797449429573529E+005                  5.3384056787666871E+000                 -3.9625616074724485E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.3440636416407471E+038                  8.3440636416407471E+038                  2.1797449429573529E+005                  3.8921377607871491E+001                 -1.2843719348267500E+015                  3.0138508741909985E+010                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.7520162256550070E-001                  1.7520162256550070E-001                 -7.7013522444010940E-002                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666666666666663E-001                 -1.7609125905568127E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  5.8335155323047893E+001                  1.7659303585561503E+000                  5.8335155323047893E+001                  1.7659303585561503E+000                  0.0000000000000000E+000                  6.8938802393295595E-006                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3814809369611343E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0146983987585455E-001 
                                       2                  3.9999999999960004E+001                  1.7659297204080566E+000                  4.2130209735230375E+000                 -1.0190536972584498E+001                  2.4957673490800034E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.0000000000000000E+000                  1.4816370768391347E+023                 -1.1729824064326229E+001                  5.3681428516625529E-001                  9.9999999999900002E-001                  0.0000000000000000E+000                  5.8335069606000211E+001                  4.0583707924894346E+012                  1.2608351723765706E+001                  5.8334989822314675E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1657790106483155E-001                  3.9999999999922743E+001                 -1.2000000000000000E+001                  1.1101117165527344E+007                  7.0453666863911613E+000                  4.2926499461748522E+000                  6.3272547439997640E-001                  2.3058373405463888E+000                 -9.8999999999999986E+001                  1.6331308153014365E+004                  2.3661682822311742E+013                  1.3374045628476809E+001                  6.4485641927798008E-011                  5.0585399740098687E+001                  3.1316076772306837E+002                  1.7939637551690996E+002                  1.3376439220615845E+002                  2.1263405205583141E+000                  4.2714287992948025E-001                 -1.9646011865804372E+001                  6.5450986968922087E-001                  2.5222166725526390E-001                  1.3771400299852028E+000                  7.6217736433587946E-001                  2.5860755721345190E+006                  6.4126412119911844E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.4557788414090310E-030                  0.0000000000000000E+000                  9.4557788414090310E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659308E+000                  1.1021529799335130E+000                  1.3826069774960505E+000                  8.5000496627254196E-001                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                 -1.6989700043360207E+000                  7.0000000000000007E-001                  2.9797635251138421E-005                  2.7997020236474890E-001                  3.4468833607861305E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                 -1.5490195998574310E-001                 -4.5258182002905896E+000                 -5.5288818879064094E-001                 -2.4625734124504852E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  9.6253512893758675E-001                 -1.6583411403517188E-002                 -1.6583411403517188E-002                  2.1797449429563622E+005                  5.3384056787664900E+000                 -3.9625616074744219E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.3440636416369556E+038                  8.3440636416369556E+038                  2.1797449429563622E+005                  3.8921377607871293E+001                 -1.2843767226796160E+015                  3.0137102350112194E+010                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.7522242527924958E-001                  1.7522242527924958E-001                 -7.6994997972158308E-002                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6703649017808631E-001                 -1.7585040738853200E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  5.8335069606000211E+001                  1.7659297204080566E+000                  5.8335069606000211E+001                  1.7659297204080566E+000                  0.0000000000000000E+000                  6.8939019796580928E-006                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1879546666037263E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0144951464698986E-001 
                                       3                  3.9999999999885489E+001                  1.7659285324533900E+000                  4.2130770447484212E+000                 -1.0190146626542424E+001                  2.4960872080087384E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.0000000000000000E+000                  1.4816370768391347E+023                 -1.1729824064326229E+001                  1.0000000000000000E+000                  9.9999999999713718E-001                  0.0000000000000000E+000                  5.8334910038411223E+001                  4.0583596913722690E+012                  1.2608350535811040E+001                  5.8334830325967459E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1654156812186973E-001                  3.9999999999848235E+001                 -1.1543202675551688E+001                  1.1091204541503906E+007                  7.0449787145279466E+000                  4.2890641977378730E+000                  6.3236254670879843E-001                  6.5984872867212410E+000                 -9.8999999999999986E+001                  1.6333416804204910E+004                  2.3659038916466629E+013                  1.3373997098628649E+001                  6.4543627998926906E-011                  5.0580238714930680E+001                  3.1339149633610657E+002                  1.7948904602390175E+002                  1.3390245031220479E+002                  2.1267885243408577E+000                  4.2726893319593107E-001                 -1.9645299317279573E+001                  6.5450745115366560E-001                  2.5223015237845747E-001                  1.3772047156366229E+000                  7.6218301008332001E-001                  2.5859264469283535E+006                  6.4126161678191487E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.4642816291917037E-030                  0.0000000000000000E+000                  9.4642816291917051E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659308E+000                  1.1021529799335130E+000                  1.3826069774960505E+000                  8.5000496627254196E-001                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                 -1.6989700043360207E+000                  7.0000000000000007E-001                  2.9797635251138421E-005                  2.7997020236474890E-001                  3.4468833607861305E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                 -1.5490195998574310E-001                 -4.5258182002905896E+000                 -5.5288818879064094E-001                 -2.4625734124504852E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  9.6274825130238928E-001                 -1.6487261539728893E-002                 -1.6487261539728893E-002                  2.1797449429564094E+005                  5.3384056787664989E+000                 -3.9615989450704969E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.3440636416371355E+038                  8.3440636416371355E+038                  2.1797449429564094E+005                  3.8921377607871300E+001                 -1.2843829429600508E+015                  3.0132037943353283E+010                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.7529986754605892E-001                  1.7529986754605892E-001                 -7.6926042270801742E-002                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6772553314204863E-001                 -1.7540201647180340E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  5.8334910038411223E+001                  1.7659285324533900E+000                  5.8334910038411223E+001                  1.7659285324533900E+000                  0.0000000000000000E+000                  6.8935213821948388E-006                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1868971403591096E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0153856623829381E-001 
                                       4                  3.9999999999810974E+001                  1.7659273455562496E+000                  4.2131418580198803E+000                 -1.0189695924501500E+001                  2.4964567555058537E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.0000000000000000E+000                  1.9446486633513650E+023                 -1.1611724752248234E+001                  7.6190476190476175E-001                  9.9999999999527434E-001                  0.0000000000000000E+000                  5.8334750613306419E+001                  4.0583486001677275E+012                  1.2608349348913899E+001                  5.8334646098627196E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1649992444776883E-001                  3.9999999999762075E+001                 -1.1325535389725594E+001                  1.4542198498535156E+007                  7.1626300683940878E+000                  5.6239661315589267E+000                  7.5004269662745771E-001                  1.0887551484459113E+001                 -9.8999999999999986E+001                  1.6335854553747224E+004                  2.3655993867770855E+013                  1.3373941198938015E+001                  6.4610644840683115E-011                  5.0574286801709810E+001                  3.1365827921131483E+002                  1.7959622440810088E+002                  1.3406205480321393E+002                  2.1273058716507127E+000                  4.2741436680807310E-001                 -1.9644476841959147E+001                  6.5450465843317851E-001                  2.5223995949808531E-001                  1.3772794372447605E+000                  7.6218952936718365E-001                  2.5857549918253426E+006                  6.4125873717666302E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.4741086441740677E-030                  0.0000000000000000E+000                  9.4741086441740677E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659308E+000                  1.1021529799335130E+000                  1.3826069774960505E+000                  8.5000496627254196E-001                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                 -1.6989700043360207E+000                  7.0000000000000007E-001                  2.9797635251138421E-005                  2.7997020236474890E-001                  3.4468833607861305E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                 -1.5490195998574310E-001                 -4.5258182002905896E+000                 -5.5288818879064094E-001                 -2.4625734124504852E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  9.6299413744632345E-001                 -1.6376356782486893E-002                 -1.6376356782486893E-002                  2.1797449429564568E+005                  5.3384056787665086E+000                 -3.9606385228998103E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.3440636416373168E+038                  8.3440636416373168E+038                  2.1797449429564568E+005                  3.8921377607871314E+001                 -1.2843901189523990E+015                  3.0126993241730534E+010                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.7537719208025232E-001                  1.7537719208025232E-001                 -7.6857201214800996E-002                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6841473244109251E-001                 -1.7495398644567231E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  5.8334750613306419E+001                  1.7659273455562496E+000                  5.8334750613306419E+001                  1.7659273455562496E+000                  0.0000000000000000E+000                  6.8929723408328603E-006                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5562014257572678E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0161367668373099E-001 
