                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                    2350                                     1819                  4.0000000000000000E+001                  2.0000000000000000E-002                  4.8938499982077610E+006                  7.0648959735150729E+000                  3.6175229828600059E+003                  4.4692603069073934E+005                  1.7019562346721004E+003                 -3.5403598758164510E+000                  0.0000000000000000E+000                  4.6079337631186545E-034                  6.8067164467396731E-016                  2.2730196173876144E-001                  6.3011791062277961E-024                  7.3998898985081096E-001                  2.7033133804131387E-002                  4.0000000000000000E+001                  0.0000000000000000E+000                  1.2586480751565833E+001                  1.9040223437090097E-004                  1.4594792798464150E+001                  2.8163914592691146E+000                  2.2650917702336423E-001                  9.1999440425659564E+000                  3.9313116596770364E-001                  1.5998509533827972E+001                  1.2268516397441926E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1110910336651316E+008                  4.9535534371934880E+001                  8.9500269067296537E+005                  1.0411739862301173E+005                  1.6815015438585704E+003                  8.3055796527190851E+003                  2.6249540798975508E+004                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.5443816070344125E+014                               "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20251125"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188                                      189                                      190 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                     extra_opacity_factor                                       dm                                    logdq                                 dq_ratio                                        q                             vel_km_per_s                                   radius                                radius_cm                                  logR_cm                                     rmid                                 velocity                                  v_div_r                    pressure_scale_height                                     mmid                                    logxq                                       dr                                   log_dr                                dr_div_cs                            log_dr_div_cs                           acoustic_depth                   log_cell_collapse_time                              temperature                                   energy                                     logE                                      rho                                  entropy                                 pressure                                     prad                                     pgas                                  logPgas                          pgas_div_ptotal                                      eta                                       mu                                    grada                                   gamma1                                   free_e                                   csound                               log_csound                             v_div_csound                                 eps_grav                                  eps_nuc                              non_nuc_neu                                       pp                                      cno                                tri_alpha                                  c_alpha                                  n_alpha                                  o_alpha                                 ne_alpha                                 na_alpha                                 mg_alpha                                 si_alpha                                  s_alpha                                 ar_alpha                                 ca_alpha                                 ti_alpha                                 cr_alpha                                 fe_co_ni                                  c12_c12                                  c12_o16                                  o16_o16                                    pnhe4                                    photo                                ni56_co56                                co56_fe56                                    other                                     abar                                     zbar                                    z2bar                                       ye                                        x                                        y                                        z                                    log_z                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                     si28                                   log_h1                                  log_he3                                  log_he4                                  log_c12                                  log_n14                                  log_o16                                 log_ne20                                 log_mg24                                 log_si28                                  opacity                              log_opacity                     log_kap_times_factor                               luminosity                                     logL                           log_L_div_Ledd                                  lum_adv                                 lum_conv                                lum_erg_s                         lum_plus_lum_adv                                  lum_rad                        log_abs_lum_erg_s                             total_energy                        mlt_mixing_length                                 conv_vel                             log_conv_vel                             conv_L_div_L                         log_conv_L_div_L                                    gradT                                    gradr                          gradT_sub_grada                      conv_vel_div_csound                            log_mlt_D_mix                                log_D_mix                               log_D_conv                               log_D_semi                                log_D_ovr                               log_D_thrm                            log_D_minimum                    log_D_rayleigh_taylor                              log_D_omega                              log_sig_mix                                 mix_type                                      tau                                   logtau                                    omega                                log_omega                                log_j_rot                            log_J_div_M53                             log_J_inside                            log_abs_shear                                    i_rot                                    j_rot                                    v_rot                                   fp_rot                                   ft_rot                                log_am_nu                                  r_polar                              log_r_polar                             r_equatorial                         log_r_equatorial                              r_e_div_r_p                               omega_crit                     omega_div_omega_crit                               am_log_sig                             am_log_D_DSI                              am_log_D_SH                             am_log_D_SSI                              am_log_D_ES                             am_log_D_GSF                              am_log_D_ST                             am_log_nu_ST                           dynamo_log_B_r                         dynamo_log_B_phi                    RTI_du_diffusion_kick                                alpha_RTI                        boost_for_eta_RTI                                 dedt_RTI                                 dudt_RTI                                  eta_RTI                            log_alpha_RTI                              log_eta_RTI                  log_lambda_RTI_div_Hrho                              log_sig_RTI               log_source_minus_alpha_RTI                log_source_plus_alpha_RTI                               lambda_RTI                           v_div_v_escape                                        u                                   u_face                                   P_face                               extra_heat                                      zFe                         dPdr_dRhodr_info                                    dlogR                                dPdr_info                              dRhodr_info                       log_du_kick_div_du                     L_div_Ledd_effective 
                                       1                  4.0000000000000000E+001                  3.2309483881311869E+000                  3.5584112989852792E+000                 -9.0754009732913694E+000                  2.2877689446261318E+000                  6.9999999999999696E-001                  2.8000000000000308E-001                  2.0000000000000018E-002                  1.0000000000000000E+000                  7.9536394827922017E+022                 -1.2000000000000000E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  1.7019562346721004E+003                  1.1840509524613803E+014                  1.4073370391488837E+001                  1.7019562346682308E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.7602615369574650E+000                  3.9999999999979998E+001                 -9.8999999999999986E+001                  5.3676562500000000E+002                  2.7297846954045362E+000                  8.7257652304922840E-004                 -3.0591964760241157E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6175229830613907E+003                  1.8469337028670347E+012                  1.2266451306379187E+001                  8.4061866094978353E-010                  2.2240585581249402E+001                  1.9398535530799722E+002                  4.3189180770912761E-001                  1.9355346350028810E+002                  2.2868009471125044E+000                  9.9777358550070239E-001                 -2.4586112158191884E+001                  1.3063033980891701E+000                  3.8744246742159844E-001                  1.6398058255220100E+000                  9.9999626774912247E-005                  6.1515020267135603E+005                  5.7889811714286523E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2326816124814811E-028                  0.0000000000000000E+000                  1.2326816124814813E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659345E+000                  1.1021529799335148E+000                  1.3826069774960559E+000                  8.5000496627254085E-001                  6.9999999999999696E-001                  2.8000000000000308E-001                  2.0000000000000018E-002                 -1.6989700043360183E+000                  6.9999999999999696E-001                  2.9797635254309025E-005                  2.7997020236474879E-001                  3.4468833607860959E-003                  1.0103427409336064E-003                  9.3805276451495393E-003                  2.0850244238750358E-003                  4.0772218292556769E-003                  1.0000000000000000E-099                 -1.5490195998574505E-001                 -4.5258182002443785E+000                 -5.5288818879064117E-001                 -2.4625734124504897E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                 -9.8999999999999986E+001                  1.3027298605233421E-003                 -2.8851456320596376E+000                 -2.8851456320596376E+000                  4.4692603069073934E+005                  5.6502356503777875E+000                 -2.9529402446033437E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7108328454841502E+039                  1.7108328454841502E+039                  4.4692603069073934E+005                  3.9233207579482588E+001                 -4.2986420714645023E+013                  1.2189027902522617E+012                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2513930601020559E-001                  1.2513930601020559E-001                 -2.6230316141139287E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666666666666663E-001                 -1.7609125905568127E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.7019562346721004E+003                  3.2309483881311869E+000                  1.7019562346721004E+003                  3.2309483881311869E+000                  0.0000000000000000E+000                  5.6518170081218355E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9687709557151912E-012                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1142809312666474E-003 
                                       2                  3.9999999999960004E+001                  3.2309483881292183E+000                  3.5584112990984380E+000                 -9.0754009724995139E+000                  2.2877689455303969E+000                  6.9999999999999696E-001                  2.8000000000000308E-001                  2.0000000000000018E-002                  1.0000000000000000E+000                  2.9632741536782695E+023                 -1.1428794068662247E+001                  2.6840714258312764E-001                  9.9999999999900002E-001                  0.0000000000000000E+000                  1.7019562346643850E+003                  1.1840509524560127E+014                  1.4073370391486867E+001                  1.7019562346499945E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.7602615391542624E+000                  3.9999999999885489E+001                 -1.2000000000000000E+001                  2.0014843750000000E+003                  3.3013522040450369E+000                  3.2536514919776828E-003                 -2.4876289674461001E+000                  8.7257652304922840E-004                 -9.8999999999999986E+001                  3.6175229840039647E+003                  1.8469337029580837E+012                  1.2266451306400596E+001                  8.4061866248249451E-010                  2.2240585580153315E+001                  1.9398535571190348E+002                  4.3189180815925871E-001                  1.9355346390374422E+002                  2.2868009480177776E+000                  9.9777358550301765E-001                 -2.4586112155302327E+001                  1.3063033980883842E+000                  3.8744246744310568E-001                  1.6398058255694326E+000                  9.9999626774936940E-005                  6.1515020275986230E+005                  5.7889811714911374E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2326816147291086E-028                  0.0000000000000000E+000                  1.2326816147291086E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659345E+000                  1.1021529799335148E+000                  1.3826069774960559E+000                  8.5000496627254085E-001                  6.9999999999999696E-001                  2.8000000000000308E-001                  2.0000000000000018E-002                 -1.6989700043360183E+000                  6.9999999999999696E-001                  2.9797635254309025E-005                  2.7997020236474879E-001                  3.4468833607860959E-003                  1.0103427409336064E-003                  9.3805276451495393E-003                  2.0850244238750358E-003                  4.0772218292556769E-003                  1.0000000000000000E-099                 -1.5490195998574505E-001                 -4.5258182002443785E+000                 -5.5288818879064117E-001                 -2.4625734124504897E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                 -9.8999999999999986E+001                  1.3027298643462271E-003                 -2.8851456307851926E+000                 -2.8851456307851926E+000                  4.4692603069074539E+005                  5.6502356503777937E+000                 -2.9529402446033379E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7108328454841735E+039                  1.7108328454841735E+039                  4.4692603069074539E+005                  3.9233207579482595E+001                 -4.2986420714928586E+013                  1.2189027903091909E+012                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2513930611557819E-001                  1.2513930611557819E-001                 -2.6230316131057130E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666666725479162E-001                 -1.7609125867255210E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.7019562346643850E+003                  3.2309483881292183E+000                  1.7019562346643850E+003                  3.2309483881292183E+000                  0.0000000000000000E+000                  5.6518170082098481E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3412321373768646E-012                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1142809310461593E-003 
                                       3                  3.9999999999810974E+001                  3.2309483881218770E+000                  3.5584112995305661E+000                 -9.0754009694756146E+000                  2.2877689489835755E+000                  6.9999999999999696E-001                  2.8000000000000308E-001                  2.0000000000000018E-002                  1.0000000000000000E+000                  1.1390085028200850E+024                 -1.0844038935542756E+001                  2.6016260162601623E-001                  9.9999999999527434E-001                  0.0000000000000000E+000                  1.7019562346356156E+003                  1.1840509524359978E+014                  1.4073370391479527E+001                  1.7019562345803379E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.7602615475498293E+000                  3.9999999999524562E+001                 -1.1325535389725594E+001                  7.6905000000000000E+003                  3.8859545764960801E+000                  1.2501824694637483E-002                 -1.9030265952336776E+000                  4.1262280150269112E-003                 -9.8999999999999986E+001                  3.6175229876034437E+003                  1.8469337033057712E+012                  1.2266451306482352E+001                  8.4061866833554232E-010                  2.2240585575967131E+001                  1.9398535725432703E+002                  4.3189180987820902E-001                  1.9355346544444882E+002                  2.2868009514748047E+000                  9.9777358551185913E-001                 -2.4586112144267751E+001                  1.3063033980853824E+000                  3.8744246752523714E-001                  1.6398058257505279E+000                  9.9999626775032147E-005                  6.1515020309785288E+005                  5.7889811717297581E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2326816233122476E-028                  0.0000000000000000E+000                  1.2326816233122476E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659345E+000                  1.1021529799335148E+000                  1.3826069774960559E+000                  8.5000496627254085E-001                  6.9999999999999696E-001                  2.8000000000000308E-001                  2.0000000000000018E-002                 -1.6989700043360183E+000                  6.9999999999999696E-001                  2.9797635254308981E-005                  2.7997020236474879E-001                  3.4468833607860915E-003                  1.0103427409336061E-003                  9.3805276451495376E-003                  2.0850244238750358E-003                  4.0772218292556752E-003                  1.0000000000000000E-099                 -1.5490195998574505E-001                 -4.5258182002443794E+000                 -5.5288818879064117E-001                 -2.4625734124504901E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613937E+000                 -9.8999999999999986E+001                  1.3027298789449289E-003                 -2.8851456259183847E+000                 -2.8851456259183847E+000                  4.4692603069074551E+005                  5.6502356503777937E+000                 -2.9529402425921991E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7108328454841738E+039                  1.7108328454841738E+039                  4.4692603069074551E+005                  3.9233207579482595E+001                 -4.2986420716011258E+013                  1.2189027907699961E+012                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2513930690026887E-001                  1.2513930690026887E-001                 -2.6230316055979302E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666666944595898E-001                 -1.7609125724513428E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.7019562346356156E+003                  3.2309483881218770E+000                  1.7019562346356156E+003                  3.2309483881218770E+000                  0.0000000000000000E+000                  5.6518169994580198E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8207735589643515E-011                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1142809336082795E-003 
                                       4                  3.9999999999238156E+001                  3.2309483880936694E+000                  3.5584113013050809E+000                 -9.0754009570581111E+000                  2.2877689631638902E+000                  6.9999999999999696E-001                  2.8000000000000308E-001                  2.0000000000000018E-002                  1.0000000000000000E+000                  4.7551289934805996E+024                 -1.0223403599048856E+001                  2.3953261927945468E-001                  9.9999999998095379E-001                  0.0000000000000000E+000                  1.7019562345250724E+003                  1.1840509523590928E+014                  1.4073370391451318E+001                  1.7019562342942991E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.7602615820953957E+000                  3.9999999998042441E+001                 -1.0720189873529939E+001                  3.2108093750000000E+004                  4.5066145223702714E+000                  5.2195534547272528E-002                 -1.2823666503393694E+000                  1.6628052709664394E-002                 -9.8999999999999986E+001                  3.6175230023845365E+003                  1.8469337047334893E+012                  1.2266451306818071E+001                  8.4061869237081471E-010                  2.2240585558776989E+001                  1.9398536358821707E+002                  4.3189181693699813E-001                  1.9355347177128007E+002                  2.2868009656709227E+000                  9.9777358554816642E-001                 -2.4586112098954786E+001                  1.3063033980730565E+000                  3.8744246786250619E-001                  1.6398058264941875E+000                  9.9999626775422595E-005                  6.1515020448579360E+005                  5.7889811727096401E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2326816585585133E-028                  0.0000000000000000E+000                  1.2326816585585133E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659345E+000                  1.1021529799335148E+000                  1.3826069774960559E+000                  8.5000496627254085E-001                  6.9999999999999696E-001                  2.8000000000000308E-001                  2.0000000000000018E-002                 -1.6989700043360183E+000                  6.9999999999999696E-001                  2.9797635254308916E-005                  2.7997020236474879E-001                  3.4468833607860841E-003                  1.0103427409336066E-003                  9.3805276451495410E-003                  2.0850244238750362E-003                  4.0772218292556778E-003                  1.0000000000000000E-099                 -1.5490195998574505E-001                 -4.5258182002443803E+000                 -5.5288818879064117E-001                 -2.4625734124504910E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                 -9.8999999999999986E+001                  1.3027299388938636E-003                 -2.8851456059330514E+000                 -2.8851456059330514E+000                  4.4692603069074627E+005                  5.6502356503777946E+000                 -2.9529402348618823E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7108328454841768E+039                  1.7108328454841768E+039                  4.4692603069074627E+005                  3.9233207579482595E+001                 -4.2986420720457078E+013                  1.2189027925412874E+012                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2513930991642400E-001                  1.2513930991642400E-001                 -2.6230315767398849E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666667786825873E-001                 -1.7609125175849688E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.7019562345250724E+003                  3.2309483880936694E+000                  1.7019562345250724E+003                  3.2309483880936694E+000                  0.0000000000000000E+000                  5.6518169995267380E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1776829898732690E-010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1142809422939666E-003 
