                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                    2900                                     1751                  5.0000000000000000E+001                  2.0000000000000000E-002                  4.2920398893422894E+006                  2.0212345092039850E+001                  3.5882429421750999E+003                  7.5083557332546636E+005                  2.2421357456857013E+003                 -3.8027274480518729E+000                  1.0000000005930967E-099                  1.0000235331683319E-099                  4.3606503492919708E-016                  1.9723006972140533E-001                  1.0000549075992978E-099                  7.6445728691964232E-001                  3.1582498319926412E-002                  5.0000000000000000E+001                  0.0000000000000000E+000                  1.3951904291871834E+001                  2.2999191809508555E-004                  1.8342977509708412E+001                  3.3966494484878638E+000                  2.8946049806119284E-001                  1.3163599082502468E+001                  6.0629780977915926E-001                  2.1233352383144776E+001                  1.7055917157057586E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5026744704090673E+008                  3.4971493015404519E+001                  6.6592476137683459E+005                  1.8364650159554174E+004                  3.6306968256371647E+002                  6.9759399813844709E+002                  3.3025688817675407E+004                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.3544647801190822E+014                               "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20251218"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188                                      189                                      190 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                     extra_opacity_factor                                       dm                                    logdq                                 dq_ratio                                        q                             vel_km_per_s                                   radius                                radius_cm                                  logR_cm                                     rmid                                 velocity                                  v_div_r                    pressure_scale_height                                     mmid                                    logxq                                       dr                                   log_dr                                dr_div_cs                            log_dr_div_cs                           acoustic_depth                   log_cell_collapse_time                              temperature                                   energy                                     logE                                      rho                                  entropy                                 pressure                                     prad                                     pgas                                  logPgas                          pgas_div_ptotal                                      eta                                       mu                                    grada                                   gamma1                                   free_e                                   csound                               log_csound                             v_div_csound                                 eps_grav                                  eps_nuc                              non_nuc_neu                                       pp                                      cno                                tri_alpha                                  c_alpha                                  n_alpha                                  o_alpha                                 ne_alpha                                 na_alpha                                 mg_alpha                                 si_alpha                                  s_alpha                                 ar_alpha                                 ca_alpha                                 ti_alpha                                 cr_alpha                                 fe_co_ni                                  c12_c12                                  c12_o16                                  o16_o16                                    pnhe4                                    photo                                ni56_co56                                co56_fe56                                    other                                     abar                                     zbar                                    z2bar                                       ye                                        x                                        y                                        z                                    log_z                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                     si28                                   log_h1                                  log_he3                                  log_he4                                  log_c12                                  log_n14                                  log_o16                                 log_ne20                                 log_mg24                                 log_si28                                  opacity                              log_opacity                     log_kap_times_factor                               luminosity                                     logL                           log_L_div_Ledd                                  lum_adv                                 lum_conv                                lum_erg_s                         lum_plus_lum_adv                                  lum_rad                        log_abs_lum_erg_s                             total_energy                        mlt_mixing_length                                 conv_vel                             log_conv_vel                             conv_L_div_L                         log_conv_L_div_L                                    gradT                                    gradr                          gradT_sub_grada                      conv_vel_div_csound                            log_mlt_D_mix                                log_D_mix                               log_D_conv                               log_D_semi                                log_D_ovr                               log_D_thrm                            log_D_minimum                    log_D_rayleigh_taylor                              log_D_omega                              log_sig_mix                                 mix_type                                      tau                                   logtau                                    omega                                log_omega                                log_j_rot                            log_J_div_M53                             log_J_inside                            log_abs_shear                                    i_rot                                    j_rot                                    v_rot                                   fp_rot                                   ft_rot                                log_am_nu                                  r_polar                              log_r_polar                             r_equatorial                         log_r_equatorial                              r_e_div_r_p                               omega_crit                     omega_div_omega_crit                               am_log_sig                             am_log_D_DSI                              am_log_D_SH                             am_log_D_SSI                              am_log_D_ES                             am_log_D_GSF                              am_log_D_ST                             am_log_nu_ST                           dynamo_log_B_r                         dynamo_log_B_phi                    RTI_du_diffusion_kick                                alpha_RTI                        boost_for_eta_RTI                                 dedt_RTI                                 dudt_RTI                                  eta_RTI                            log_alpha_RTI                              log_eta_RTI                  log_lambda_RTI_div_Hrho                              log_sig_RTI               log_source_minus_alpha_RTI                log_source_plus_alpha_RTI                               lambda_RTI                           v_div_v_escape                                        u                                   u_face                                   P_face                               extra_heat                                      zFe                         dPdr_dRhodr_info                                    dlogR                                dPdr_info                              dRhodr_info                       log_du_kick_div_du                     L_div_Ledd_effective 
                                       1                  5.0000000000000000E+001                  3.3506619025576123E+000                  3.5548818393130253E+000                 -9.1480846187823754E+000                  2.2117098733788620E+000                  6.9999999999999862E-001                  2.8000000000000147E-001                  1.9999999999999907E-002                  1.0000000000000000E+000                  9.9420493534902522E+022                 -1.2000000000000000E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  2.2421357456857013E+003                  1.5598538382735425E+014                  1.4193083905915261E+001                  2.2421357456824035E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2068649157305497E+001                  4.9999999999974996E+001                 -9.8999999999999986E+001                  4.5665625000000000E+002                  2.6595894059715262E+000                  7.4522691652245167E-004                 -3.1277114674015829E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.5882429422993164E+003                  1.8443989270949082E+012                  1.2265854860914050E+001                  7.1107495292683884E-010                  2.2360549802603540E+001                  1.6282079591887285E+002                  4.1807781975059816E-001                  1.6240271809912224E+002                  2.2105932936586759E+000                  9.9743228242196458E-001                 -2.4755513478357379E+001                  1.3062870022606290E+000                  3.8733049729066832E-001                  1.6398618201402990E+000                  9.9998563219420511E-005                  6.1277476681995578E+005                  5.7873008733731091E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0427142712470918E-028                  0.0000000000000000E+000                  1.0427142712470918E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659325E+000                  1.1021529799335139E+000                  1.3826069774960532E+000                  8.5000496627254152E-001                  6.9999999999999862E-001                  2.8000000000000147E-001                  1.9999999999999907E-002                 -1.6989700043360207E+000                  6.9999999999999862E-001                  2.9797635252701207E-005                  2.7997020236474879E-001                  3.4468833607861037E-003                  1.0103427409336064E-003                  9.3805276451495393E-003                  2.0850244238750358E-003                  4.0772218292556761E-003                  1.0000000000000000E-099                 -1.5490195998574402E-001                 -4.5258182002678122E+000                 -5.5288818879064117E-001                 -2.4625734124504883E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                 -9.8999999999999986E+001                  1.1180741978152912E-003                 -2.9515293747747209E+000                 -2.9515293747747209E+000                  7.5083557332546636E+005                  5.8755448405781925E+000                 -2.8909248102275322E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8741985746898854E+039                  2.8741985746898854E+039                  7.5083557332546636E+005                  3.9458516769682994E+001                 -4.0695625254598609E+013                  1.6792318437474863E+012                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2516068866720712E-001                  1.2516068866720712E-001                 -2.6216980862346118E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666666666666663E-001                 -1.7609125905568127E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  2.2421357456857013E+003                  3.3506619025576123E+000                  2.2421357456857013E+003                  3.3506619025576123E+000                  0.0000000000000000E+000                  4.1786464998721576E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2713693319038538E-012                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2853166486076735E-003 
                                       2                  4.9999999999950006E+001                  3.3506619025563409E+000                  3.5548818393702262E+000                 -9.1480846183821036E+000                  2.2117098738358756E+000                  6.9999999999999862E-001                  2.8000000000000153E-001                  1.9999999999999796E-002                  1.0000000000000000E+000                  2.8477188695313349E+023                 -1.1542978801725427E+001                  3.4912327406554955E-001                  9.9999999999900002E-001                  0.0000000000000000E+000                  2.2421357456791375E+003                  1.5598538382689759E+014                  1.4193083905913991E+001                  2.2421357456697065E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2068649158823701E+001                  4.9999999999878398E+001                 -1.2000000000000000E+001                  1.3100625000000000E+003                  3.1172920153180805E+000                  2.1379184830074313E-003                 -2.6700088580865375E+000                  7.4522691652245167E-004                 -9.8999999999999986E+001                  3.5882429427719230E+003                  1.8443989271404490E+012                  1.2265854860924774E+001                  7.1107495358220763E-010                  2.2360549802048887E+001                  1.6282079609021110E+002                  4.1807781997085797E-001                  1.6240271827024026E+002                  2.2105932941162765E+000                  9.9743228242331394E-001                 -2.4755513476885234E+001                  1.3062870022602431E+000                  3.8733049730148505E-001                  1.6398618201639972E+000                  9.9998563219429930E-005                  6.1277476686441386E+005                  5.7873008734046181E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0427142722081438E-028                  0.0000000000000000E+000                  1.0427142722081440E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659328E+000                  1.1021529799335141E+000                  1.3826069774960534E+000                  8.5000496627254152E-001                  6.9999999999999862E-001                  2.8000000000000153E-001                  1.9999999999999796E-002                 -1.6989700043360232E+000                  6.9999999999999862E-001                  2.9797635252701021E-005                  2.7997020236474884E-001                  3.4468833607860798E-003                  1.0103427409336066E-003                  9.3805276451495410E-003                  2.0850244238750362E-003                  4.0772218292556769E-003                  1.0000000000000002E-099                 -1.5490195998574402E-001                 -4.5258182002678149E+000                 -5.5288818879064106E-001                 -2.4625734124504914E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                 -9.8999999999999986E+001                  1.1180741994889418E-003                 -2.9515293741246236E+000                 -2.9515293741246236E+000                  7.5083557332546718E+005                  5.8755448405781934E+000                 -2.8909248102275318E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8741985746898885E+039                  2.8741985746898885E+039                  7.5083557332546718E+005                  3.9458516769682994E+001                 -4.0695625254711789E+013                  1.6792318437961082E+012                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2516068873283476E-001                  1.2516068873283476E-001                 -2.6216980856063271E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666666703022059E-001                 -1.7609125881884705E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  2.2421357456791375E+003                  3.3506619025563409E+000                  2.2421357456791375E+003                  3.3506619025563409E+000                  0.0000000000000000E+000                  4.1786464999055638E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6474722094911532E-012                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2853166486062266E-003 
                                       3                  4.9999999999806782E+001                  3.3506619025526936E+000                  3.5548818395687896E+000                 -9.1480846169926036E+000                  2.2117098754223439E+000                  6.9999999999999862E-001                  2.8000000000000153E-001                  1.9999999999999796E-002                  1.0000000000000000E+000                  1.0489097836107082E+024                 -1.0976737778423962E+001                  2.7149321266968329E-001                  9.9999999999613576E-001                  0.0000000000000000E+000                  2.2421357456603068E+003                  1.5598538382558753E+014                  1.4193083905910342E+001                  2.2421357456256242E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2068649164129114E+001                  4.9999999999543036E+001                 -1.1412927167249659E+001                  4.8245937500000000E+003                  3.6834607498951049E+000                  7.8733557738881951E-003                 -2.1038401236188902E+000                  2.8831453995298829E-003                 -9.8999999999999986E+001                  3.5882429444125014E+003                  1.8443989272985178E+012                  1.2265854860961994E+001                  7.1107495585725106E-010                  2.2360549800123167E+001                  1.6282079668499193E+002                  4.1807782073545435E-001                  1.6240271886425649E+002                  2.2105932957047845E+000                  9.9743228242799786E-001                 -2.4755513471774766E+001                  1.3062870022589022E+000                  3.8733049733903258E-001                  1.6398618202462598E+000                  9.9998563219462957E-005                  6.1277476701874123E+005                  5.7873008735139955E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0427142755443343E-028                  0.0000000000000000E+000                  1.0427142755443343E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659328E+000                  1.1021529799335141E+000                  1.3826069774960534E+000                  8.5000496627254152E-001                  6.9999999999999862E-001                  2.8000000000000153E-001                  1.9999999999999796E-002                 -1.6989700043360232E+000                  6.9999999999999862E-001                  2.9797635252701021E-005                  2.7997020236474884E-001                  3.4468833607860798E-003                  1.0103427409336064E-003                  9.3805276451495376E-003                  2.0850244238750358E-003                  4.0772218292556752E-003                  1.0000000000000002E-099                 -1.5490195998574402E-001                 -4.5258182002678149E+000                 -5.5288818879064106E-001                 -2.4625734124504914E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613937E+000                 -9.8999999999999986E+001                  1.1180742052988089E-003                 -2.9515293718678919E+000                 -2.9515293718678919E+000                  7.5083557332546718E+005                  5.8755448405781934E+000                 -2.8909248092625561E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8741985746898885E+039                  2.8741985746898885E+039                  7.5083557332546718E+005                  3.9458516769682994E+001                 -4.0695625255104906E+013                  1.6792318440979502E+012                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2516068910843273E-001                  1.2516068910843273E-001                 -2.6216980820106961E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666666807155461E-001                 -1.7609125814047860E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  2.2421357456603068E+003                  3.3506619025526936E+000                  2.2421357456603068E+003                  3.3506619025526936E+000                  0.0000000000000000E+000                  4.1786465385655299E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3432695878100669E-011                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2853166501187680E-003 
                                       4                  4.9999999999279275E+001                  3.3506619025392608E+000                  3.5548818401242746E+000                 -9.1480846131054570E+000                  2.2117098798605199E+000                  6.9999999999999851E-001                  2.8000000000000147E-001                  2.0000000000000018E-002                  1.0000000000000000E+000                  2.6820765552869279E+024                 -1.0569004744811174E+001                  3.9108122456202454E-001                  9.9999999998558553E-001                  0.0000000000000000E+000                  2.2421357455909579E+003                  1.5598538382076294E+014                  1.4193083905896909E+001                  2.2421357455022840E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2068649178822486E+001                  4.9999999998604849E+001                 -1.0841198762873820E+001                  1.2335875000000000E+004                  4.0911699600028211E+000                  2.0131173238945234E-002                 -1.6961309138171619E+000                  1.0756501173418078E-002                 -9.8999999999999986E+001                  3.5882429490020490E+003                  1.8443989277407607E+012                  1.2265854861066128E+001                  7.1107496222171797E-010                  2.2360549794736059E+001                  1.6282079834890308E+002                  4.1807782287442669E-001                  1.6240272052602865E+002                  2.2105933001486662E+000                  9.9743228244110094E-001                 -2.4755513457478116E+001                  1.3062870022551523E+000                  3.8733049744407255E-001                  1.6398618204763915E+000                  9.9998563219554979E-005                  6.1277476745048037E+005                  5.7873008738199836E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0427142848773746E-028                  0.0000000000000000E+000                  1.0427142848773749E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659323E+000                  1.1021529799335137E+000                  1.3826069774960525E+000                  8.5000496627254152E-001                  6.9999999999999851E-001                  2.8000000000000147E-001                  2.0000000000000018E-002                 -1.6989700043360183E+000                  6.9999999999999851E-001                  2.9797635252701011E-005                  2.7997020236474879E-001                  3.4468833607860789E-003                  1.0103427409336059E-003                  9.3805276451495376E-003                  2.0850244238750349E-003                  4.0772218292556743E-003                  1.0000000000000000E-099                 -1.5490195998574408E-001                 -4.5258182002678158E+000                 -5.5288818879064117E-001                 -2.4625734124504919E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559174E+000                 -2.3896356592613937E+000                 -9.8999999999999986E+001                  1.1180742215520182E-003                 -2.9515293655546446E+000                 -2.9515293655546446E+000                  7.5083557332546695E+005                  5.8755448405781925E+000                 -2.8909248057082371E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8741985746898879E+039                  2.8741985746898879E+039                  7.5083557332546695E+005                  3.9458516769682994E+001                 -4.0695625256204445E+013                  1.6792318452097490E+012                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2516069049188691E-001                  1.2516069049188691E-001                 -2.6216980687667601E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666667190713502E-001                 -1.7609125564182151E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  2.2421357455909579E+003                  3.3506619025392608E+000                  2.2421357455909579E+003                  3.3506619025392608E+000                  0.0000000000000000E+000                  4.1786465299913707E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4345487048761879E-011                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2853166577668539E-003 
