                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                    2950                                     1792                  5.0000000000000000E+001                  2.0000000000000000E-002                  4.2930712394509511E+006                  2.5465154647740150E+001                  3.5627343207645345E+003                  7.9907825695741992E+005                  2.3462859648451417E+003                 -3.6040618264010438E+000                  0.0000000000000000E+000                  1.0463853954578848E-036                  2.7405873270795647E-015                  1.9722992254281302E-001                  9.4341813179250767E-025                  7.6445763090401764E-001                  3.1582323531877288E-002                  5.0000000000000000E+001                  0.0000000000000000E+000                  1.3951901712835364E+001                  2.2999196538838965E-004                  1.8339878685015119E+001                  3.3972436591090895E+000                  2.8368527783559688E-001                  1.3163627275112882E+001                  6.1455141976766969E-001                  2.1232089594275116E+001                  1.7055917157105910E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6085829765692621E+008                  3.1401519264256962E+001                  6.2572094240657485E+005                  1.5495892666295488E+005                  1.8253274973743979E+002                  1.7012995529873606E+004                  8.9071471095563102E+004                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.3547902494609734E+014                               "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20251218"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188                                      189                                      190 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                     extra_opacity_factor                                       dm                                    logdq                                 dq_ratio                                        q                             vel_km_per_s                                   radius                                radius_cm                                  logR_cm                                     rmid                                 velocity                                  v_div_r                    pressure_scale_height                                     mmid                                    logxq                                       dr                                   log_dr                                dr_div_cs                            log_dr_div_cs                           acoustic_depth                   log_cell_collapse_time                              temperature                                   energy                                     logE                                      rho                                  entropy                                 pressure                                     prad                                     pgas                                  logPgas                          pgas_div_ptotal                                      eta                                       mu                                    grada                                   gamma1                                   free_e                                   csound                               log_csound                             v_div_csound                                 eps_grav                                  eps_nuc                              non_nuc_neu                                       pp                                      cno                                tri_alpha                                  c_alpha                                  n_alpha                                  o_alpha                                 ne_alpha                                 na_alpha                                 mg_alpha                                 si_alpha                                  s_alpha                                 ar_alpha                                 ca_alpha                                 ti_alpha                                 cr_alpha                                 fe_co_ni                                  c12_c12                                  c12_o16                                  o16_o16                                    pnhe4                                    photo                                ni56_co56                                co56_fe56                                    other                                     abar                                     zbar                                    z2bar                                       ye                                        x                                        y                                        z                                    log_z                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                     si28                                   log_h1                                  log_he3                                  log_he4                                  log_c12                                  log_n14                                  log_o16                                 log_ne20                                 log_mg24                                 log_si28                                  opacity                              log_opacity                     log_kap_times_factor                               luminosity                                     logL                           log_L_div_Ledd                                  lum_adv                                 lum_conv                                lum_erg_s                         lum_plus_lum_adv                                  lum_rad                        log_abs_lum_erg_s                             total_energy                        mlt_mixing_length                                 conv_vel                             log_conv_vel                             conv_L_div_L                         log_conv_L_div_L                                    gradT                                    gradr                          gradT_sub_grada                      conv_vel_div_csound                            log_mlt_D_mix                                log_D_mix                               log_D_conv                               log_D_semi                                log_D_ovr                               log_D_thrm                            log_D_minimum                    log_D_rayleigh_taylor                              log_D_omega                              log_sig_mix                                 mix_type                                      tau                                   logtau                                    omega                                log_omega                                log_j_rot                            log_J_div_M53                             log_J_inside                            log_abs_shear                                    i_rot                                    j_rot                                    v_rot                                   fp_rot                                   ft_rot                                log_am_nu                                  r_polar                              log_r_polar                             r_equatorial                         log_r_equatorial                              r_e_div_r_p                               omega_crit                     omega_div_omega_crit                               am_log_sig                             am_log_D_DSI                              am_log_D_SH                             am_log_D_SSI                              am_log_D_ES                             am_log_D_GSF                              am_log_D_ST                             am_log_nu_ST                           dynamo_log_B_r                         dynamo_log_B_phi                    RTI_du_diffusion_kick                                alpha_RTI                        boost_for_eta_RTI                                 dedt_RTI                                 dudt_RTI                                  eta_RTI                            log_alpha_RTI                              log_eta_RTI                  log_lambda_RTI_div_Hrho                              log_sig_RTI               log_source_minus_alpha_RTI                log_source_plus_alpha_RTI                               lambda_RTI                           v_div_v_escape                                        u                                   u_face                                   P_face                               extra_heat                                      zFe                         dPdr_dRhodr_info                                    dlogR                                dPdr_info                              dRhodr_info                       log_du_kick_div_du                     L_div_Ledd_effective 
                                       1                  5.0000000000000000E+001                  3.3703809427265052E+000                  3.5517834374837682E+000                 -9.1560870332023754E+000                  2.2005946060281212E+000                  6.9999999999999862E-001                  2.8000000000000147E-001                  1.9999999999999907E-002                  1.0000000000000000E+000                  9.9420493534902522E+022                 -1.2000000000000000E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  2.3462859648451417E+003                  1.6323111457427650E+014                  1.4212802946084155E+001                  2.3462859648420576E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3121512233848847E+001                  4.9999999999974996E+001                 -9.8999999999999986E+001                  4.2681250000000000E+002                  2.6302371300624801E+000                  6.9940709682829037E-004                 -3.1552699652527840E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.5627343208703624E+003                  1.8418520785847012E+012                  1.2265254748535096E+001                  6.9809249137753608E-010                  2.2366124620828700E+001                  1.5870646049603062E+002                  4.0631562188475717E-001                  1.5830014487414587E+002                  2.1994813123229582E+000                  9.9743982935152842E-001                 -2.4813527315677423E+001                  1.3063205857231586E+000                  3.8655646525842685E-001                  1.6380703574868680E+000                  9.9998410184915860E-005                  6.1024902654767549E+005                  5.7855070953152641E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0236764157676954E-028                  0.0000000000000000E+000                  1.0236764157676954E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659325E+000                  1.1021529799335139E+000                  1.3826069774960532E+000                  8.5000496627254152E-001                  6.9999999999999862E-001                  2.8000000000000147E-001                  1.9999999999999907E-002                 -1.6989700043360207E+000                  6.9999999999999862E-001                  2.9797635252701207E-005                  2.7997020236474879E-001                  3.4468833607861037E-003                  1.0103427409336064E-003                  9.3805276451495393E-003                  2.0850244238750358E-003                  4.0772218292556761E-003                  1.0000000000000000E-099                 -1.5490195998574402E-001                 -4.5258182002678122E+000                 -5.5288818879064117E-001                 -2.4625734124504883E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                 -9.8999999999999986E+001                  1.0474810414210754E-003                 -2.9798538286773919E+000                 -2.9798538286773919E+000                  7.9907825695741992E+005                  5.9025893136074865E+000                 -2.8922047911212854E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0588715676330037E+039                  3.0588715676330037E+039                  7.9907825695741992E+005                  3.9485561242712286E+001                 -3.8809846081485703E+013                  1.8257272122177283E+012                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2516021576994057E-001                  1.2516021576994057E-001                 -2.6139624948848628E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666666666666663E-001                 -1.7609125905568127E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  2.3462859648451417E+003                  3.3703809427265052E+000                  2.3462859648451417E+003                  3.3703809427265052E+000                  0.0000000000000000E+000                  3.9035333746558007E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1355920246131511E-012                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2815340568796236E-003 
                                       2                  4.9999999999950006E+001                  3.3703809427253697E+000                  3.5517834375327051E+000                 -9.1560870328599400E+000                  2.2005946064191120E+000                  6.9999999999999862E-001                  2.8000000000000153E-001                  1.9999999999999796E-002                  1.0000000000000000E+000                  2.8477188695313349E+023                 -1.1542978801725427E+001                  3.4912327406554955E-001                  9.9999999999900002E-001                  0.0000000000000000E+000                  2.3462859648390067E+003                  1.6323111457384969E+014                  1.4212802946083018E+001                  2.3462859648302374E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3121512235260383E+001                  4.9999999999878398E+001                 -1.2000000000000000E+001                  1.2178125000000000E+003                  3.0855804274727840E+000                  1.9955992503799405E-003                 -2.6999266678697151E+000                  6.9940709682829037E-004                 -9.8999999999999986E+001                  3.5627343212718165E+003                  1.8418520786234719E+012                  1.2265254748544237E+001                  6.9809249192797204E-010                  2.2366124620354476E+001                  1.5870646063891238E+002                  4.0631562206789412E-001                  1.5830014501684448E+002                  2.1994813127144504E+000                  9.9743982935267939E-001                 -2.4813527314398076E+001                  1.3063205857227980E+000                  3.8655646526857129E-001                  1.6380703575091762E+000                  9.9998410184917283E-005                  6.1024902658594493E+005                  5.7855070953424992E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0236764165748702E-028                  0.0000000000000000E+000                  1.0236764165748702E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659328E+000                  1.1021529799335141E+000                  1.3826069774960534E+000                  8.5000496627254152E-001                  6.9999999999999862E-001                  2.8000000000000153E-001                  1.9999999999999796E-002                 -1.6989700043360232E+000                  6.9999999999999862E-001                  2.9797635252701021E-005                  2.7997020236474884E-001                  3.4468833607860798E-003                  1.0103427409336066E-003                  9.3805276451495410E-003                  2.0850244238750362E-003                  4.0772218292556769E-003                  1.0000000000000002E-099                 -1.5490195998574402E-001                 -4.5258182002678149E+000                 -5.5288818879064106E-001                 -2.4625734124504914E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                 -9.8999999999999986E+001                  1.0474810427991423E-003                 -2.9798538281060338E+000                 -2.9798538281060338E+000                  7.9907825695742061E+005                  5.9025893136074865E+000                 -2.8922047911212849E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0588715676330061E+039                  3.0588715676330061E+039                  7.9907825695742061E+005                  3.9485561242712286E+001                 -3.8809846081573172E+013                  1.8257272122628291E+012                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2516021582723719E-001                  1.2516021582723719E-001                 -2.6139624943381484E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666666697769950E-001                 -1.7609125885306148E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  2.3462859648390067E+003                  3.3703809427253697E+000                  2.3462859648390067E+003                  3.3703809427253697E+000                  0.0000000000000000E+000                  3.9035333746833465E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2401402876190451E-012                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2815340568901610E-003 
                                       3                  4.9999999999806782E+001                  3.3703809427221296E+000                  3.5517834377025843E+000                 -9.1560870316712073E+000                  2.2005946077763996E+000                  6.9999999999999862E-001                  2.8000000000000153E-001                  1.9999999999999796E-002                  1.0000000000000000E+000                  1.0489097836107082E+024                 -1.0976737778423962E+001                  2.7149321266968329E-001                  9.9999999999613576E-001                  0.0000000000000000E+000                  2.3462859648215017E+003                  1.6323111457263188E+014                  1.4212802946079778E+001                  2.3462859647892424E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3121512240194777E+001                  4.9999999999543036E+001                 -1.1412927167249659E+001                  4.4873750000000000E+003                  3.6519923640785570E+000                  7.3533505233558108E-003                 -2.1335147313584852E+000                  2.6950063472082307E-003                 -9.8999999999999986E+001                  3.5627343226654189E+003                  1.8418520787580339E+012                  1.2265254748575966E+001                  6.9809249383876277E-010                  2.2366124618708060E+001                  1.5870646113491301E+002                  4.0631562270363314E-001                  1.5830014551220938E+002                  2.1994813140734779E+000                  9.9743982935667486E-001                 -2.4813527309956815E+001                  1.3063205857215483E+000                  3.8655646530378662E-001                  1.6380703575866151E+000                  9.9998410184921728E-005                  6.1024902671879157E+005                  5.7855070954370422E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0236764193769075E-028                  0.0000000000000000E+000                  1.0236764193769075E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659328E+000                  1.1021529799335141E+000                  1.3826069774960534E+000                  8.5000496627254152E-001                  6.9999999999999862E-001                  2.8000000000000153E-001                  1.9999999999999796E-002                 -1.6989700043360232E+000                  6.9999999999999862E-001                  2.9797635252701021E-005                  2.7997020236474884E-001                  3.4468833607860798E-003                  1.0103427409336064E-003                  9.3805276451495376E-003                  2.0850244238750358E-003                  4.0772218292556752E-003                  1.0000000000000002E-099                 -1.5490195998574402E-001                 -4.5258182002678149E+000                 -5.5288818879064106E-001                 -2.4625734124504914E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613937E+000                 -9.8999999999999986E+001                  1.0474810475829791E-003                 -2.9798538261226146E+000                 -2.9798538261226146E+000                  7.9907825695742038E+005                  5.9025893136074865E+000                 -2.8922047902730332E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0588715676330055E+039                  3.0588715676330055E+039                  7.9907825695742038E+005                  3.9485561242712286E+001                 -3.8809846081876375E+013                  1.8257272125434160E+012                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2516021615511080E-001                  1.2516021615511080E-001                 -2.6139624912097981E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666666786859652E-001                 -1.7609125827269398E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  2.3462859648215017E+003                  3.3703809427221296E+000                  2.3462859648215017E+003                  3.3703809427221296E+000                  0.0000000000000000E+000                  3.9035333780265994E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1939145497902938E-011                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2815340582473112E-003 
                                       4                  4.9999999999279275E+001                  3.3703809427101903E+000                  3.5517834381778202E+000                 -9.1560870283457145E+000                  2.2005946115734245E+000                  6.9999999999999851E-001                  2.8000000000000147E-001                  2.0000000000000018E-002                  1.0000000000000000E+000                  2.6820765552869279E+024                 -1.0569004744811174E+001                  3.9108122456202454E-001                  9.9999999998558553E-001                  0.0000000000000000E+000                  2.3462859647570003E+003                  1.6323111456814450E+014                  1.4212802946067839E+001                  2.3462859646745269E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3121512253858382E+001                  4.9999999998604849E+001                 -1.0841198762873820E+001                  1.1474156250000000E+004                  4.0597207596174307E+000                  1.8802416293405521E-002                 -1.7257863360840948E+000                  1.0048356870564042E-002                 -9.8999999999999986E+001                  3.5627343265640170E+003                  1.8418520791344790E+012                  1.2265254748664729E+001                  6.9809249918421596E-010                  2.2366124614102134E+001                  1.5870646252247926E+002                  4.0631562448211150E-001                  1.5830014689799714E+002                  2.1994813178753692E+000                  9.9743982936785214E-001                 -2.4813527297532367E+001                  1.3063205857180509E+000                  3.8655646540230104E-001                  1.6380703578032496E+000                  9.9998410184934155E-005                  6.1024902709043166E+005                  5.7855070957015258E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0236764272156310E-028                  0.0000000000000000E+000                  1.0236764272156312E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659323E+000                  1.1021529799335137E+000                  1.3826069774960525E+000                  8.5000496627254152E-001                  6.9999999999999851E-001                  2.8000000000000147E-001                  2.0000000000000018E-002                 -1.6989700043360183E+000                  6.9999999999999851E-001                  2.9797635252701011E-005                  2.7997020236474879E-001                  3.4468833607860789E-003                  1.0103427409336059E-003                  9.3805276451495376E-003                  2.0850244238750349E-003                  4.0772218292556743E-003                  1.0000000000000000E-099                 -1.5490195998574408E-001                 -4.5258182002678158E+000                 -5.5288818879064117E-001                 -2.4625734124504919E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559174E+000                 -2.3896356592613937E+000                 -9.8999999999999986E+001                  1.0474810609657755E-003                 -2.9798538205739944E+000                 -2.9798538205739944E+000                  7.9907825695742061E+005                  5.9025893136074865E+000                 -2.8922047871486254E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0588715676330061E+039                  3.0588715676330061E+039                  7.9907825695742061E+005                  3.9485561242712286E+001                 -3.8809846082724719E+013                  1.8257272135768669E+012                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2516021736278274E-001                  1.2516021736278274E-001                 -2.6139624796869965E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666667115006739E-001                 -1.7609125613500698E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  2.3462859647570003E+003                  3.3703809427101903E+000                  2.3462859647570003E+003                  3.3703809427101903E+000                  0.0000000000000000E+000                  3.9035333892441426E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0528293205157342E-011                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2815340650178108E-003 
