                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     500                                      724                  6.0000000000000000E+001                  2.0000000000000000E-002                  1.4652122153138405E+003                  5.2799872870325304E-001                  5.3390426776384757E+003                  7.4895426633292891E+005                  1.0114723740854624E+003                 -1.0302603565009173E+001                  6.9999999999999973E-001                  2.9797635251631564E-005                  2.7997020236474879E-001                  3.4468833607861015E-003                  1.0103427409336064E-003                  9.3805276451495393E-003                  2.0850244238750353E-003                  6.0000000000000007E+001                  0.0000000000000000E+000                  4.2000000000000000E+001                  1.7878581150705386E-003                  1.6798212141884942E+001                  2.0681300164716779E-001                  6.0620564456016386E-002                  5.6283165870897256E-001                  1.2510146543250225E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1563534245995700E+007                  1.1191133703253298E+002                  8.0111700670022634E+005                  1.1010667486638350E-006                  1.1010667486638350E-006                  0.0000000000000000E+000                  4.4049976051563289E-008                  5.0000000000000000E+001                  1.0000000000000000E+003                  4.6238581005988052E+010                               "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20251219"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                     extra_opacity_factor                                       dm                                    logdq                                 dq_ratio                                        q                             vel_km_per_s                                   radius                                radius_cm                                  logR_cm                                     rmid                                 velocity                                  v_div_r                    pressure_scale_height                                     mmid                                    logxq                                       dr                                   log_dr                                dr_div_cs                            log_dr_div_cs                           acoustic_depth                   log_cell_collapse_time                              temperature                                   energy                                     logE                                      rho                                  entropy                                 pressure                                     prad                                     pgas                                  logPgas                          pgas_div_ptotal                                      eta                                       mu                                    grada                                   gamma1                                   free_e                                   csound                               log_csound                             v_div_csound                                 eps_grav                                  eps_nuc                              non_nuc_neu                                       pp                                      cno                                tri_alpha                                  c_alpha                                  n_alpha                                  o_alpha                                 ne_alpha                                 na_alpha                                 mg_alpha                                 si_alpha                                  s_alpha                                 ar_alpha                                 ca_alpha                                 ti_alpha                                 cr_alpha                                 fe_co_ni                                  c12_c12                                  c12_o16                                  o16_o16                                    pnhe4                                    photo                                ni56_co56                                co56_fe56                                    other                                     abar                                     zbar                                    z2bar                                       ye                                        x                                        y                                        z                                    log_z                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                   log_h1                                  log_he3                                  log_he4                                  log_c12                                  log_n14                                  log_o16                                 log_ne20                                 log_mg24                                  opacity                              log_opacity                     log_kap_times_factor                               luminosity                                     logL                           log_L_div_Ledd                                  lum_adv                                 lum_conv                                lum_erg_s                         lum_plus_lum_adv                                  lum_rad                        log_abs_lum_erg_s                             total_energy                        mlt_mixing_length                                 conv_vel                             log_conv_vel                             conv_L_div_L                         log_conv_L_div_L                                    gradT                                    gradr                          gradT_sub_grada                      conv_vel_div_csound                            log_mlt_D_mix                                log_D_mix                               log_D_conv                               log_D_semi                                log_D_ovr                               log_D_thrm                            log_D_minimum                    log_D_rayleigh_taylor                              log_D_omega                              log_sig_mix                                 mix_type                                      tau                                   logtau                                    omega                                log_omega                                log_j_rot                            log_J_div_M53                             log_J_inside                            log_abs_shear                                    i_rot                                    j_rot                                    v_rot                                   fp_rot                                   ft_rot                                log_am_nu                                  r_polar                              log_r_polar                             r_equatorial                         log_r_equatorial                              r_e_div_r_p                               omega_crit                     omega_div_omega_crit                               am_log_sig                             am_log_D_DSI                              am_log_D_SH                             am_log_D_SSI                              am_log_D_ES                             am_log_D_GSF                              am_log_D_ST                             am_log_nu_ST                           dynamo_log_B_r                         dynamo_log_B_phi                    RTI_du_diffusion_kick                                alpha_RTI                        boost_for_eta_RTI                                 dedt_RTI                                 dudt_RTI                                  eta_RTI                            log_alpha_RTI                              log_eta_RTI                  log_lambda_RTI_div_Hrho                              log_sig_RTI               log_source_minus_alpha_RTI                log_source_plus_alpha_RTI                               lambda_RTI                           v_div_v_escape                                        u                                   u_face                                   P_face                               extra_heat                                      zFe                         dPdr_dRhodr_info                                    dlogR                                dPdr_info                              dRhodr_info                       log_du_kick_div_du                     L_div_Ledd_effective 
                                       1                  6.0000000000000007E+001                  3.0049540255684297E+000                  3.7274633928744003E+000                 -9.2831369645108737E+000                  2.2535578344437250E+000                  6.9999999999999984E-001                  2.8000000000000025E-001                  1.9999999999999907E-002                  1.0000000000000000E+000                  1.1930459224188303E+023                 -1.2000000000000000E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  1.0114723740854624E+003                  7.0368133065125625E+013                  1.3847376028926080E+001                  1.0114723740590074E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0758274542581949E+000                  5.9999999999970001E+001                 -9.8999999999999986E+001                  3.6799609375000000E+003                  3.5658432086957355E+000                  5.0486685858048448E-003                 -2.2968231371437260E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  5.3390426834116415E+003                  2.0301302029147329E+012                  1.2307523892393041E+001                  5.2103036657303136E-010                  2.3103813732411368E+001                  1.7929072956525573E+002                  2.0491952561254587E+000                  1.7724153430913026E+002                  2.2485655008896166E+000                  9.8857054538684541E-001                 -2.2981211911683015E+001                  1.3049551279483380E+000                  3.4427360717767774E-001                  1.5439665699182652E+000                  6.2784665805416915E-004                  7.2889730727162608E+005                  5.8626663458394610E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6402882991239307E-029                  0.0000000000000000E+000                  7.6402882991239307E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659312E+000                  1.1021529799335130E+000                  1.3826069774960512E+000                  8.5000496627254174E-001                  6.9999999999999984E-001                  2.8000000000000025E-001                  1.9999999999999907E-002                 -1.6989700043360207E+000                  6.9999999999999984E-001                  2.9797635251138540E-005                  2.7997020236474912E-001                  3.4468833607861453E-003                  1.0103427409336077E-003                  9.3805276451495497E-003                  2.0850244238750384E-003                  4.0772218292556804E-003                 -1.5490195998574324E-001                 -4.5258182002905878E+000                 -5.5288818879064061E-001                 -2.4625734124504834E+000                 -2.9955312744887617E+000                 -2.0277727323104973E+000                 -2.6808888533559165E+000                 -2.3896356592613928E+000                  6.0138242236827096E-003                 -2.2208492699169575E+000                 -2.2208492699169575E+000                  7.4895426633292891E+005                  5.8744552990270353E+000                 -2.2405154860562924E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8669969315224519E+039                  2.8669969315224519E+039                  7.4895426633292891E+005                  3.9457427228131841E+001                 -1.1112828474088823E+014                  4.2797063198548517E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2571844718043163E-001                  1.2571844718043163E-001                 -2.1855515999724612E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666666666666663E-001                 -1.7609125905568127E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.0114723740854624E+003                  3.0049540255684297E+000                  1.0114723740854624E+003                  3.0049540255684297E+000                  0.0000000000000000E+000                  1.5073556344166747E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2711840492263019E-011                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7467122312388780E-003 
                                       2                  5.9999999999940009E+001                  3.0049540255457181E+000                  3.7274634046395883E+000                 -9.2831368822579989E+000                  2.2535579280273388E+000                  6.9999999999999984E-001                  2.8000000000000025E-001                  1.9999999999999907E-002                  1.0000000000000000E+000                  2.8705803662830597E+024                 -1.0618687450632933E+001                  4.1561139915536768E-002                  9.9999999999900002E-001                  0.0000000000000000E+000                  1.0114723740325667E+003                  7.0368133061445664E+013                  1.3847376028903367E+001                  1.0114723733962203E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0758275341878791E+000                  5.9999999999218176E+001                 -1.2000000000000000E+001                  8.8540984375000000E+004                  4.9471443460396456E+000                  1.2147250783125960E-001                 -9.1552200229775804E-001                  5.0486685858048448E-003                 -9.8999999999999986E+001                  5.3390428280481565E+003                  2.0301302182793884E+012                  1.2307523895679916E+001                  5.2103046525319224E-010                  2.3103813620211078E+001                  1.7929076819958547E+002                  2.0491954781791040E+000                  1.7724157272140636E+002                  2.2485655950111094E+000                  9.8857054661120103E-001                 -2.2981211472155678E+001                  1.3049551276374802E+000                  3.4427359766834253E-001                  1.5439665473971311E+000                  6.2784684060931744E-004                  7.2889731146404275E+005                  5.8626663483374033E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6402897461826249E-029                  0.0000000000000000E+000                  7.6402897461826249E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659312E+000                  1.1021529799335130E+000                  1.3826069774960512E+000                  8.5000496627254174E-001                  6.9999999999999984E-001                  2.8000000000000025E-001                  1.9999999999999907E-002                 -1.6989700043360207E+000                  6.9999999999999984E-001                  2.9797635251138540E-005                  2.7997020236474912E-001                  3.4468833607861453E-003                  1.0103427409336077E-003                  9.3805276451495497E-003                  2.0850244238750384E-003                  4.0772218292556804E-003                 -1.5490195998574324E-001                 -4.5258182002905878E+000                 -5.5288818879064061E-001                 -2.4625734124504834E+000                 -2.9955312744887617E+000                 -2.0277727323104973E+000                 -2.6808888533559165E+000                 -2.3896356592613928E+000                  6.0138266808061934E-003                 -2.2208490924733022E+000                 -2.2208490924733022E+000                  7.4895426633260527E+005                  5.8744552990268479E+000                 -2.2405154860564802E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8669969315212134E+039                  2.8669969315212134E+039                  7.4895426633260527E+005                  3.9457427228131650E+001                 -1.1112828479825553E+014                  4.2797063238669513E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2571844976752766E-001                  1.2571844976752766E-001                 -2.1855515703070161E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666667819710901E-001                 -1.7609125154427008E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.0114723740325667E+003                  3.0049540255457181E+000                  1.0114723740325667E+003                  3.0049540255457181E+000                  0.0000000000000000E+000                  1.5073556358975075E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4645274535484491E-010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7467117338933713E-003 
                                       3                  5.9999999998496349E+001                  3.0049540249992654E+000                  3.7274634342908834E+000                 -9.2831366749598576E+000                  2.2535581638818529E+000                  6.9999999999999973E-001                  2.8000000000000025E-001                  2.0000000000000018E-002                  1.0000000000000000E+000                  4.6646930952099714E+024                 -1.0407834085318040E+001                  6.1538461538461542E-001                  9.9999999997493905E-001                  0.0000000000000000E+000                  1.0114723727598775E+003                  7.0368132972904680E+013                  1.3847376028356914E+001                  1.0114723717258165E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0758277287679081E+000                  5.9999999997323371E+001                 -1.0601002682399479E+001                  1.4387900000000000E+005                  5.1579974106867068E+000                  1.9739268570680599E-001                 -7.0466894394614576E-001                  1.2652117641706445E-001                 -9.8999999999999986E+001                  5.3390431925693447E+003                  2.0301302570023040E+012                  1.2307523903963695E+001                  5.2103071395235207E-010                  2.3103813337437860E+001                  1.7929086556796170E+002                  2.0491960378114356E+000                  1.7724166953015026E+002                  2.2485658322212125E+000                  9.8857054969688529E-001                 -2.2981210364434197E+001                  1.3049551268540389E+000                  3.4427357370235329E-001                  1.5439664906380466E+000                  6.2784730069556118E-004                  7.2889732202999829E+005                  5.8626663546328528E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6402933931394004E-029                  0.0000000000000000E+000                  7.6402933931394004E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659310E+000                  1.1021529799335128E+000                  1.3826069774960505E+000                  8.5000496627254163E-001                  6.9999999999999973E-001                  2.8000000000000025E-001                  2.0000000000000018E-002                 -1.6989700043360183E+000                  6.9999999999999973E-001                  2.9797635251138035E-005                  2.7997020236474912E-001                  3.4468833607860789E-003                  1.0103427409336074E-003                  9.3805276451495497E-003                  2.0850244238750388E-003                  4.0772218292556795E-003                 -1.5490195998574333E-001                 -4.5258182002905958E+000                 -5.5288818879064061E-001                 -2.4625734124504919E+000                 -2.9955312744887617E+000                 -2.0277727323104973E+000                 -2.6808888533559165E+000                 -2.3896356592613932E+000                  6.0138328733919241E-003                 -2.2208486452697875E+000                 -2.2208486452697875E+000                  7.4895426633288059E+005                  5.8744552990270078E+000                 -2.2405151453194945E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8669969315222669E+039                  2.8669969315222669E+039                  7.4895426633288059E+005                  3.9457427228131813E+001                 -1.1112828494283539E+014                  4.2797065276042371E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2571857426313912E-001                  1.2571857426313912E-001                 -2.1855501427530274E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666695563047840E-001                 -1.7609107081263869E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.0114723727598775E+003                  3.0049540249992654E+000                  1.0114723727598775E+003                  3.0049540249992654E+000                  0.0000000000000000E+000                  1.5073556361134403E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.8798513260514306E-010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7467158732291534E-003 
                                       4                  5.9999999996150400E+001                  3.0049540241112802E+000                  3.7274634710020456E+000                 -9.2831364183052312E+000                  2.2535584558920307E+000                  6.9999999999999973E-001                  2.8000000000000025E-001                  2.0000000000000018E-002                  1.0000000000000000E+000                  4.6646930952099714E+024                 -1.0407834085318040E+001                  1.0000000000000000E+000                  9.9999999993583999E-001                  0.0000000000000000E+000                  1.0114723706917591E+003                  7.0368132829025680E+013                  1.3847376027468929E+001                  1.0114723696576945E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0758279667107016E+000                  5.9999999994977436E+001                 -1.0192735904832851E+001                  1.4387900000000000E+005                  5.1579974106867068E+000                  1.9739268216416178E-001                 -7.0466895174051181E-001                  3.2391386212387041E-001                 -9.8999999999999986E+001                  5.3390436438817524E+003                  2.0301303049450308E+012                  1.2307523914219816E+001                  5.2103102186550322E-010                  2.3103812987338255E+001                  1.7929098611928654E+002                  2.0491967306904266E+000                  1.7724178938859612E+002                  2.2485661259097349E+000                  9.8857055351724687E-001                 -2.2981208992968796E+001                  1.3049551258840613E+000                  3.4427354403010352E-001                  1.5439664203647445E+000                  6.2784787032745589E-004                  7.2889733511165786E+005                  5.8626663624272188E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6402979084178340E-029                  0.0000000000000000E+000                  7.6402979084178340E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659310E+000                  1.1021529799335128E+000                  1.3826069774960505E+000                  8.5000496627254163E-001                  6.9999999999999973E-001                  2.8000000000000025E-001                  2.0000000000000018E-002                 -1.6989700043360183E+000                  6.9999999999999973E-001                  2.9797635251138022E-005                  2.7997020236474912E-001                  3.4468833607860785E-003                  1.0103427409336074E-003                  9.3805276451495497E-003                  2.0850244238750388E-003                  4.0772218292556795E-003                 -1.5490195998574333E-001                 -4.5258182002905958E+000                 -5.5288818879064061E-001                 -2.4625734124504919E+000                 -2.9955312744887617E+000                 -2.0277727323104973E+000                 -2.6808888533559165E+000                 -2.3896356592613932E+000                  6.0138405404171393E-003                 -2.2208480915888504E+000                 -2.2208480915888504E+000                  7.4895426633332809E+005                  5.8744552990272672E+000                 -2.2405145916215301E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8669969315239800E+039                  2.8669969315239800E+039                  7.4895426633332809E+005                  3.9457427228132069E+001                 -1.1112828512183891E+014                  4.2797068586776349E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2571877656877117E-001                  1.2571877656877117E-001                 -2.1855478229745723E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666740646016942E-001                 -1.7609077712359467E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.0114723706917591E+003                  3.0049540241112802E+000                  1.0114723706917591E+003                  3.0049540241112802E+000                  0.0000000000000000E+000                  1.5073556353026500E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.8798513260514306E-010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7467231999355035E-003 
