                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                    2800                                     1661                  6.0000000000000000E+001                  2.0000000000000000E-002                  3.7240963278742693E+006                  2.1442639590579856E+002                  3.7149043502707436E+003                  9.9258567748437577E+005                  2.4051484699408297E+003                 -4.5679837899675482E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9780755091916041E-002                  2.3478037339751492E-001                  1.0237704255692097E-013                  7.1804010670603047E-001                  2.2510857455463242E-002                  6.0000000000000007E+001                  0.0000000000000000E+000                  1.7117986255548846E+001                  2.2108346994791593E-004                  2.1927074322983515E+001                  4.8656309841509762E+000                  3.5724854762492181E-001                  1.4924959585751191E+001                  5.4555834160689842E-001                  2.5059126417328500E+001                  2.0584573735227568E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5240326354453492E+008                  3.5511867710489909E+001                  6.0448182319197804E+005                  9.8908088132223545E+005                  8.7784103584835786E+004                  1.7380793472375037E+004                  7.4928347269369124E+003                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.1752354227652505E+014                               "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20251219"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                     extra_opacity_factor                                       dm                                    logdq                                 dq_ratio                                        q                             vel_km_per_s                                   radius                                radius_cm                                  logR_cm                                     rmid                                 velocity                                  v_div_r                    pressure_scale_height                                     mmid                                    logxq                                       dr                                   log_dr                                dr_div_cs                            log_dr_div_cs                           acoustic_depth                   log_cell_collapse_time                              temperature                                   energy                                     logE                                      rho                                  entropy                                 pressure                                     prad                                     pgas                                  logPgas                          pgas_div_ptotal                                      eta                                       mu                                    grada                                   gamma1                                   free_e                                   csound                               log_csound                             v_div_csound                                 eps_grav                                  eps_nuc                              non_nuc_neu                                       pp                                      cno                                tri_alpha                                  c_alpha                                  n_alpha                                  o_alpha                                 ne_alpha                                 na_alpha                                 mg_alpha                                 si_alpha                                  s_alpha                                 ar_alpha                                 ca_alpha                                 ti_alpha                                 cr_alpha                                 fe_co_ni                                  c12_c12                                  c12_o16                                  o16_o16                                    pnhe4                                    photo                                ni56_co56                                co56_fe56                                    other                                     abar                                     zbar                                    z2bar                                       ye                                        x                                        y                                        z                                    log_z                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                   log_h1                                  log_he3                                  log_he4                                  log_c12                                  log_n14                                  log_o16                                 log_ne20                                 log_mg24                                  opacity                              log_opacity                     log_kap_times_factor                               luminosity                                     logL                           log_L_div_Ledd                                  lum_adv                                 lum_conv                                lum_erg_s                         lum_plus_lum_adv                                  lum_rad                        log_abs_lum_erg_s                             total_energy                        mlt_mixing_length                                 conv_vel                             log_conv_vel                             conv_L_div_L                         log_conv_L_div_L                                    gradT                                    gradr                          gradT_sub_grada                      conv_vel_div_csound                            log_mlt_D_mix                                log_D_mix                               log_D_conv                               log_D_semi                                log_D_ovr                               log_D_thrm                            log_D_minimum                    log_D_rayleigh_taylor                              log_D_omega                              log_sig_mix                                 mix_type                                      tau                                   logtau                                    omega                                log_omega                                log_j_rot                            log_J_div_M53                             log_J_inside                            log_abs_shear                                    i_rot                                    j_rot                                    v_rot                                   fp_rot                                   ft_rot                                log_am_nu                                  r_polar                              log_r_polar                             r_equatorial                         log_r_equatorial                              r_e_div_r_p                               omega_crit                     omega_div_omega_crit                               am_log_sig                             am_log_D_DSI                              am_log_D_SH                             am_log_D_SSI                              am_log_D_ES                             am_log_D_GSF                              am_log_D_ST                             am_log_nu_ST                           dynamo_log_B_r                         dynamo_log_B_phi                    RTI_du_diffusion_kick                                alpha_RTI                        boost_for_eta_RTI                                 dedt_RTI                                 dudt_RTI                                  eta_RTI                            log_alpha_RTI                              log_eta_RTI                  log_lambda_RTI_div_Hrho                              log_sig_RTI               log_source_minus_alpha_RTI                log_source_plus_alpha_RTI                               lambda_RTI                           v_div_v_escape                                        u                                   u_face                                   P_face                               extra_heat                                      zFe                         dPdr_dRhodr_info                                    dlogR                                dPdr_info                              dRhodr_info                       log_du_kick_div_du                     L_div_Ledd_effective 
                                       1                  6.0000000000000007E+001                  3.3811418905584256E+000                  3.5699476362346845E+000                 -9.2098892004041062E+000                  2.1653429896972849E+000                  6.9999999999999840E-001                  2.8000000000000180E-001                  1.9999999999999796E-002                  1.0000000000000000E+000                  1.1930459224188303E+023                 -1.2000000000000000E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  2.4051484699408297E+003                  1.6732617905378353E+014                  1.4223563893916074E+001                  2.4051484699368648E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1991543581612081E+001                  5.9999999999970001E+001                 -9.8999999999999986E+001                  5.4928125000000000E+002                  2.7397947744072733E+000                  8.7849438505190546E-004                 -3.0562610099783236E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.7149043504259125E+003                  1.8575819031805808E+012                  1.2268947971458294E+001                  6.1675233103677092E-010                  2.2513245311504907E+001                  1.4633324039546284E+002                  4.8030854739970036E-001                  1.4585293184806315E+002                  2.1639151634724114E+000                  9.9671770715866292E-001                 -2.4670166955059585E+001                  1.3061045783564633E+000                  3.9041158611653448E-001                  1.6477046930214974E+000                  1.0000884280262894E-004                  6.2525300029953627E+005                  5.7960557843855964E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.0439717624042583E-029                  0.0000000000000000E+000                  9.0439717624042583E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659332E+000                  1.1021529799335146E+000                  1.3826069774960541E+000                  8.5000496627254163E-001                  6.9999999999999840E-001                  2.8000000000000180E-001                  1.9999999999999796E-002                 -1.6989700043360232E+000                  6.9999999999999840E-001                  2.9797635253069816E-005                  2.7997020236474873E-001                  3.4468833607860798E-003                  1.0103427409336064E-003                  9.3805276451495376E-003                  2.0850244238750358E-003                  4.0772218292556752E-003                 -1.5490195998574416E-001                 -4.5258182002624405E+000                 -5.5288818879064117E-001                 -2.4625734124504914E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613937E+000                  1.2978191385850254E-003                 -2.8867858257077148E+000                 -2.8867858257077148E+000                  9.9258567748437577E+005                  5.9967680042540312E+000                 -2.7841393435231772E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7996179734101905E+039                  3.7996179734101905E+039                  9.9258567748437577E+005                  3.9579739933358830E+001                 -4.5730586577315414E+013                  1.6685033739455046E+012                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2520548054684430E-001                  1.2520548054684430E-001                 -2.6520610556969015E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666666666666663E-001                 -1.7609125905568127E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  2.4051484699408297E+003                  3.3811418905584256E+000                  2.4051484699408297E+003                  3.3811418905584256E+000                  0.0000000000000000E+000                  4.1193467571123139E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4256617265523799E-012                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6435979830979610E-003 
                                       2                  5.9999999999940009E+001                  3.3811418905569997E+000                  3.5699476363064933E+000                 -9.2098891999015429E+000                  2.1653429902708057E+000                  6.9999999999999840E-001                  2.8000000000000180E-001                  1.9999999999999796E-002                  1.0000000000000000E+000                  3.5882254578538253E+023                 -1.1521777437624875E+001                  3.3248911932429409E-001                  9.9999999999900002E-001                  0.0000000000000000E+000                  2.4051484699329344E+003                  1.6732617905323425E+014                  1.4223563893914649E+001                  2.4051484699210400E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1991543583504567E+001                  5.9999999999849777E+001                 -1.2000000000000000E+001                  1.6538125000000000E+003                  3.2184862701311387E+000                  2.6450292906454310E-003                 -2.5775695142922177E+000                  8.7849438505190546E-004                 -9.8999999999999986E+001                  3.7149043510401534E+003                  1.8575819032389595E+012                  1.2268947971471942E+001                  6.1675233175047496E-010                  2.2513245310805132E+001                  1.4633324058870772E+002                  4.8030854771736681E-001                  1.4585293204099037E+002                  2.1639151640468750E+000                  9.9671770716082653E-001                 -2.4670166953391767E+001                  1.3061045783561835E+000                  3.9041158612489590E-001                  1.6477046930388071E+000                  1.0000884280265275E-004                  6.2525300035389862E+005                  5.7960557844233564E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.0439717728701664E-029                  0.0000000000000000E+000                  9.0439717728701664E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659332E+000                  1.1021529799335146E+000                  1.3826069774960541E+000                  8.5000496627254163E-001                  6.9999999999999840E-001                  2.8000000000000180E-001                  1.9999999999999796E-002                 -1.6989700043360232E+000                  6.9999999999999840E-001                  2.9797635253069819E-005                  2.7997020236474873E-001                  3.4468833607860798E-003                  1.0103427409336064E-003                  9.3805276451495376E-003                  2.0850244238750358E-003                  4.0772218292556752E-003                 -1.5490195998574416E-001                 -4.5258182002624405E+000                 -5.5288818879064117E-001                 -2.4625734124504914E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613937E+000                  1.2978191407091873E-003                 -2.8867858249968976E+000                 -2.8867858249968976E+000                  9.9258567748437577E+005                  5.9967680042540312E+000                 -2.7841393435231772E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7996179734101905E+039                  3.7996179734101905E+039                  9.9258567748437577E+005                  3.9579739933358830E+001                 -4.5730586577474945E+013                  1.6685033740042415E+012                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2520548061869827E-001                  1.2520548061869827E-001                 -2.6520610549992263E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666666710674871E-001                 -1.7609125876899342E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  2.4051484699329344E+003                  3.3811418905569997E+000                  2.4051484699329344E+003                  3.3811418905569997E+000                  0.0000000000000000E+000                  4.1193467571509094E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2924144191219924E-012                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6435979829577416E-003 
                                       3                  5.9999999999759552E+001                  3.3811418905527071E+000                  3.5699476366231004E+000                 -9.2098891976857065E+000                  2.1653429927995016E+000                  6.9999999999999840E-001                  2.8000000000000180E-001                  1.9999999999999796E-002                  1.0000000000000000E+000                  1.7492599107037393E+024                 -1.0833802817590321E+001                  2.0512820512820520E-001                  9.9999999999599243E-001                  0.0000000000000000E+000                  2.4051484699091625E+003                  1.6732617905158044E+014                  1.4223563893910356E+001                  2.4051484698512118E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1991543591942126E+001                  5.9999999999319684E+001                 -1.1397113766220233E+001                  8.0620937500000000E+003                  3.9064478440366983E+000                  1.2894130443750238E-002                 -1.8896079405531454E+000                  3.5235236756973364E-003                 -9.8999999999999986E+001                  3.7149043537483749E+003                  1.8575819034963450E+012                  1.2268947971532118E+001                  6.1675233489723886E-010                  2.2513245307719146E+001                  1.4633324144073842E+002                  4.8030854911797555E-001                  1.4585293289162044E+002                  2.1639151665797276E+000                  9.9671770717036645E-001                 -2.4670166946038282E+001                  1.3061045783549501E+000                  3.9041158616176219E-001                  1.6477046931151256E+000                  1.0000884280275756E-004                  6.2525300059359043E+005                  5.7960557845898437E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.0439718190149887E-029                  0.0000000000000000E+000                  9.0439718190149887E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659332E+000                  1.1021529799335146E+000                  1.3826069774960541E+000                  8.5000496627254163E-001                  6.9999999999999840E-001                  2.8000000000000180E-001                  1.9999999999999796E-002                 -1.6989700043360232E+000                  6.9999999999999840E-001                  2.9797635253069819E-005                  2.7997020236474873E-001                  3.4468833607860798E-003                  1.0103427409336066E-003                  9.3805276451495358E-003                  2.0850244238750358E-003                  4.0772218292556752E-003                 -1.5490195998574416E-001                 -4.5258182002624405E+000                 -5.5288818879064117E-001                 -2.4625734124504914E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613937E+000                  1.2978191500747195E-003                 -2.8867858218628717E+000                 -2.8867858218628717E+000                  9.9258567748437577E+005                  5.9967680042540312E+000                 -2.7841393424549694E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7996179734101905E+039                  3.7996179734101905E+039                  9.9258567748437577E+005                  3.9579739933358830E+001                 -4.5730586578178742E+013                  1.6685033743854521E+012                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2520548105054105E-001                  1.2520548105054105E-001                 -2.6520610508063003E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666666843034716E-001                 -1.7609125790674621E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  2.4051484699091625E+003                  3.3811418905527071E+000                  2.4051484699091625E+003                  3.3811418905527071E+000                  0.0000000000000000E+000                  4.1193467482871960E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0925134562233090E-011                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6435979838495516E-003 
                                       4                  5.9999999998879815E+001                  3.3811418905317820E+000                  3.5699476376865946E+000                 -9.2098891902426239E+000                  2.1653430012934947E+000                  6.9999999999999829E-001                  2.8000000000000180E-001                  1.9999999999999907E-002                  1.0000000000000000E+000                  5.3318787662796695E+024                 -1.0349776894671349E+001                  3.2807570977917971E-001                  9.9999999998133027E-001                  0.0000000000000000E+000                  2.4051484697932779E+003                  1.6732617904351834E+014                  1.4223563893889430E+001                  2.4051484696166744E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1991543619979673E+001                  5.9999999997539078E+001                 -1.0728861470642181E+001                  2.4570281250000000E+004                  4.3904101277712462E+000                  3.9296542671582314E-002                 -1.4056456573778371E+000                  1.6417654119447574E-002                 -9.8999999999999986E+001                  3.7149043628453805E+003                  1.8575819043609067E+012                  1.2268947971734248E+001                  6.1675234546734388E-010                  2.2513245297353254E+001                  1.4633324430274470E+002                  4.8030855382266696E-001                  1.4585293574892202E+002                  2.1639151750876833E+000                  9.9671770720241137E-001                 -2.4670166921337600E+001                  1.3061045783508052E+000                  3.9041158628559658E-001                  1.6477046933714807E+000                  1.0000884280310985E-004                  6.2525300139872718E+005                  5.7960557851490835E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.0439719740172843E-029                  0.0000000000000000E+000                  9.0439719740172843E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659328E+000                  1.1021529799335139E+000                  1.3826069774960530E+000                  8.5000496627254141E-001                  6.9999999999999829E-001                  2.8000000000000180E-001                  1.9999999999999907E-002                 -1.6989700043360207E+000                  6.9999999999999829E-001                  2.9797635253069816E-005                  2.7997020236474873E-001                  3.4468833607860789E-003                  1.0103427409336064E-003                  9.3805276451495393E-003                  2.0850244238750358E-003                  4.0772218292556752E-003                 -1.5490195998574421E-001                 -4.5258182002624405E+000                 -5.5288818879064117E-001                 -2.4625734124504919E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613937E+000                  1.2978191815338717E-003                 -2.8867858113355682E+000                 -2.8867858113355682E+000                  9.9258567748437554E+005                  5.9967680042540303E+000                 -2.7841393372474554E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7996179734101899E+039                  3.7996179734101899E+039                  9.9258567748437554E+005                  3.9579739933358830E+001                 -4.5730586580542305E+013                  1.6685033762438857E+012                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2520548315577826E-001                  1.2520548315577826E-001                 -2.6520610303657488E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666667488288955E-001                 -1.7609125370329090E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  2.4051484697932779E+003                  3.3811418905317820E+000                  2.4051484697932779E+003                  3.3811418905317820E+000                  0.0000000000000000E+000                  4.1193467582352499E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3772132556128744E-011                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6435979954389874E-003 
