                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                    2950                                     1667                  6.0000000000000000E+001                  2.0000000000000000E-002                  3.7361866441591182E+006                  1.7974071030265403E+001                  3.7174428522687308E+003                  7.8659444138878013E+005                  2.1381589905098290E+003                 -4.3595446756114677E+000                  0.0000000000000000E+000                  3.1211539277867405E-035                  9.3560326772508398E-004                  1.8789690649742072E-001                  0.0000000000000000E+000                  7.7164996391536511E-001                  3.2425099228850944E-002                  6.0000000000000007E+001                  0.0000000000000000E+000                  1.7112081837063766E+001                  2.2108944546310496E-004                  2.1545056656752440E+001                  3.9004486893777548E+000                  3.5749453402801518E-001                  1.6028360016426728E+001                  7.4963744819534572E-001                  2.5059126416318861E+001                  2.0584576361743281E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2774426874649121E+008                  5.0407196081522692E+001                  7.6278189678109565E+005                  6.6637208072701725E+005                  2.0176097033430970E+003                  2.4735938062379216E+001                  4.4451796737918685E+003                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.1790508364171578E+014                               "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20251219"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188                                      189                                      190 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                     extra_opacity_factor                                       dm                                    logdq                                 dq_ratio                                        q                             vel_km_per_s                                   radius                                radius_cm                                  logR_cm                                     rmid                                 velocity                                  v_div_r                    pressure_scale_height                                     mmid                                    logxq                                       dr                                   log_dr                                dr_div_cs                            log_dr_div_cs                           acoustic_depth                   log_cell_collapse_time                              temperature                                   energy                                     logE                                      rho                                  entropy                                 pressure                                     prad                                     pgas                                  logPgas                          pgas_div_ptotal                                      eta                                       mu                                    grada                                   gamma1                                   free_e                                   csound                               log_csound                             v_div_csound                                 eps_grav                                  eps_nuc                              non_nuc_neu                                       pp                                      cno                                tri_alpha                                  c_alpha                                  n_alpha                                  o_alpha                                 ne_alpha                                 na_alpha                                 mg_alpha                                 si_alpha                                  s_alpha                                 ar_alpha                                 ca_alpha                                 ti_alpha                                 cr_alpha                                 fe_co_ni                                  c12_c12                                  c12_o16                                  o16_o16                                    pnhe4                                    photo                                ni56_co56                                co56_fe56                                    other                                     abar                                     zbar                                    z2bar                                       ye                                        x                                        y                                        z                                    log_z                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                     si28                                   log_h1                                  log_he3                                  log_he4                                  log_c12                                  log_n14                                  log_o16                                 log_ne20                                 log_mg24                                 log_si28                                  opacity                              log_opacity                     log_kap_times_factor                               luminosity                                     logL                           log_L_div_Ledd                                  lum_adv                                 lum_conv                                lum_erg_s                         lum_plus_lum_adv                                  lum_rad                        log_abs_lum_erg_s                             total_energy                        mlt_mixing_length                                 conv_vel                             log_conv_vel                             conv_L_div_L                         log_conv_L_div_L                                    gradT                                    gradr                          gradT_sub_grada                      conv_vel_div_csound                            log_mlt_D_mix                                log_D_mix                               log_D_conv                               log_D_semi                                log_D_ovr                               log_D_thrm                            log_D_minimum                    log_D_rayleigh_taylor                              log_D_omega                              log_sig_mix                                 mix_type                                      tau                                   logtau                                    omega                                log_omega                                log_j_rot                            log_J_div_M53                             log_J_inside                            log_abs_shear                                    i_rot                                    j_rot                                    v_rot                                   fp_rot                                   ft_rot                                log_am_nu                                  r_polar                              log_r_polar                             r_equatorial                         log_r_equatorial                              r_e_div_r_p                               omega_crit                     omega_div_omega_crit                               am_log_sig                             am_log_D_DSI                              am_log_D_SH                             am_log_D_SSI                              am_log_D_ES                             am_log_D_GSF                              am_log_D_ST                             am_log_nu_ST                           dynamo_log_B_r                         dynamo_log_B_phi                    RTI_du_diffusion_kick                                alpha_RTI                        boost_for_eta_RTI                                 dedt_RTI                                 dudt_RTI                                  eta_RTI                            log_alpha_RTI                              log_eta_RTI                  log_lambda_RTI_div_Hrho                              log_sig_RTI               log_source_minus_alpha_RTI                log_source_plus_alpha_RTI                               lambda_RTI                           v_div_v_escape                                        u                                   u_face                                   P_face                               extra_heat                                      zFe                         dPdr_dRhodr_info                                    dlogR                                dPdr_info                              dRhodr_info                       log_du_kick_div_du                     L_div_Ledd_effective 
                                       1                  6.0000000000000007E+001                  3.3300399956032769E+000                  3.5702443009217735E+000                 -9.1469991214788262E+000                  2.2283304871940612E+000                  6.9999999999999829E-001                  2.8000000000000175E-001                  2.0000000000000018E-002                  1.0000000000000000E+000                  1.1930459224188303E+023                 -1.2000000000000000E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  2.1381589905098290E+003                  1.4875172096976881E+014                  1.4172461998960927E+001                  2.1381589905054993E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.4791352266864681E+000                  5.9999999999970001E+001                 -9.8999999999999986E+001                  6.0140625000000000E+002                  2.7791679371107034E+000                  9.6192241931739118E-004                 -3.0168599531399583E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.7174428524831860E+003                  1.8574355131257671E+012                  1.2268913744758432E+001                  7.1285447213681745E-010                  2.2401560877451892E+001                  1.6917278043160997E+002                  4.8162272879226858E-001                  1.6869115770281769E+002                  2.2270923187389959E+000                  9.9715307198023517E-001                 -2.4557157605275094E+001                  1.3061334123032944E+000                  3.9035019685763012E-001                  1.6471235318037487E+000                  1.0000664323020684E-004                  6.2521284245227987E+005                  5.7960278902506621E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0453238105125319E-028                  0.0000000000000000E+000                  1.0453238105125319E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659328E+000                  1.1021529799335139E+000                  1.3826069774960530E+000                  8.5000496627254141E-001                  6.9999999999999829E-001                  2.8000000000000175E-001                  2.0000000000000018E-002                 -1.6989700043360183E+000                  6.9999999999999829E-001                  2.9797635253069812E-005                  2.7997020236474868E-001                  3.4468833607860789E-003                  1.0103427409336061E-003                  9.3805276451495358E-003                  2.0850244238750353E-003                  4.0772218292556743E-003                  1.0000000000000000E-099                 -1.5490195998574421E-001                 -4.5258182002624405E+000                 -5.5288818879064128E-001                 -2.4625734124504919E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559174E+000                 -2.3896356592613937E+000                 -9.8999999999999986E+001                  1.4201551184647926E-003                 -2.8476642165929760E+000                 -2.8476642165929760E+000                  7.8659444138878013E+005                  5.8957508730644346E+000                 -2.8460348655238881E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0110835216362506E+039                  3.0110835216362506E+039                  7.8659444138878013E+005                  3.9478722802169237E+001                 -5.1673013399330203E+013                  1.3189268754411553E+012                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2517818667207561E-001                  1.2517818667207561E-001                 -2.6517201018555447E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666666666666663E-001                 -1.7609125905568127E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  2.1381589905098290E+003                  3.3300399956032769E+000                  2.1381589905098290E+003                  3.3300399956032769E+000                  0.0000000000000000E+000                  4.9150583909255290E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7558474511002253E-012                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4252796277201556E-003 
                                       2                  5.9999999999940009E+001                  3.3300399956015214E+000                  3.5702443010211993E+000                 -9.1469991207829846E+000                  2.2283304879883379E+000                  6.9999999999999829E-001                  2.8000000000000175E-001                  2.0000000000000018E-002                  1.0000000000000000E+000                  3.5882254578538253E+023                 -1.1521777437624875E+001                  3.3248911932429409E-001                  9.9999999999900002E-001                  0.0000000000000000E+000                  2.1381589905011847E+003                  1.4875172096916741E+014                  1.4172461998959170E+001                  2.1381589904881648E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.4791352287677917E+000                  5.9999999999849777E+001                 -1.2000000000000000E+001                  1.8105312500000000E+003                  3.2578060251957996E+000                  2.8958638192382643E-003                 -2.5382218651074728E+000                  9.6192241931739118E-004                 -9.8999999999999986E+001                  3.7174428533342457E+003                  1.8574355132069604E+012                  1.2268913744777416E+001                  7.1285447327897769E-010                  2.2401560876484361E+001                  1.6917278074100832E+002                  4.8162272923331334E-001                  1.6869115801177500E+002                  2.2270923195344046E+000                  9.9715307198283476E-001                 -2.4557157602940816E+001                  1.3061334123028669E+000                  3.9035019686981476E-001                  1.6471235318294881E+000                  1.0000664323022301E-004                  6.2521284252801875E+005                  5.7960278903032725E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0453238121874293E-028                  0.0000000000000000E+000                  1.0453238121874293E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659328E+000                  1.1021529799335139E+000                  1.3826069774960530E+000                  8.5000496627254141E-001                  6.9999999999999829E-001                  2.8000000000000175E-001                  2.0000000000000018E-002                 -1.6989700043360183E+000                  6.9999999999999829E-001                  2.9797635253069812E-005                  2.7997020236474868E-001                  3.4468833607860789E-003                  1.0103427409336061E-003                  9.3805276451495358E-003                  2.0850244238750353E-003                  4.0772218292556743E-003                  1.0000000000000000E-099                 -1.5490195998574421E-001                 -4.5258182002624405E+000                 -5.5288818879064128E-001                 -2.4625734124504919E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559174E+000                 -2.3896356592613937E+000                 -9.8999999999999986E+001                  1.4201551217608748E-003                 -2.8476642155850085E+000                 -2.8476642155850085E+000                  7.8659444138877885E+005                  5.8957508730644346E+000                 -2.8460348655238885E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0110835216362457E+039                  3.0110835216362457E+039                  7.8659444138877885E+005                  3.9478722802169237E+001                 -5.1673013399575742E+013                  1.3189268755064026E+012                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2517818677321710E-001                  1.2517818677321710E-001                 -2.6517201008745339E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666666727600576E-001                 -1.7609125865873232E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  2.1381589905011847E+003                  3.3300399956015214E+000                  2.1381589905011847E+003                  3.3300399956015214E+000                  0.0000000000000000E+000                  4.9150583909828440E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.2860574406584990E-012                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4252796275702698E-003 
                                       3                  5.9999999999759552E+001                  3.3300399955962354E+000                  3.5702443014595735E+000                 -9.1469991177149890E+000                  2.2283304914903415E+000                  6.9999999999999829E-001                  2.8000000000000175E-001                  2.0000000000000018E-002                  1.0000000000000000E+000                  1.7492599107037393E+024                 -1.0833802817590321E+001                  2.0512820512820520E-001                  9.9999999999599243E-001                  0.0000000000000000E+000                  2.1381589904751600E+003                  1.4875172096735688E+014                  1.4172461998953885E+001                  2.1381589904117159E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.4791352380384506E+000                  5.9999999999319684E+001                 -1.1397113766220233E+001                  8.8255000000000000E+003                  3.9457393192824894E+000                  1.4115992818702542E-002                 -1.8502885712527493E+000                  3.8577862385556555E-003                 -9.8999999999999986E+001                  3.7174428570866085E+003                  1.8574355135649595E+012                  1.2268913744861122E+001                  7.1285447831480911E-010                  2.2401560872218774E+001                  1.6917278210516028E+002                  4.8162273117790083E-001                  1.6869115937398237E+002                  2.2270923230414001E+000                  9.9715307199429681E-001                 -2.4557157592648849E+001                  1.3061334123009818E+000                  3.9035019692353762E-001                  1.6471235319429745E+000                  1.0000664323029407E-004                  6.2521284286195796E+005                  5.7960278905352380E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0453238195721208E-028                  0.0000000000000000E+000                  1.0453238195721208E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659328E+000                  1.1021529799335139E+000                  1.3826069774960530E+000                  8.5000496627254141E-001                  6.9999999999999829E-001                  2.8000000000000175E-001                  2.0000000000000018E-002                 -1.6989700043360183E+000                  6.9999999999999829E-001                  2.9797635253069812E-005                  2.7997020236474868E-001                  3.4468833607860789E-003                  1.0103427409336064E-003                  9.3805276451495341E-003                  2.0850244238750353E-003                  4.0772218292556743E-003                  1.0000000000000000E-099                 -1.5490195998574421E-001                 -4.5258182002624405E+000                 -5.5288818879064128E-001                 -2.4625734124504919E+000                 -2.9955312744887621E+000                 -2.0277727323104981E+000                 -2.6808888533559174E+000                 -2.3896356592613937E+000                 -9.8999999999999986E+001                  1.4201551362934448E-003                 -2.8476642111408355E+000                 -2.8476642111408355E+000                  7.8659444138877874E+005                  5.8957508730644337E+000                 -2.8460348640096731E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0110835216362451E+039                  3.0110835216362451E+039                  7.8659444138877874E+005                  3.9478722802169237E+001                 -5.1673013400658570E+013                  1.3189268759269612E+012                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2517818738123160E-001                  1.2517818738123160E-001                 -2.6517200949772746E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666666910866468E-001                 -1.7609125746486187E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  2.1381589904751600E+003                  3.3300399955962354E+000                  2.1381589904751600E+003                  3.3300399955962354E+000                  0.0000000000000000E+000                  4.9150583866760951E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5766829906303834E-011                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4252796287548275E-003 
                                       4                  5.9999999998879815E+001                  3.3300399955704685E+000                  3.5702443029320916E+000                 -9.1469991074094708E+000                  2.2283305032537131E+000                  6.9999999999999840E-001                  2.8000000000000186E-001                  1.9999999999999796E-002                  1.0000000000000000E+000                  5.3318787662796695E+024                 -1.0349776894671349E+001                  3.2807570977917971E-001                  9.9999999998133027E-001                  0.0000000000000000E+000                  2.1381589903483023E+003                  1.4875172095853138E+014                  1.4172461998928117E+001                  2.1381589901549623E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.4791352688724704E+000                  5.9999999997539078E+001                 -1.0728861470642181E+001                  2.6899218750000000E+004                  4.4297396667127762E+000                  4.3024098127297003E-002                 -1.3662882246016443E+000                  1.7973779057258197E-002                 -9.8999999999999986E+001                  3.7174428696909627E+003                  1.8574355147674836E+012                  1.2268913745142289E+001                  7.1285449523037191E-010                  2.2401560857889809E+001                  1.6917278668740209E+002                  4.8162273770985703E-001                  1.6869116394969222E+002                  2.2270923348215406E+000                  9.9715307203279802E-001                 -2.4557157558077755E+001                  1.3061334122946502E+000                  3.9035019710399493E-001                  1.6471235323241822E+000                  1.0000664323053283E-004                  6.2521284398367349E+005                  5.7960278913144210E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0453238443776009E-028                  0.0000000000000000E+000                  1.0453238443776009E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659330E+000                  1.1021529799335144E+000                  1.3826069774960539E+000                  8.5000496627254152E-001                  6.9999999999999840E-001                  2.8000000000000186E-001                  1.9999999999999796E-002                 -1.6989700043360232E+000                  6.9999999999999840E-001                  2.9797635253069822E-005                  2.7997020236474879E-001                  3.4468833607860798E-003                  1.0103427409336066E-003                  9.3805276451495410E-003                  2.0850244238750362E-003                  4.0772218292556761E-003                  1.0000000000000002E-099                 -1.5490195998574416E-001                 -4.5258182002624396E+000                 -5.5288818879064117E-001                 -2.4625734124504914E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                 -9.8999999999999986E+001                  1.4201551851089410E-003                 -2.8476641962126776E+000                 -2.8476641962126776E+000                  7.8659444138877874E+005                  5.8957508730644337E+000                 -2.8460348566278704E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0110835216362451E+039                  3.0110835216362451E+039                  7.8659444138877874E+005                  3.9478722802169237E+001                 -5.1673013404295453E+013                  1.3189268779772107E+012                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2517819034530236E-001                  1.2517819034530236E-001                 -2.6517200662281376E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666667804287705E-001                 -1.7609125164474321E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  2.1381589903483023E+003                  3.3300399955704685E+000                  2.1381589903483023E+003                  3.3300399955704685E+000                  0.0000000000000000E+000                  4.9150583852758331E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.8534828876099707E-011                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4252796432285984E-003 
