                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                    3200                                     1807                  6.0000000000000000E+001                  2.0000000000000000E-002                  3.7404925734107583E+006                  4.1489009863880028E+001                  3.5616596518461279E+003                  1.0568529892594398E+006                  2.6999493564772024E+003                 -3.4966546067851634E+000                  0.0000000000000000E+000                  1.0614083123928590E-031                  1.7436885142734708E-014                  1.8666425591099187E-001                  1.3019957930474396E-023                  7.7143551239750074E-001                  3.4440219666205495E-002                  6.0000000000000007E+001                  0.0000000000000000E+000                  1.7112074456690845E+001                  2.2108971522282481E-004                  2.1517623035501618E+001                  3.8791986379503141E+000                  3.4469063425121327E-001                  1.6024770278263393E+001                  8.0747454381679662E-001                  2.5059126415435209E+001                  2.0584576361894246E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8126537687105054E+008                  2.9710722346654851E+001                  5.6772323690964188E+005                  2.6462800261204620E+005                  4.1736910103185276E-001                  8.9541720488361199E+004                  4.0763151056941715E+005                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.1804096843466734E+014                               "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20251219"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188                                      189                                      190 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                     extra_opacity_factor                                       dm                                    logdq                                 dq_ratio                                        q                             vel_km_per_s                                   radius                                radius_cm                                  logR_cm                                     rmid                                 velocity                                  v_div_r                    pressure_scale_height                                     mmid                                    logxq                                       dr                                   log_dr                                dr_div_cs                            log_dr_div_cs                           acoustic_depth                   log_cell_collapse_time                              temperature                                   energy                                     logE                                      rho                                  entropy                                 pressure                                     prad                                     pgas                                  logPgas                          pgas_div_ptotal                                      eta                                       mu                                    grada                                   gamma1                                   free_e                                   csound                               log_csound                             v_div_csound                                 eps_grav                                  eps_nuc                              non_nuc_neu                                       pp                                      cno                                tri_alpha                                  c_alpha                                  n_alpha                                  o_alpha                                 ne_alpha                                 na_alpha                                 mg_alpha                                 si_alpha                                  s_alpha                                 ar_alpha                                 ca_alpha                                 ti_alpha                                 cr_alpha                                 fe_co_ni                                  c12_c12                                  c12_o16                                  o16_o16                                    pnhe4                                    photo                                ni56_co56                                co56_fe56                                    other                                     abar                                     zbar                                    z2bar                                       ye                                        x                                        y                                        z                                    log_z                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                     si28                                   log_h1                                  log_he3                                  log_he4                                  log_c12                                  log_n14                                  log_o16                                 log_ne20                                 log_mg24                                 log_si28                                  opacity                              log_opacity                     log_kap_times_factor                               luminosity                                     logL                           log_L_div_Ledd                                  lum_adv                                 lum_conv                                lum_erg_s                         lum_plus_lum_adv                                  lum_rad                        log_abs_lum_erg_s                             total_energy                        mlt_mixing_length                                 conv_vel                             log_conv_vel                             conv_L_div_L                         log_conv_L_div_L                                    gradT                                    gradr                          gradT_sub_grada                      conv_vel_div_csound                            log_mlt_D_mix                                log_D_mix                               log_D_conv                               log_D_semi                                log_D_ovr                               log_D_thrm                            log_D_minimum                    log_D_rayleigh_taylor                              log_D_omega                              log_sig_mix                                 mix_type                                      tau                                   logtau                                    omega                                log_omega                                log_j_rot                            log_J_div_M53                             log_J_inside                            log_abs_shear                                    i_rot                                    j_rot                                    v_rot                                   fp_rot                                   ft_rot                                log_am_nu                                  r_polar                              log_r_polar                             r_equatorial                         log_r_equatorial                              r_e_div_r_p                               omega_crit                     omega_div_omega_crit                               am_log_sig                             am_log_D_DSI                              am_log_D_SH                             am_log_D_SSI                              am_log_D_ES                             am_log_D_GSF                              am_log_D_ST                             am_log_nu_ST                           dynamo_log_B_r                         dynamo_log_B_phi                    RTI_du_diffusion_kick                                alpha_RTI                        boost_for_eta_RTI                                 dedt_RTI                                 dudt_RTI                                  eta_RTI                            log_alpha_RTI                              log_eta_RTI                  log_lambda_RTI_div_Hrho                              log_sig_RTI               log_source_minus_alpha_RTI                log_source_plus_alpha_RTI                               lambda_RTI                           v_div_v_escape                                        u                                   u_face                                   P_face                               extra_heat                                      zFe                         dPdr_dRhodr_info                                    dlogR                                dPdr_info                              dRhodr_info                       log_du_kick_div_du                     L_div_Ledd_effective 
                                       1                  6.0000000000000007E+001                  3.4313556180816653E+000                  3.5516524164335084E+000                 -9.1832708584342466E+000                  2.1733577581546601E+000                  6.9999999999999829E-001                  2.8000000000000175E-001                  2.0000000000000018E-002                  1.0000000000000000E+000                  1.1930459224188303E+023                 -1.2000000000000000E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  2.6999493564772024E+003                  1.8783547673011897E+014                  1.4273777621439315E+001                  2.6999493564742288E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4477679950509200E+001                  5.9999999999970001E+001                 -9.8999999999999986E+001                  4.1106250000000000E+002                  2.6139078592033314E+000                  6.7347238359542684E-004                 -3.1716802082528268E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.5616596519387963E+003                  1.8419178023547896E+012                  1.2265270245415522E+001                  6.5573617275487866E-010                  2.2414389380119381E+001                  1.4905884720666404E+002                  4.0582559685814429E-001                  1.4865302160980590E+002                  2.1721737413588387E+000                  9.9727741355536259E-001                 -2.4859748217567819E+001                  1.3062987032772035E+000                  3.8684280390275777E-001                  1.6388813696523601E+000                  9.9998138142037509E-005                  6.1036281518402451E+005                  5.7855880674561577E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.6156398537438212E-029                  0.0000000000000000E+000                  9.6156398537438201E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659328E+000                  1.1021529799335139E+000                  1.3826069774960530E+000                  8.5000496627254141E-001                  6.9999999999999829E-001                  2.8000000000000175E-001                  2.0000000000000018E-002                 -1.6989700043360183E+000                  6.9999999999999829E-001                  2.9797635253069812E-005                  2.7997020236474868E-001                  3.4468833607860789E-003                  1.0103427409336061E-003                  9.3805276451495358E-003                  2.0850244238750353E-003                  4.0772218292556743E-003                  1.0000000000000000E-099                 -1.5490195998574421E-001                 -4.5258182002624405E+000                 -5.5288818879064128E-001                 -2.4625734124504919E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559174E+000                 -2.3896356592613937E+000                 -9.8999999999999986E+001                  1.0107650796254391E-003                 -2.9953497706974641E+000                 -2.9953497706974641E+000                  1.0568529892594398E+006                  6.0240145801231675E+000                 -2.8654567126927186E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0456332428851359E+039                  4.0456332428851359E+039                  1.0568529892594398E+006                  3.9606986509227973E+001                 -4.0550214603205445E+013                  2.0144243883138499E+012                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2517039362120369E-001                  1.2517039362120369E-001                 -2.6167241028155408E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666666666666663E-001                 -1.7609125905568127E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  2.6999493564772024E+003                  3.4313556180816653E+000                  2.6999493564772024E+003                  3.4313556180816653E+000                  0.0000000000000000E+000                  3.4639275705008023E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.5044115103491987E-013                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3629446854694542E-003 
                                       2                  5.9999999999940009E+001                  3.4313556180807150E+000                  3.5516524164778880E+000                 -9.1832708581236915E+000                  2.1733577585092156E+000                  6.9999999999999829E-001                  2.8000000000000175E-001                  2.0000000000000018E-002                  1.0000000000000000E+000                  3.5882254578538253E+023                 -1.1521777437624875E+001                  3.3248911932429409E-001                  9.9999999999900002E-001                  0.0000000000000000E+000                  2.6999493564712939E+003                  1.8783547672970791E+014                  1.4273777621438365E+001                  2.6999493564624113E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4477679951927112E+001                  5.9999999999849777E+001                 -1.2000000000000000E+001                  1.2332187500000000E+003                  3.0910401191680217E+000                  2.0204683497280834E-003                 -2.6945479483126986E+000                  6.7347238359542684E-004                 -9.8999999999999986E+001                  3.5616596523027570E+003                  1.8419178023898577E+012                  1.2265270245423791E+001                  6.5573617322378222E-010                  2.2414389379688970E+001                  1.4905884732835483E+002                  4.0582559702402704E-001                  1.4865302173133080E+002                  2.1721737417138773E+000                  9.9727741355647237E-001                 -2.4859748216411663E+001                  1.3062987032768925E+000                  3.8684280391158937E-001                  1.6388813696716971E+000                  9.9998138142038052E-005                  6.1036281521854468E+005                  5.7855880674807203E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.6156398606199379E-029                  0.0000000000000000E+000                  9.6156398606199368E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659328E+000                  1.1021529799335139E+000                  1.3826069774960530E+000                  8.5000496627254141E-001                  6.9999999999999829E-001                  2.8000000000000175E-001                  2.0000000000000018E-002                 -1.6989700043360183E+000                  6.9999999999999829E-001                  2.9797635253069812E-005                  2.7997020236474868E-001                  3.4468833607860789E-003                  1.0103427409336061E-003                  9.3805276451495358E-003                  2.0850244238750353E-003                  4.0772218292556743E-003                  1.0000000000000000E-099                 -1.5490195998574421E-001                 -4.5258182002624405E+000                 -5.5288818879064128E-001                 -2.4625734124504919E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559174E+000                 -2.3896356592613937E+000                 -9.8999999999999986E+001                  1.0107650808234029E-003                 -2.9953497701827358E+000                 -2.9953497701827358E+000                  1.0568529892594402E+006                  6.0240145801231675E+000                 -2.8654567126927186E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0456332428851371E+039                  4.0456332428851371E+039                  1.0568529892594402E+006                  3.9606986509227973E+001                 -4.0550214603270977E+013                  2.0144243883579729E+012                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2517039367107838E-001                  1.2517039367107838E-001                 -2.6167241023388310E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666666693864995E-001                 -1.7609125887849997E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  2.6999493564712939E+003                  3.4313556180807150E+000                  2.6999493564712939E+003                  3.4313556180807150E+000                  0.0000000000000000E+000                  3.4639275705218120E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8513234531047598E-012                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3629446854569343E-003 
                                       3                  5.9999999999759552E+001                  3.4313556180778635E+000                  3.5516524166735604E+000                 -9.1832708567544454E+000                  2.1733577600724594E+000                  6.9999999999999829E-001                  2.8000000000000175E-001                  2.0000000000000018E-002                  1.0000000000000000E+000                  1.7492599107037393E+024                 -1.0833802817590321E+001                  2.0512820512820520E-001                  9.9999999999599243E-001                  0.0000000000000000E+000                  2.6999493564535674E+003                  1.8783547672847469E+014                  1.4273777621435512E+001                  2.6999493564103068E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4477679958247668E+001                  5.9999999999319684E+001                 -1.1397113766220233E+001                  6.0179375000000000E+003                  3.7794476730108961E+000                  9.8596070213494390E-003                 -2.0061403945781193E+000                  2.6939407333235101E-003                 -9.8999999999999986E+001                  3.5616596539074685E+003                  1.8419178025444944E+012                  1.2265270245460252E+001                  6.5573617529119112E-010                  2.2414389377791021E+001                  1.4905884786489239E+002                  4.0582559775540861E-001                  1.4865302226713698E+002                  2.1721737432792518E+000                  9.9727741356136568E-001                 -2.4859748211314123E+001                  1.3062987032755209E+000                  3.8684280395052889E-001                  1.6388813697569558E+000                  9.9998138142041602E-005                  6.1036281537074409E+005                  5.7855880675890159E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.6156398909369337E-029                  0.0000000000000000E+000                  9.6156398909369326E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659328E+000                  1.1021529799335139E+000                  1.3826069774960530E+000                  8.5000496627254141E-001                  6.9999999999999829E-001                  2.8000000000000175E-001                  2.0000000000000018E-002                 -1.6989700043360183E+000                  6.9999999999999829E-001                  2.9797635253069812E-005                  2.7997020236474868E-001                  3.4468833607860789E-003                  1.0103427409336064E-003                  9.3805276451495341E-003                  2.0850244238750353E-003                  4.0772218292556743E-003                  1.0000000000000000E-099                 -1.5490195998574421E-001                 -4.5258182002624405E+000                 -5.5288818879064128E-001                 -2.4625734124504919E+000                 -2.9955312744887621E+000                 -2.0277727323104981E+000                 -2.6808888533559174E+000                 -2.3896356592613937E+000                 -9.8999999999999986E+001                  1.0107650861052914E-003                 -2.9953497679132721E+000                 -2.9953497679132721E+000                  1.0568529892594400E+006                  6.0240145801231675E+000                 -2.8654567119188306E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0456332428851365E+039                  4.0456332428851365E+039                  1.0568529892594400E+006                  3.9606986509227973E+001                 -4.0550214603560062E+013                  2.0144243886439087E+012                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2517039397071006E-001                  1.2517039397071006E-001                 -2.6167240994750735E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666666775667172E-001                 -1.7609125834560646E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  2.6999493564535674E+003                  3.4313556180778635E+000                  2.6999493564535674E+003                  3.4313556180778635E+000                  0.0000000000000000E+000                  3.4639275804258023E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3914088149404071E-011                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3629446862699244E-003 
                                       4                  5.9999999998879815E+001                  3.4313556180639493E+000                  3.5516524173308301E+000                 -9.1832708521550863E+000                  2.1733577653234613E+000                  6.9999999999999840E-001                  2.8000000000000186E-001                  1.9999999999999796E-002                  1.0000000000000000E+000                  5.3318787662796695E+024                 -1.0349776894671349E+001                  3.2807570977917971E-001                  9.9999999998133027E-001                  0.0000000000000000E+000                  2.6999493563670653E+003                  1.8783547672245675E+014                  1.4273777621421599E+001                  2.6999493562352500E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4477679979255525E+001                  5.9999999997539078E+001                 -1.0728861470642181E+001                  1.8339468750000000E+004                  4.2633867510567303E+000                  3.0046831610308827E-002                 -1.5222013168960529E+000                  1.2553547754672949E-002                 -9.8999999999999986E+001                  3.5616596592977571E+003                  1.8419178030639092E+012                  1.2265270245582721E+001                  6.5573618223570748E-010                  2.2414389371415695E+001                  1.4905884966714473E+002                  4.0582560021214764E-001                  1.4865302406693257E+002                  2.1721737485374115E+000                  9.9727741357780242E-001                 -2.4859748194191347E+001                  1.3062987032709135E+000                  3.8684280408132782E-001                  1.6388813700433418E+000                  9.9998138142052255E-005                  6.1036281588198722E+005                  5.7855880679527827E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.6156399927730509E-029                  0.0000000000000000E+000                  9.6156399927730497E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659330E+000                  1.1021529799335144E+000                  1.3826069774960539E+000                  8.5000496627254152E-001                  6.9999999999999840E-001                  2.8000000000000186E-001                  1.9999999999999796E-002                 -1.6989700043360232E+000                  6.9999999999999840E-001                  2.9797635253069822E-005                  2.7997020236474879E-001                  3.4468833607860798E-003                  1.0103427409336066E-003                  9.3805276451495410E-003                  2.0850244238750362E-003                  4.0772218292556761E-003                  1.0000000000000002E-099                 -1.5490195998574416E-001                 -4.5258182002624396E+000                 -5.5288818879064117E-001                 -2.4625734124504914E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                 -9.8999999999999986E+001                  1.0107651038473301E-003                 -2.9953497602900669E+000                 -2.9953497602900669E+000                  1.0568529892594402E+006                  6.0240145801231675E+000                 -2.8654567081461209E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0456332428851371E+039                  4.0456332428851371E+039                  1.0568529892594402E+006                  3.9606986509227973E+001                 -4.0550214604531164E+013                  2.0144243900377080E+012                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2517039543141428E-001                  1.2517039543141428E-001                 -2.6167240855142598E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666667174452776E-001                 -1.7609125574775067E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  2.6999493563670653E+003                  3.4313556180639493E+000                  2.6999493563670653E+003                  3.4313556180639493E+000                  0.0000000000000000E+000                  3.4639275830978644E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2402635897307905E-011                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3629446939467512E-003 
